Procedimiento_isNacional,Procedimiento_isInternacional,Procedimiento_isIntTLC,Contratacion_isAdquisiciones,Contratacion_isArriendamientos,Contratacion_isObraPublica,Contratacion_isServicios,Entidad_count,Correo_isGob,Plantilla_isLicitacion,Plantilla_isAdjudicacion,Plantilla_isInvitacion,Publicacion_isTrimestre1,Publicacion_isTrimestre2,Publicacion_isTrimestre3,Publicacion_isTrimestre4
1,0,0,0,0,1,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,1,0,0,0,1099.0,1,1,0,0,0,0,1,0
0,0,0,0,0,0,1,2217.0,1,0,1,0,1,0,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,1,0,0,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,1,0,0,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,0,1,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,3930.0,0,1,0,0,1,0,0,0
1,0,0,0,0,1,0,3930.0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1586.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,1,0,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,1,0,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,0,1,37371.0,0,0,1,0,1,0,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,1,0,0,0,1991.0,1,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,1,0,0,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,1,0,0,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,1858.0,0,0,1,0,1,0,0,0
1,0,0,0,0,1,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,1,0,0,0,1991.0,1,0,0,1,0,1,0,0
1,0,0,0,0,1,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,1,0,0,0,1991.0,1,0,0,1,0,1,0,0
1,0,0,1,0,0,0,1991.0,1,0,0,1,0,1,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,2002.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,1858.0,0,0,1,0,1,0,0,0
1,0,0,0,0,1,0,2002.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,0,0,1,0,1,0,0
1,0,0,1,0,0,0,2002.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,1,0,0,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
