classifier_name,dataset_name,accuracy
ocSVM,dermatology-6,0.796005917
ISOF,dermatology-6,0.842455621
BRM,dermatology-6,1
GMM,dermatology-6,0.801923077
ocSVM,car-good,0.506949358
ISOF,car-good,0.512269483
BRM,car-good,0.999178831
GMM,car-good,0.512356841
ocSVM,cleveland-0_vs_4,0.846153846
ISOF,cleveland-0_vs_4,0.900480769
BRM,cleveland-0_vs_4,1
GMM,cleveland-0_vs_4,0.841826923
ocSVM,ecoli-0-1_vs_5,0.804772727
ISOF,ecoli-0-1_vs_5,0.886136364
BRM,ecoli-0-1_vs_5,0.9925
GMM,ecoli-0-1_vs_5,0.815
ocSVM,ecoli-0_vs_1,0.747434384
ISOF,ecoli-0_vs_1,0.821178821
BRM,ecoli-0_vs_1,0.997002997
GMM,ecoli-0_vs_1,0.781854509
ocSVM,ecoli-0-1_vs_2-3-5,0.800757576
ISOF,ecoli-0-1_vs_2-3-5,0.835606061
BRM,ecoli-0-1_vs_2-3-5,0.978977273
GMM,ecoli-0-1_vs_2-3-5,0.808522727
ocSVM,abalone-19_vs_10-11-12-13,0.540330189
ISOF,abalone-19_vs_10-11-12-13,0.512834119
BRM,abalone-19_vs_10-11-12-13,0.812106918
GMM,abalone-19_vs_10-11-12-13,0.604540094
ocSVM,abalone-20_vs_8-9-10,0.591351241
ISOF,abalone-20_vs_8-9-10,0.653398453
BRM,abalone-20_vs_8-9-10,0.958689459
GMM,abalone-20_vs_8-9-10,0.87018722
ocSVM,car-vgood,0.514232851
ISOF,car-vgood,0.583366483
BRM,car-vgood,1
GMM,car-vgood,0.513229104
ocSVM,abalone-21_vs_8,0.879566641
ISOF,abalone-21_vs_8,0.925170068
BRM,abalone-21_vs_8,0.950869237
GMM,abalone-21_vs_8,0.937137818
ocSVM,ecoli-0-1-4-7_vs_2-3-5-6,0.746377626
ISOF,ecoli-0-1-4-7_vs_2-3-5-6,0.805571156
BRM,ecoli-0-1-4-7_vs_2-3-5-6,0.938110749
GMM,ecoli-0-1-4-7_vs_2-3-5-6,0.793777378
ocSVM,ecoli-0-4-6_vs_5,0.775136612
ISOF,ecoli-0-4-6_vs_5,0.816939891
BRM,ecoli-0-4-6_vs_5,0.986065574
GMM,ecoli-0-4-6_vs_5,0.775956284
ocSVM,ecoli-0-1-3-7_vs_2-6,0.862356621
ISOF,ecoli-0-1-3-7_vs_2-6,0.855578728
BRM,ecoli-0-1-3-7_vs_2-6,0.949947862
GMM,ecoli-0-1-3-7_vs_2-6,0.861835245
ocSVM,ecoli-0-1-4-7_vs_5-6,0.770944625
ISOF,ecoli-0-1-4-7_vs_5-6,0.798697068
BRM,ecoli-0-1-4-7_vs_5-6,0.960781759
GMM,ecoli-0-1-4-7_vs_5-6,0.812117264
ocSVM,ecoli-0-3-4_vs_5,0.779722222
ISOF,ecoli-0-3-4_vs_5,0.856111111
BRM,ecoli-0-3-4_vs_5,0.976388889
GMM,ecoli-0-3-4_vs_5,0.781944444
ocSVM,ecoli-0-3-4-6_vs_5,0.752702703
ISOF,ecoli-0-3-4-6_vs_5,0.795675676
BRM,ecoli-0-3-4-6_vs_5,0.97
GMM,ecoli-0-3-4-6_vs_5,0.767297297
ocSVM,ecoli-0-2-3-4_vs_5,0.773901099
ISOF,ecoli-0-2-3-4_vs_5,0.828021978
BRM,ecoli-0-2-3-4_vs_5,0.973626374
GMM,ecoli-0-2-3-4_vs_5,0.782417582
ocSVM,ecoli-0-1-4-6_vs_5,0.757115385
ISOF,ecoli-0-1-4-6_vs_5,0.846346154
BRM,ecoli-0-1-4-6_vs_5,0.986923077
GMM,ecoli-0-1-4-6_vs_5,0.788076923
ocSVM,ecoli-0-2-6-7_vs_3-5,0.807605761
ISOF,ecoli-0-2-6-7_vs_3-5,0.812106211
BRM,ecoli-0-2-6-7_vs_3-5,0.954545455
GMM,ecoli-0-2-6-7_vs_3-5,0.802655266
ocSVM,ecoli-0-3-4-7_vs_5-6,0.777758621
ISOF,ecoli-0-3-4-7_vs_5-6,0.786034483
BRM,ecoli-0-3-4-7_vs_5-6,0.959655172
GMM,ecoli-0-3-4-7_vs_5-6,0.796551724
ocSVM,ecoli-0-6-7_vs_3-5,0.815
ISOF,ecoli-0-6-7_vs_3-5,0.811590909
BRM,ecoli-0-6-7_vs_3-5,0.952272727
GMM,ecoli-0-6-7_vs_3-5,0.805454545
ocSVM,glass0,0.682142857
ISOF,glass0,0.717361111
BRM,glass0,0.851289683
GMM,glass0,0.700694444
ocSVM,glass-0-1-4-6_vs_2,0.661138924
ISOF,glass-0-1-4-6_vs_2,0.617334168
BRM,glass-0-1-4-6_vs_2,0.895494368
GMM,glass-0-1-4-6_vs_2,0.510638298
ocSVM,ecoli4,0.740189873
ISOF,ecoli4,0.835126582
BRM,ecoli4,0.998734177
GMM,ecoli4,0.868037975
ocSVM,ecoli2,0.550988624
ISOF,ecoli2,0.510969664
BRM,ecoli2,0.962621885
GMM,ecoli2,0.580985915
ocSVM,flare-F,0.756495942
ISOF,flare-F,0.776273614
BRM,flare-F,0.943065312
GMM,flare-F,0.820943872
ocSVM,ecoli3,0.607024205
ISOF,ecoli3,0.63312767
BRM,ecoli3,0.967821547
GMM,ecoli3,0.605505458
ocSVM,ecoli1,0.604623176
ISOF,ecoli1,0.625081482
BRM,ecoli1,0.967657825
GMM,ecoli1,0.596399739
ocSVM,glass-0-1-2-3_vs_4-5-6,0.834355828
ISOF,glass-0-1-2-3_vs_4-5-6,0.877420907
BRM,glass-0-1-2-3_vs_4-5-6,0.991940334
GMM,glass-0-1-2-3_vs_4-5-6,0.849272224
ocSVM,ecoli-0-6-7_vs_5,0.79525
ISOF,ecoli-0-6-7_vs_5,0.783
BRM,ecoli-0-6-7_vs_5,0.952
GMM,ecoli-0-6-7_vs_5,0.78375
ocSVM,glass5,0.539837398
ISOF,glass5,0.712737127
BRM,glass5,0.997831978
