,0,1,2,3,4,5,6,7,y
0,0.0,8.0,7.0,5.0,6.0,4.0,4.0,7.0, positive
1,5.0,5.0,5.0,6.0,3.0,2.0,3.0,4.0, positive
2,0.0,6.0,5.0,7.0,5.0,3.0,5.0,4.0, positive
3,0.0,5.0,4.0,5.0,3.0,2.0,3.0,3.0, positive
4,5.0,6.0,6.0,6.0,4.0,3.0,4.0,6.0, positive
5,0.0,5.0,5.0,6.0,3.0,2.0,4.0,4.0, positive
6,9.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0, negative
7,5.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0, negative
8,5.0,6.0,6.0,6.0,4.0,3.0,5.0,5.0, negative
9,5.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0, negative
10,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0, negative
11,5.0,6.0,6.0,5.0,3.0,2.0,4.0,4.0, negative
12,5.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0, negative
13,5.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0, negative
14,5.0,4.0,4.0,6.0,3.0,2.0,3.0,3.0, negative
15,0.0,5.0,5.0,4.0,3.0,2.0,4.0,3.0, negative
16,5.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0, negative
17,5.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0, negative
18,5.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0, negative
19,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0, negative
20,0.0,5.0,5.0,6.0,3.0,2.0,3.0,4.0, negative
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
22,9.0,6.0,6.0,5.0,3.0,3.0,3.0,4.0, negative
23,9.0,4.0,4.0,6.0,2.0,1.0,2.0,2.0, negative
24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0, negative
25,5.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0, negative
26,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0, negative
27,0.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0, negative
28,0.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0, negative
29,0.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0, negative
30,0.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0, negative
31,5.0,6.0,6.0,6.0,4.0,3.0,4.0,4.0, negative
32,0.0,7.0,6.0,5.0,5.0,5.0,4.0,4.0, negative
33,0.0,8.0,8.0,6.0,7.0,6.0,7.0,5.0, negative
34,9.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0, negative
35,0.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0, negative
36,0.0,6.0,5.0,6.0,3.0,3.0,4.0,3.0, negative
