,0,1,2,3,4,5,6,7,y
0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0, negative
1,1.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0, negative
2,1.0,3.0,3.0,5.0,3.0,2.0,4.0,4.0, negative
3,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0, negative
4,0.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0, negative
5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0, negative
6,0.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0, negative
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, negative
10,0.0,4.0,5.0,7.0,7.0,7.0,7.0,7.0, negative
11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0, negative
13,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0, negative
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, negative
15,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0, negative
16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0, negative
19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0, negative
20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
21,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0, negative
22,1.0,1.0,4.0,7.0,4.0,3.0,3.0,5.0, negative
23,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0, negative
24,1.0,7.0,8.0,9.0,7.0,8.0,8.0,5.0, negative
25,0.0,2.0,2.0,5.0,2.0,2.0,3.0,3.0, negative
26,0.0,5.0,5.0,0.0,5.0,4.0,6.0,5.0, negative
27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
29,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0, negative
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, negative
32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
33,1.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0, negative
34,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0, negative
35,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0, negative
36,1.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0, negative
37,0.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0, negative
38,0.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0, negative
39,1.0,5.0,5.0,3.0,6.0,5.0,4.0,6.0, negative
40,1.0,7.0,8.0,7.0,8.0,7.0,8.0,8.0, negative
41,1.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0, negative
42,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0, negative
43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, negative
44,0.0,2.0,2.0,2.0,3.0,4.0,3.0,1.0, negative
45,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0, negative
46,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0, negative
47,0.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0, negative
48,1.0,3.0,3.0,6.0,3.0,5.0,3.0,2.0, negative
49,1.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0, negative
50,0.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0, negative
51,0.0,3.0,4.0,5.0,4.0,5.0,5.0,3.0, negative
52,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0, negative
53,1.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0, negative
54,1.0,4.0,4.0,6.0,5.0,4.0,7.0,4.0, negative
55,1.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0, negative
56,0.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0, negative
57,0.0,4.0,5.0,5.0,5.0,5.0,7.0,4.0, negative
58,1.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0, negative
59,1.0,5.0,6.0,6.0,7.0,8.0,7.0,6.0, negative
60,0.0,5.0,5.0,5.0,7.0,7.0,6.0,5.0, negative
61,1.0,6.0,6.0,5.0,7.0,8.0,6.0,7.0, negative
62,0.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0, negative
63,1.0,6.0,6.0,5.0,7.0,7.0,7.0,5.0, negative
64,1.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0, negative
65,0.0,8.0,8.0,7.0,8.0,9.0,8.0,7.0, negative
66,0.0,8.0,8.0,6.0,8.0,7.0,7.0,8.0, negative
67,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0, negative
68,1.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0, negative
69,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0, negative
70,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0, negative
71,1.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0, negative
72,1.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0, negative
73,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0, negative
74,1.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0, negative
75,1.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0, negative
76,1.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0, negative
77,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0, negative
78,1.0,5.0,4.0,4.0,4.0,6.0,5.0,3.0, negative
79,1.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0, negative
80,0.0,5.0,5.0,7.0,5.0,5.0,6.0,4.0, negative
81,1.0,5.0,5.0,7.0,3.0,4.0,5.0,5.0, negative
82,0.0,5.0,4.0,5.0,5.0,6.0,5.0,4.0, negative
83,1.0,5.0,5.0,6.0,4.0,4.0,4.0,4.0, negative
84,0.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0, negative
85,0.0,6.0,7.0,6.0,6.0,7.0,7.0,5.0, negative
