,0,1,2,3,4,5,6,7,y
0,0.0,4.0,4.0,0.0,2.0,2.0,2.0,2.0, negative
1,5.0,4.0,4.0,0.0,2.0,2.0,2.0,2.0, negative
2,5.0,5.0,5.0,1.0,3.0,3.0,4.0,4.0, negative
3,0.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0, negative
4,0.0,4.0,5.0,1.0,3.0,3.0,2.0,3.0, negative
5,0.0,6.0,5.0,1.0,3.0,2.0,3.0,3.0, negative
6,0.0,5.0,4.0,1.0,2.0,2.0,2.0,2.0, negative
7,5.0,3.0,3.0,0.0,1.0,1.0,2.0,1.0, negative
8,0.0,4.0,5.0,1.0,2.0,2.0,3.0,2.0, negative
9,0.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0, negative
10,9.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0, negative
11,5.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0, negative
12,0.0,6.0,6.0,1.0,6.0,6.0,5.0,5.0, negative
13,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0, negative
14,9.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0, negative
15,0.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0, negative
16,9.0,4.0,4.0,0.0,1.0,1.0,1.0,2.0, negative
17,0.0,4.0,4.0,1.0,2.0,1.0,2.0,2.0, negative
18,5.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0, negative
19,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0, negative
20,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0, negative
21,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0, negative
22,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0, negative
23,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0, negative
24,9.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0, negative
25,5.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0, negative
26,5.0,4.0,6.0,1.0,4.0,3.0,3.0,4.0, negative
27,5.0,8.0,8.0,1.0,6.0,6.0,7.0,4.0, negative
28,0.0,4.0,5.0,1.0,3.0,2.0,3.0,3.0, negative
29,0.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0, negative
30,0.0,7.0,7.0,0.0,4.0,4.0,5.0,4.0, negative
31,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
32,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0, negative
33,0.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0, negative
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
35,5.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0, negative
36,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0, negative
37,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0, negative
38,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0, negative
39,9.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0, negative
40,5.0,5.0,4.0,1.0,3.0,3.0,2.0,3.0, negative
41,0.0,5.0,5.0,1.0,3.0,3.0,2.0,3.0, negative
42,0.0,6.0,5.0,1.0,4.0,4.0,3.0,4.0, negative
43,5.0,8.0,9.0,1.0,8.0,9.0,8.0,6.0, negative
44,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0, negative
45,9.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0, negative
46,9.0,4.0,4.0,0.0,2.0,2.0,2.0,2.0, negative
47,0.0,4.0,4.0,1.0,3.0,3.0,3.0,2.0, negative
48,5.0,4.0,4.0,1.0,3.0,3.0,2.0,2.0, negative
49,0.0,5.0,5.0,1.0,3.0,3.0,2.0,3.0, negative
50,9.0,5.0,4.0,1.0,3.0,2.0,2.0,3.0, negative
51,0.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0, negative
52,0.0,5.0,6.0,1.0,4.0,4.0,4.0,3.0, negative
53,5.0,5.0,6.0,1.0,4.0,4.0,5.0,4.0, negative
54,5.0,6.0,6.0,1.0,3.0,4.0,4.0,3.0, negative
55,5.0,6.0,6.0,1.0,4.0,4.0,5.0,3.0, negative
56,5.0,6.0,5.0,1.0,4.0,4.0,4.0,4.0, negative
57,0.0,6.0,6.0,1.0,3.0,3.0,3.0,4.0, negative
58,0.0,6.0,6.0,1.0,4.0,4.0,5.0,4.0, negative
59,5.0,7.0,5.0,1.0,3.0,3.0,4.0,3.0, negative
60,5.0,7.0,7.0,1.0,6.0,6.0,6.0,5.0, negative
61,0.0,7.0,7.0,1.0,6.0,6.0,5.0,4.0, negative
62,5.0,7.0,7.0,1.0,5.0,5.0,6.0,5.0, negative
63,5.0,7.0,7.0,1.0,6.0,7.0,5.0,5.0, negative
64,0.0,7.0,7.0,1.0,6.0,6.0,6.0,6.0, negative
65,5.0,8.0,8.0,1.0,7.0,7.0,6.0,6.0, negative
66,0.0,8.0,8.0,1.0,7.0,8.0,7.0,6.0, negative
67,0.0,8.0,9.0,1.0,9.0,9.0,9.0,8.0, negative
68,5.0,8.0,8.0,1.0,8.0,8.0,7.0,6.0, negative
69,9.0,4.0,4.0,0.0,2.0,2.0,2.0,1.0, negative
70,9.0,5.0,5.0,1.0,3.0,4.0,2.0,3.0, negative
71,9.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0, negative
72,9.0,5.0,5.0,1.0,3.0,3.0,3.0,2.0, negative
73,9.0,6.0,5.0,1.0,2.0,2.0,3.0,2.0, negative
74,9.0,6.0,5.0,1.0,2.0,3.0,3.0,3.0, negative
75,9.0,6.0,5.0,1.0,3.0,3.0,3.0,2.0, negative
76,9.0,6.0,5.0,1.0,3.0,3.0,3.0,3.0, negative
77,5.0,6.0,6.0,1.0,4.0,5.0,4.0,3.0, negative
78,5.0,6.0,6.0,1.0,4.0,4.0,4.0,4.0, negative
79,0.0,7.0,7.0,1.0,5.0,5.0,5.0,4.0, negative
80,0.0,7.0,6.0,1.0,4.0,5.0,4.0,4.0, negative
81,0.0,7.0,7.0,1.0,6.0,6.0,5.0,5.0, negative
82,0.0,7.0,7.0,1.0,5.0,6.0,4.0,4.0, negative
83,5.0,7.0,7.0,1.0,6.0,6.0,6.0,5.0, negative
84,0.0,8.0,8.0,1.0,5.0,6.0,5.0,4.0, negative
85,0.0,8.0,7.0,1.0,5.0,6.0,5.0,4.0, negative
86,0.0,8.0,7.0,1.0,4.0,5.0,3.0,4.0, negative
87,5.0,8.0,8.0,1.0,6.0,7.0,6.0,5.0, negative
88,0.0,8.0,8.0,1.0,6.0,7.0,7.0,5.0, negative
89,0.0,9.0,9.0,1.0,7.0,8.0,7.0,7.0, negative
90,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0, negative
91,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0, negative
92,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0, negative
93,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0, negative
94,9.0,4.0,4.0,0.0,2.0,2.0,1.0,1.0, negative
95,9.0,4.0,3.0,0.0,1.0,1.0,1.0,1.0, negative
96,5.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0, negative
97,9.0,4.0,3.0,0.0,1.0,4.0,1.0,1.0, negative
98,5.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0, negative
99,9.0,4.0,4.0,0.0,2.0,1.0,1.0,2.0, negative
100,9.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0, negative
101,9.0,5.0,4.0,0.0,2.0,2.0,2.0,2.0, negative
102,9.0,5.0,5.0,1.0,2.0,1.0,2.0,2.0, negative
103,9.0,5.0,4.0,0.0,2.0,2.0,2.0,2.0, negative
104,9.0,5.0,4.0,0.0,2.0,2.0,1.0,2.0, negative
105,9.0,5.0,4.0,1.0,2.0,2.0,2.0,2.0, negative
106,0.0,5.0,5.0,1.0,2.0,2.0,3.0,3.0, negative
107,9.0,5.0,6.0,1.0,3.0,3.0,2.0,3.0, negative
108,9.0,6.0,6.0,1.0,4.0,4.0,3.0,4.0, negative
109,0.0,7.0,7.0,1.0,4.0,4.0,4.0,4.0, negative
110,0.0,7.0,7.0,1.0,4.0,4.0,4.0,4.0, negative
111,9.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0, negative
112,0.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0, negative
113,9.0,4.0,4.0,0.0,2.0,2.0,2.0,2.0, negative
114,0.0,5.0,5.0,1.0,3.0,4.0,3.0,2.0, negative
115,0.0,5.0,5.0,0.0,3.0,3.0,2.0,3.0, negative
116,9.0,5.0,5.0,1.0,2.0,3.0,2.0,3.0, negative
117,0.0,6.0,5.0,1.0,3.0,4.0,3.0,3.0, negative
118,0.0,6.0,5.0,1.0,4.0,4.0,3.0,3.0, negative
119,0.0,7.0,7.0,1.0,5.0,6.0,5.0,5.0, negative
120,5.0,7.0,7.0,1.0,5.0,5.0,5.0,5.0, negative
121,0.0,7.0,7.0,1.0,5.0,5.0,5.0,5.0, negative
122,9.0,8.0,8.0,1.0,4.0,4.0,4.0,5.0, negative
123,5.0,8.0,6.0,1.0,5.0,6.0,5.0,5.0, negative
124,0.0,8.0,9.0,1.0,7.0,6.0,8.0,7.0, negative
125,0.0,9.0,8.0,1.0,6.0,5.0,6.0,4.0, negative
126,9.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0, negative
127,9.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0, negative
128,9.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0, negative
129,9.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0, negative
130,9.0,5.0,4.0,1.0,2.0,2.0,3.0,2.0, negative
131,9.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0, negative
132,0.0,5.0,4.0,1.0,2.0,2.0,2.0,4.0, negative
133,9.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0, negative
134,9.0,5.0,5.0,1.0,3.0,3.0,3.0,3.0, negative
135,9.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0, negative
136,9.0,5.0,5.0,0.0,3.0,2.0,3.0,3.0, negative
137,9.0,5.0,5.0,1.0,3.0,3.0,3.0,3.0, negative
138,9.0,5.0,5.0,1.0,3.0,2.0,3.0,3.0, negative
139,9.0,5.0,5.0,1.0,3.0,3.0,3.0,3.0, negative
140,9.0,6.0,5.0,1.0,3.0,3.0,3.0,3.0, negative
141,9.0,6.0,5.0,1.0,2.0,2.0,2.0,3.0, negative
142,9.0,6.0,6.0,1.0,3.0,4.0,2.0,4.0, negative
143,9.0,6.0,6.0,1.0,4.0,4.0,3.0,4.0, negative
144,9.0,6.0,6.0,1.0,4.0,4.0,4.0,4.0, negative
145,5.0,7.0,7.0,1.0,4.0,4.0,4.0,4.0, negative
146,0.0,7.0,7.0,1.0,4.0,4.0,4.0,5.0, negative
147,5.0,7.0,7.0,1.0,5.0,5.0,6.0,9.0, negative
148,5.0,7.0,6.0,1.0,4.0,5.0,3.0,4.0, negative
149,5.0,7.0,6.0,1.0,5.0,5.0,4.0,5.0, negative
150,9.0,7.0,7.0,1.0,4.0,4.0,4.0,4.0, negative
151,0.0,8.0,8.0,1.0,4.0,4.0,4.0,5.0, negative
152,5.0,8.0,8.0,1.0,5.0,5.0,5.0,4.0, negative
153,5.0,8.0,8.0,1.0,6.0,6.0,5.0,8.0, negative
154,9.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0, negative
155,9.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0, negative
156,9.0,4.0,4.0,0.0,2.0,2.0,1.0,2.0, negative
157,9.0,5.0,4.0,0.0,2.0,2.0,2.0,3.0, negative
158,0.0,5.0,5.0,1.0,5.0,5.0,6.0,5.0, negative
159,0.0,6.0,6.0,1.0,4.0,4.0,4.0,4.0, negative
160,5.0,6.0,6.0,1.0,4.0,4.0,4.0,3.0, negative
161,9.0,7.0,7.0,1.0,4.0,4.0,5.0,5.0, negative
162,5.0,8.0,8.0,1.0,6.0,6.0,5.0,6.0, negative
163,9.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0, negative
164,9.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0, negative
165,9.0,4.0,4.0,0.0,1.0,1.0,1.0,2.0, negative
166,9.0,4.0,3.0,0.0,1.0,1.0,1.0,1.0, negative
167,9.0,5.0,4.0,1.0,2.0,2.0,2.0,2.0, negative
168,9.0,5.0,5.0,1.0,2.0,2.0,2.0,3.0, negative
169,9.0,5.0,5.0,1.0,3.0,4.0,3.0,4.0, negative
170,9.0,6.0,6.0,0.0,2.0,2.0,2.0,3.0, negative
171,9.0,6.0,6.0,1.0,3.0,3.0,2.0,4.0, negative
172,0.0,6.0,6.0,1.0,3.0,2.0,3.0,3.0, negative
173,0.0,8.0,8.0,1.0,5.0,5.0,6.0,5.0, negative
174,5.0,8.0,7.0,1.0,5.0,5.0,4.0,5.0, negative
175,0.0,4.0,3.0,0.0,2.0,3.0,1.0,2.0, negative
176,9.0,5.0,4.0,1.0,2.0,3.0,2.0,2.0, negative
177,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0, negative
178,9.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0, negative
179,9.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0, negative
180,0.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0, negative
181,0.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0, negative
182,9.0,5.0,4.0,1.0,2.0,3.0,2.0,2.0, negative
183,0.0,5.0,5.0,1.0,3.0,2.0,3.0,3.0, negative
184,0.0,6.0,6.0,1.0,4.0,4.0,4.0,3.0, negative
185,5.0,6.0,6.0,1.0,3.0,3.0,3.0,3.0, negative
186,0.0,7.0,7.0,1.0,4.0,5.0,3.0,5.0, negative
187,5.0,8.0,6.0,1.0,5.0,5.0,5.0,4.0, negative
188,0.0,8.0,8.0,1.0,7.0,7.0,6.0,7.0, negative
189,0.0,9.0,8.0,1.0,7.0,7.0,5.0,6.0, negative
190,5.0,5.0,5.0,1.0,3.0,3.0,3.0,3.0, negative
191,0.0,4.0,4.0,0.0,2.0,2.0,2.0,3.0, negative
192,0.0,6.0,6.0,1.0,3.0,3.0,4.0,3.0, negative
193,5.0,5.0,5.0,1.0,3.0,3.0,3.0,3.0, negative
194,0.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0, negative
195,5.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0, negative
196,0.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0, negative
197,5.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0, negative
198,5.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0, negative
199,9.0,4.0,4.0,0.0,2.0,2.0,1.0,1.0, negative
200,0.0,6.0,5.0,1.0,3.0,2.0,3.0,3.0, negative
201,0.0,4.0,4.0,1.0,2.0,1.0,2.0,2.0, negative
202,0.0,5.0,4.0,1.0,3.0,3.0,2.0,3.0, negative
203,9.0,5.0,5.0,1.0,3.0,3.0,2.0,3.0, negative
204,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0, negative
205,9.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0, negative
206,5.0,8.0,8.0,1.0,6.0,4.0,6.0,7.0, negative
207,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
208,5.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0, negative
209,5.0,4.0,4.0,1.0,2.0,1.0,2.0,2.0, negative
210,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0, negative
211,9.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0, negative
212,0.0,4.0,5.0,0.0,2.0,2.0,2.0,2.0, negative
213,9.0,4.0,5.0,0.0,2.0,2.0,2.0,3.0, negative
214,5.0,4.0,5.0,1.0,3.0,3.0,3.0,2.0, negative
215,0.0,5.0,5.0,1.0,4.0,4.0,3.0,4.0, negative
216,5.0,7.0,8.0,1.0,7.0,7.0,7.0,7.0, negative
217,9.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0, negative
218,0.0,6.0,6.0,1.0,4.0,5.0,4.0,3.0, negative
219,5.0,6.0,6.0,1.0,4.0,5.0,5.0,4.0, negative
220,5.0,6.0,6.0,1.0,5.0,6.0,3.0,4.0, negative
221,5.0,7.0,6.0,1.0,4.0,4.0,4.0,4.0, negative
222,5.0,7.0,7.0,1.0,4.0,5.0,4.0,4.0, negative
223,5.0,7.0,7.0,1.0,5.0,5.0,5.0,4.0, negative
224,5.0,7.0,7.0,1.0,5.0,4.0,5.0,4.0, negative
225,5.0,7.0,7.0,1.0,7.0,7.0,7.0,5.0, negative
226,0.0,8.0,8.0,1.0,6.0,7.0,7.0,5.0, negative
227,0.0,8.0,7.0,1.0,6.0,6.0,8.0,5.0, negative
228,5.0,8.0,8.0,1.0,6.0,5.0,5.0,7.0, negative
229,0.0,9.0,9.0,1.0,9.0,9.0,9.0,9.0, negative
230,9.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0, negative
231,9.0,5.0,5.0,1.0,2.0,3.0,2.0,2.0, negative
232,9.0,5.0,5.0,1.0,2.0,2.0,2.0,3.0, negative
233,9.0,5.0,5.0,1.0,3.0,3.0,2.0,3.0, negative
234,9.0,6.0,6.0,1.0,3.0,3.0,3.0,3.0, negative
235,5.0,6.0,7.0,1.0,4.0,5.0,5.0,3.0, negative
236,9.0,6.0,6.0,1.0,3.0,3.0,3.0,4.0, negative
237,5.0,7.0,8.0,1.0,5.0,5.0,4.0,4.0, negative
238,0.0,7.0,7.0,1.0,4.0,5.0,4.0,4.0, negative
239,5.0,7.0,6.0,1.0,3.0,3.0,3.0,4.0, negative
240,0.0,7.0,7.0,1.0,4.0,5.0,4.0,5.0, negative
241,5.0,7.0,7.0,1.0,5.0,5.0,6.0,5.0, negative
