,0,1,2,3,4,5,6,7,y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, positive
1,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0, positive
2,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0, positive
3,0.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0, negative
4,9.0,6.0,6.0,4.0,2.0,2.0,3.0,2.0, negative
5,0.0,7.0,7.0,6.0,4.0,3.0,5.0,5.0, negative
6,5.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0, negative
7,0.0,6.0,7.0,6.0,4.0,3.0,5.0,4.0, negative
8,5.0,5.0,5.0,5.0,2.0,2.0,3.0,2.0, negative
9,9.0,6.0,6.0,5.0,3.0,2.0,3.0,3.0, negative
10,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0, negative
11,5.0,5.0,4.0,5.0,1.0,1.0,2.0,1.0, negative
12,9.0,6.0,5.0,4.0,2.0,1.0,3.0,3.0, negative
13,9.0,8.0,9.0,8.0,8.0,8.0,7.0,6.0, negative
14,9.0,8.0,9.0,7.0,7.0,7.0,9.0,7.0, negative
15,9.0,7.0,8.0,8.0,6.0,5.0,6.0,6.0, negative
16,9.0,8.0,8.0,7.0,6.0,5.0,6.0,5.0, negative
17,9.0,8.0,8.0,8.0,7.0,6.0,7.0,7.0, negative
18,9.0,9.0,8.0,8.0,7.0,6.0,9.0,6.0, negative
19,0.0,7.0,6.0,5.0,3.0,3.0,3.0,2.0, negative
20,0.0,8.0,8.0,7.0,5.0,5.0,5.0,5.0, negative
21,0.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0, negative
22,9.0,9.0,9.0,7.0,7.0,7.0,8.0,7.0, negative
23,0.0,8.0,8.0,9.0,8.0,8.0,9.0,7.0, negative
24,0.0,8.0,9.0,9.0,7.0,7.0,9.0,6.0, negative
25,0.0,8.0,8.0,7.0,7.0,8.0,7.0,6.0, negative
26,0.0,9.0,9.0,9.0,8.0,6.0,8.0,9.0, negative
27,5.0,6.0,7.0,6.0,4.0,3.0,3.0,4.0, negative
28,5.0,7.0,7.0,6.0,4.0,3.0,4.0,4.0, negative
29,0.0,8.0,8.0,8.0,6.0,6.0,8.0,6.0, negative
30,9.0,8.0,8.0,8.0,6.0,6.0,9.0,6.0, negative
31,9.0,8.0,8.0,7.0,6.0,6.0,7.0,5.0, negative
32,0.0,8.0,8.0,7.0,6.0,6.0,6.0,5.0, negative
