,0,1,2,3,4,5,6,y
0,0.0,1.0,0.0,0.0,3.0,0.0,1.0, negative
1,1.0,1.0,0.0,0.0,1.0,0.0,1.0, negative
2,0.0,2.0,0.0,0.0,2.0,0.0,0.0, negative
3,0.0,0.0,0.0,0.0,2.0,1.0,2.0, negative
4,1.0,3.0,0.0,0.0,1.0,2.0,3.0, negative
5,1.0,2.0,0.0,0.0,2.0,0.0,1.0, negative
6,0.0,0.0,0.0,0.0,1.0,2.0,3.0, negative
7,2.0,2.0,0.0,0.0,2.0,1.0,2.0, negative
8,2.0,0.0,0.0,0.0,0.0,1.0,2.0, negative
9,0.0,0.0,0.0,0.0,2.0,0.0,1.0, negative
10,0.0,2.0,0.0,0.0,3.0,3.0,4.0, negative
11,2.0,4.0,0.0,0.0,1.0,2.0,3.0, negative
12,0.0,1.0,0.0,0.0,0.0,0.0,1.0, negative
13,1.0,0.0,0.0,0.0,1.0,2.0,3.0, negative
14,2.0,0.0,0.0,0.0,2.0,1.0,2.0, negative
15,2.0,3.0,0.0,0.0,3.0,2.0,3.0, negative
16,1.0,3.0,0.0,0.0,4.0,1.0,2.0, negative
17,2.0,2.0,0.0,0.0,0.0,2.0,2.0, negative
18,3.0,4.0,0.0,0.0,1.0,1.0,2.0, negative
19,1.0,1.0,0.0,0.0,0.0,1.0,3.0, negative
20,2.0,2.0,0.0,0.0,2.0,0.0,0.0, negative
21,1.0,2.0,0.0,0.0,1.0,0.0,1.0, negative
22,0.0,1.0,0.0,0.0,2.0,0.0,1.0, negative
23,0.0,1.0,0.0,0.0,1.0,1.0,2.0, negative
24,2.0,1.0,0.0,0.0,2.0,1.0,3.0, negative
25,0.0,2.0,0.0,0.0,1.0,1.0,3.0, negative
26,1.0,0.0,0.0,0.0,4.0,1.0,2.0, negative
27,2.0,1.0,0.0,0.0,1.0,3.0,4.0, negative
28,1.0,1.0,0.0,0.0,0.0,2.0,3.0, negative
29,3.0,2.0,0.0,0.0,3.0,4.0,4.0, negative
30,2.0,0.0,0.0,0.0,4.0,4.0,4.0, negative
31,4.0,2.0,0.0,0.0,3.0,3.0,0.0, negative
32,3.0,0.0,0.0,0.0,4.0,4.0,4.0, negative
33,1.0,0.0,0.0,0.0,4.0,4.0,4.0, negative
34,4.0,2.0,0.0,0.0,3.0,4.0,4.0, negative
35,4.0,0.0,0.0,0.0,4.0,0.0,4.0, negative
36,3.0,3.0,0.0,0.0,4.0,3.0,4.0, negative
37,0.0,0.0,0.0,0.0,3.0,4.0,0.0, negative
38,4.0,3.0,0.0,0.0,3.0,4.0,4.0, negative
39,2.0,1.0,0.0,0.0,4.0,4.0,4.0, negative
40,1.0,2.0,0.0,0.0,0.0,4.0,4.0, negative
41,4.0,3.0,0.0,0.0,4.0,4.0,4.0, negative
42,2.0,4.0,0.0,0.0,0.0,4.0,0.0, negative
43,1.0,2.0,0.0,0.0,0.0,4.0,0.0, negative
44,0.0,4.0,0.0,0.0,4.0,3.0,3.0, negative
45,3.0,4.0,0.0,0.0,2.0,2.0,0.0, negative
46,3.0,4.0,0.0,0.0,0.0,0.0,2.0, negative
47,3.0,4.0,0.0,0.0,0.0,2.0,1.0, negative
48,3.0,4.0,0.0,0.0,1.0,2.0,0.0, negative
49,3.0,4.0,0.0,0.0,1.0,0.0,1.0, negative
50,4.0,4.0,0.0,0.0,2.0,2.0,3.0, negative
51,4.0,4.0,0.0,0.0,4.0,2.0,2.0, negative
52,4.0,4.0,0.0,0.0,2.0,1.0,1.0, negative
53,4.0,4.0,0.0,0.0,0.0,3.0,3.0, negative
54,3.0,3.0,0.0,0.0,3.0,3.0,2.0, positive
55,3.0,3.0,0.0,0.0,4.0,3.0,0.0, positive
56,4.0,3.0,0.0,0.0,3.0,3.0,1.0, positive
57,3.0,3.0,0.0,0.0,3.0,4.0,4.0, positive
58,4.0,4.0,0.0,0.0,0.0,3.0,0.0, positive
59,4.0,2.0,0.0,0.0,3.0,3.0,0.0, positive
60,4.0,3.0,0.0,0.0,4.0,3.0,0.0, positive
