,0,1,2,3,4,5,y
0,6.0,0.0,1.0,6.0,3.0,4.0, negative
1,6.0,6.0,1.0,6.0,4.0,3.0, negative
2,7.0,4.0,1.0,3.0,3.0,4.0, negative
3,3.0,3.0,1.0,5.0,2.0,3.0, negative
4,2.0,4.0,1.0,6.0,2.0,3.0, negative
5,0.0,5.0,1.0,5.0,5.0,5.0, negative
6,4.0,2.0,1.0,7.0,2.0,3.0, negative
7,2.0,6.0,1.0,5.0,1.0,2.0, negative
8,4.0,3.0,1.0,5.0,2.0,3.0, negative
9,5.0,0.0,1.0,5.0,3.0,3.0, negative
10,2.0,5.0,1.0,6.0,1.0,2.0, negative
11,2.0,0.0,1.0,5.0,4.0,5.0, negative
12,3.0,5.0,1.0,3.0,2.0,3.0, negative
13,4.0,2.0,1.0,7.0,5.0,5.0, negative
14,2.0,0.0,1.0,4.0,2.0,3.0, negative
15,0.0,5.0,1.0,3.0,2.0,0.0, negative
16,3.0,2.0,1.0,9.0,0.0,1.0, negative
17,5.0,7.0,1.0,4.0,3.0,4.0, negative
18,0.0,1.0,1.0,7.0,1.0,2.0, negative
19,3.0,4.0,1.0,6.0,2.0,2.0, negative
20,2.0,0.0,1.0,5.0,3.0,4.0, negative
21,2.0,6.0,1.0,1.0,3.0,4.0, negative
22,4.0,4.0,1.0,7.0,3.0,4.0, negative
23,4.0,4.0,1.0,5.0,3.0,4.0, negative
24,5.0,4.0,1.0,5.0,2.0,3.0, negative
25,3.0,4.0,1.0,3.0,3.0,4.0, negative
26,6.0,6.0,1.0,3.0,3.0,4.0, negative
27,0.0,3.0,1.0,4.0,3.0,4.0, negative
28,2.0,4.0,1.0,2.0,1.0,2.0, negative
29,3.0,7.0,1.0,4.0,3.0,4.0, negative
30,3.0,6.0,1.0,4.0,2.0,3.0, negative
31,7.0,6.0,1.0,7.0,0.0,0.0, negative
32,3.0,5.0,1.0,3.0,2.0,3.0, negative
33,4.0,5.0,1.0,6.0,2.0,2.0, negative
34,3.0,5.0,1.0,6.0,3.0,4.0, negative
35,0.0,4.0,1.0,7.0,4.0,4.0, negative
36,0.0,0.0,1.0,5.0,4.0,4.0, negative
37,2.0,4.0,1.0,1.0,3.0,4.0, negative
38,6.0,5.0,1.0,6.0,3.0,4.0, negative
39,1.0,4.0,1.0,5.0,4.0,0.0, negative
40,4.0,4.0,1.0,7.0,5.0,6.0, negative
41,4.0,0.0,1.0,4.0,2.0,3.0, negative
42,4.0,4.0,1.0,7.0,1.0,2.0, negative
43,2.0,4.0,1.0,4.0,3.0,4.0, negative
44,3.0,6.0,1.0,4.0,4.0,3.0, negative
45,3.0,0.0,1.0,5.0,0.0,1.0, negative
46,2.0,4.0,1.0,3.0,4.0,4.0, negative
47,2.0,7.0,1.0,3.0,5.0,5.0, negative
48,5.0,4.0,1.0,3.0,3.0,4.0, negative
49,4.0,4.0,1.0,1.0,3.0,4.0, negative
50,4.0,4.0,1.0,7.0,3.0,4.0, negative
51,4.0,7.0,1.0,1.0,4.0,5.0, negative
52,3.0,5.0,1.0,6.0,4.0,5.0, negative
53,1.0,0.0,1.0,5.0,2.0,3.0, negative
54,5.0,3.0,1.0,6.0,3.0,4.0, negative
55,2.0,4.0,1.0,4.0,3.0,4.0, negative
56,5.0,7.0,1.0,4.0,4.0,5.0, negative
57,3.0,6.0,1.0,7.0,0.0,4.0, negative
58,2.0,2.0,1.0,3.0,2.0,3.0, negative
59,4.0,6.0,1.0,5.0,2.0,3.0, negative
60,3.0,0.0,1.0,4.0,3.0,4.0, negative
61,4.0,5.0,1.0,4.0,2.0,0.0, negative
62,2.0,5.0,1.0,3.0,2.0,3.0, negative
63,4.0,0.0,1.0,6.0,2.0,3.0, negative
64,5.0,5.0,1.0,5.0,2.0,3.0, negative
65,4.0,6.0,1.0,6.0,4.0,5.0, negative
66,4.0,3.0,1.0,4.0,2.0,3.0, negative
67,3.0,3.0,1.0,4.0,3.0,4.0, negative
68,4.0,5.0,1.0,5.0,3.0,4.0, negative
69,3.0,6.0,1.0,4.0,2.0,3.0, negative
70,3.0,7.0,1.0,7.0,3.0,4.0, negative
71,3.0,7.0,1.0,4.0,4.0,5.0, negative
72,0.0,5.0,1.0,6.0,5.0,5.0, negative
73,5.0,5.0,1.0,3.0,3.0,4.0, negative
74,0.0,6.0,1.0,2.0,2.0,3.0, negative
75,3.0,5.0,1.0,6.0,3.0,4.0, negative
76,4.0,5.0,1.0,1.0,2.0,2.0, negative
77,0.0,5.0,1.0,3.0,2.0,3.0, negative
78,3.0,6.0,1.0,2.0,2.0,3.0, negative
79,7.0,9.0,1.0,5.0,3.0,3.0, negative
80,3.0,4.0,1.0,1.0,3.0,4.0, negative
81,6.0,7.0,1.0,3.0,2.0,3.0, negative
82,7.0,7.0,1.0,3.0,3.0,2.0, negative
83,5.0,5.0,1.0,7.0,3.0,4.0, negative
84,2.0,7.0,1.0,8.0,3.0,4.0, negative
85,4.0,2.0,1.0,7.0,1.0,2.0, negative
86,3.0,6.0,1.0,7.0,1.0,2.0, negative
87,2.0,4.0,1.0,3.0,0.0,0.0, negative
88,2.0,0.0,1.0,5.0,3.0,4.0, negative
89,4.0,6.0,1.0,4.0,3.0,0.0, negative
90,4.0,3.0,1.0,3.0,4.0,5.0, negative
91,5.0,5.0,1.0,6.0,0.0,0.0, negative
92,5.0,3.0,1.0,7.0,0.0,2.0, negative
93,3.0,4.0,1.0,1.0,0.0,0.0, negative
94,3.0,4.0,1.0,6.0,5.0,5.0, negative
95,3.0,4.0,1.0,5.0,0.0,2.0, negative
96,4.0,0.0,1.0,4.0,2.0,3.0, negative
97,4.0,5.0,1.0,4.0,0.0,2.0, negative
98,4.0,6.0,1.0,7.0,0.0,2.0, negative
99,3.0,5.0,1.0,4.0,3.0,4.0, negative
100,5.0,6.0,1.0,7.0,1.0,2.0, negative
101,3.0,3.0,1.0,1.0,4.0,0.0, negative
102,2.0,2.0,1.0,4.0,3.0,4.0, negative
103,2.0,5.0,1.0,6.0,2.0,3.0, negative
104,1.0,4.0,1.0,7.0,0.0,3.0, negative
105,0.0,3.0,1.0,4.0,2.0,3.0, negative
106,6.0,4.0,1.0,6.0,3.0,4.0, negative
107,3.0,6.0,1.0,5.0,3.0,4.0, negative
108,2.0,4.0,1.0,5.0,2.0,3.0, negative
109,0.0,5.0,1.0,4.0,3.0,4.0, negative
110,2.0,4.0,1.0,4.0,2.0,3.0, negative
111,3.0,5.0,1.0,4.0,4.0,4.0, negative
112,0.0,4.0,1.0,4.0,5.0,5.0, negative
113,4.0,3.0,1.0,3.0,3.0,4.0, negative
114,2.0,0.0,1.0,9.0,2.0,3.0, negative
115,1.0,6.0,1.0,6.0,3.0,4.0, negative
116,3.0,5.0,1.0,7.0,3.0,4.0, negative
117,2.0,0.0,1.0,3.0,2.0,3.0, negative
118,0.0,5.0,1.0,7.0,2.0,3.0, negative
119,2.0,4.0,1.0,4.0,2.0,3.0, negative
120,4.0,4.0,1.0,5.0,5.0,5.0, negative
121,2.0,5.0,1.0,3.0,3.0,4.0, negative
122,1.0,5.0,1.0,7.0,2.0,3.0, negative
123,0.0,7.0,1.0,6.0,9.0,3.0, negative
124,4.0,6.0,1.0,4.0,4.0,5.0, negative
125,3.0,6.0,1.0,7.0,9.0,0.0, negative
126,5.0,7.0,1.0,6.0,9.0,8.0, negative
127,3.0,6.0,1.0,9.0,6.0,6.0, negative
128,6.0,6.0,1.0,7.0,8.0,0.0, negative
129,1.0,8.0,1.0,9.0,6.0,6.0, negative
130,0.0,0.0,1.0,8.0,8.0,8.0, negative
131,8.0,4.0,1.0,7.0,9.0,9.0, negative
132,9.0,5.0,1.0,6.0,7.0,7.0, negative
133,5.0,5.0,1.0,1.0,8.0,0.0, negative
134,6.0,6.0,1.0,1.0,9.0,8.0, negative
135,5.0,5.0,1.0,6.0,0.0,8.0, negative
136,0.0,8.0,1.0,2.0,9.0,9.0, negative
137,8.0,5.0,1.0,6.0,6.0,0.0, negative
138,5.0,7.0,1.0,7.0,7.0,7.0, negative
139,3.0,7.0,1.0,3.0,8.0,0.0, negative
140,5.0,7.0,1.0,6.0,8.0,7.0, negative
141,5.0,5.0,1.0,7.0,8.0,8.0, negative
142,3.0,0.0,1.0,7.0,9.0,8.0, negative
143,8.0,5.0,1.0,7.0,9.0,8.0, negative
144,4.0,0.0,1.0,8.0,7.0,7.0, negative
145,8.0,0.0,1.0,9.0,0.0,7.0, negative
146,9.0,4.0,1.0,8.0,7.0,7.0, negative
147,3.0,6.0,1.0,8.0,0.0,0.0, negative
148,0.0,0.0,1.0,7.0,9.0,8.0, negative
149,0.0,0.0,0.0,7.0,8.0,0.0, negative
150,1.0,6.0,1.0,3.0,4.0,4.0, negative
151,9.0,7.0,1.0,6.0,7.0,7.0, negative
152,0.0,5.0,1.0,7.0,8.0,7.0, negative
153,1.0,5.0,1.0,8.0,0.0,7.0, negative
154,3.0,4.0,1.0,5.0,6.0,6.0, negative
