,0,1,2,3,4,5,y
0,1.0,1.0,0.0,4.0,1.0,3.0, negative
1,3.0,0.0,0.0,4.0,0.0,0.0, negative
2,3.0,7.0,0.0,1.0,1.0,2.0, negative
3,2.0,2.0,0.0,2.0,3.0,5.0, negative
4,3.0,5.0,0.0,0.0,0.0,1.0, negative
5,4.0,5.0,0.0,0.0,2.0,4.0, negative
6,0.0,1.0,0.0,2.0,2.0,4.0, negative
7,4.0,1.0,0.0,1.0,1.0,4.0, negative
8,1.0,3.0,0.0,4.0,4.0,6.0, negative
9,2.0,2.0,0.0,1.0,1.0,4.0, negative
10,2.0,3.0,0.0,2.0,3.0,5.0, negative
11,1.0,5.0,0.0,2.0,4.0,5.0, negative
12,4.0,3.0,0.0,0.0,2.0,4.0, negative
13,0.0,3.0,0.0,1.0,1.0,2.0, negative
14,3.0,0.0,0.0,6.0,1.0,3.0, negative
15,2.0,6.0,0.0,1.0,3.0,0.0, negative
16,0.0,3.0,0.0,2.0,1.0,3.0, negative
17,0.0,2.0,0.0,1.0,0.0,0.0, negative
18,6.0,5.0,0.0,3.0,9.0,9.0, negative
19,1.0,5.0,0.0,6.0,9.0,9.0, negative
20,3.0,0.0,0.0,5.0,7.0,8.0, negative
21,2.0,1.0,0.0,3.0,8.0,8.0, negative
22,4.0,2.0,0.0,7.0,7.0,7.0, negative
23,6.0,7.0,0.0,2.0,8.0,7.0, negative
24,4.0,7.0,0.0,4.0,9.0,9.0, negative
25,6.0,0.0,0.0,6.0,9.0,9.0, negative
26,2.0,3.0,0.0,2.0,9.0,9.0, negative
27,1.0,2.0,0.0,7.0,6.0,6.0, negative
28,6.0,6.0,0.0,6.0,6.0,6.0, negative
29,1.0,8.0,0.0,4.0,6.0,6.0, negative
30,6.0,7.0,0.0,7.0,9.0,9.0, negative
31,8.0,0.0,0.0,7.0,6.0,6.0, negative
32,0.0,4.0,0.0,5.0,8.0,9.0, negative
33,5.0,6.0,0.0,4.0,6.0,5.0, negative
34,1.0,4.0,0.0,2.0,9.0,9.0, negative
35,3.0,5.0,0.0,3.0,6.0,7.0, negative
36,2.0,6.0,0.0,6.0,7.0,7.0, negative
37,4.0,5.0,0.0,3.0,8.0,6.0, negative
38,0.0,6.0,0.0,0.0,6.0,5.0, negative
39,9.0,3.0,0.0,7.0,9.0,9.0, negative
40,7.0,3.0,0.0,6.0,7.0,8.0, negative
41,9.0,1.0,0.0,5.0,8.0,8.0, negative
42,9.0,2.0,0.0,6.0,0.0,7.0, negative
43,7.0,2.0,0.0,4.0,6.0,6.0, negative
44,6.0,4.0,0.0,2.0,7.0,7.0, negative
45,9.0,5.0,0.0,6.0,8.0,8.0, negative
46,3.0,4.0,0.0,6.0,7.0,8.0, negative
47,9.0,6.0,0.0,5.0,8.0,1.0, negative
48,8.0,0.0,0.0,5.0,7.0,8.0, negative
49,5.0,2.0,0.0,0.0,4.0,3.0, negative
50,8.0,4.0,0.0,3.0,5.0,0.0, negative
51,6.0,8.0,0.0,7.0,3.0,2.0, positive
52,6.0,6.0,0.0,7.0,5.0,3.0, positive
53,6.0,7.0,0.0,0.0,2.0,1.0, positive
54,1.0,9.0,0.0,9.0,5.0,5.0, positive
55,9.0,8.0,0.0,9.0,0.0,2.0, positive
56,7.0,9.0,0.0,8.0,0.0,1.0, positive
57,5.0,8.0,0.0,3.0,2.0,3.0, positive
58,7.0,9.0,0.0,8.0,5.0,4.0, positive
59,8.0,0.0,0.0,5.0,4.0,2.0, positive
60,8.0,9.0,0.0,9.0,5.0,2.0, positive
61,9.0,9.0,0.0,9.0,5.0,0.0, positive
62,9.0,7.0,0.0,9.0,4.0,0.0, positive
63,8.0,9.0,0.0,8.0,5.0,1.0, positive
64,7.0,9.0,0.0,9.0,4.0,2.0, positive
65,5.0,8.0,0.0,9.0,2.0,5.0, positive
66,4.0,9.0,0.0,8.0,3.0,4.0, positive
67,7.0,7.0,0.0,9.0,3.0,1.0, positive
68,6.0,5.0,0.0,9.0,4.0,2.0, positive
69,8.0,8.0,0.0,8.0,3.0,4.0, positive
70,7.0,8.0,0.0,8.0,0.0,0.0, positive
