,0,1,2,3,4,5,6,y
0,7.0,4.0,9.0,9.0,3.0,4.0,5.0, negative
1,2.0,0.0,9.0,9.0,4.0,2.0,4.0, negative
2,3.0,2.0,9.0,9.0,8.0,0.0,1.0, negative
3,3.0,5.0,9.0,9.0,4.0,3.0,4.0, negative
4,3.0,4.0,9.0,9.0,5.0,3.0,4.0, negative
5,4.0,3.0,9.0,9.0,6.0,6.0,6.0, negative
6,4.0,5.0,9.0,9.0,4.0,4.0,3.0, negative
7,2.0,3.0,9.0,9.0,3.0,4.0,5.0, negative
8,5.0,5.0,9.0,9.0,2.0,1.0,2.0, negative
9,5.0,4.0,9.0,9.0,3.0,3.0,5.0, negative
10,4.0,6.0,9.0,9.0,0.0,5.0,6.0, negative
11,1.0,0.0,9.0,9.0,5.0,2.0,3.0, negative
12,5.0,3.0,9.0,9.0,5.0,3.0,4.0, negative
13,2.0,4.0,9.0,9.0,6.0,5.0,6.0, negative
14,5.0,6.0,9.0,9.0,4.0,5.0,6.0, negative
15,0.0,5.0,9.0,9.0,5.0,5.0,6.0, negative
16,3.0,5.0,9.0,9.0,5.0,3.0,4.0, negative
17,3.0,5.0,9.0,9.0,3.0,2.0,4.0, negative
18,3.0,4.0,9.0,9.0,0.0,3.0,4.0, negative
19,5.0,4.0,9.0,9.0,5.0,0.0,0.0, negative
20,3.0,3.0,9.0,9.0,0.0,0.0,0.0, negative
21,3.0,4.0,9.0,9.0,4.0,3.0,4.0, negative
22,5.0,5.0,9.0,9.0,5.0,1.0,2.0, negative
23,3.0,2.0,9.0,9.0,0.0,4.0,0.0, negative
24,2.0,4.0,9.0,9.0,5.0,2.0,3.0, negative
25,0.0,5.0,9.0,9.0,4.0,3.0,4.0, negative
26,2.0,4.0,9.0,9.0,4.0,4.0,4.0, negative
27,3.0,5.0,9.0,9.0,6.0,9.0,0.0, negative
28,5.0,4.0,9.0,9.0,0.0,8.0,0.0, negative
29,5.0,4.0,9.0,9.0,5.0,0.0,9.0, negative
30,6.0,6.0,9.0,9.0,6.0,9.0,9.0, negative
31,5.0,6.0,9.0,9.0,5.0,8.0,8.0, negative
32,7.0,0.0,9.0,9.0,6.0,9.0,9.0, negative
33,3.0,4.0,9.0,9.0,4.0,9.0,9.0, negative
34,0.0,4.0,9.0,9.0,7.0,7.0,7.0, negative
35,1.0,5.0,9.0,9.0,3.0,4.0,5.0, negative
36,0.0,5.0,9.0,9.0,6.0,8.0,8.0, negative
37,6.0,5.0,9.0,9.0,6.0,7.0,5.0, negative
38,3.0,4.0,9.0,9.0,5.0,7.0,7.0, negative
39,6.0,7.0,9.0,9.0,5.0,9.0,9.0, negative
40,7.0,4.0,9.0,9.0,6.0,8.0,8.0, negative
41,0.0,5.0,9.0,9.0,4.0,6.0,3.0, negative
42,8.0,3.0,9.0,9.0,6.0,8.0,8.0, negative
43,8.0,4.0,9.0,9.0,7.0,0.0,8.0, negative
44,9.0,5.0,9.0,9.0,6.0,9.0,9.0, negative
45,5.0,6.0,0.0,9.0,6.0,8.0,8.0, negative
46,9.0,4.0,9.0,9.0,5.0,8.0,8.0, negative
47,8.0,6.0,9.0,9.0,0.0,7.0,7.0, negative
48,8.0,5.0,9.0,9.0,4.0,6.0,3.0, negative
49,7.0,9.0,9.0,9.0,3.0,4.0,3.0, negative
50,7.0,0.0,9.0,9.0,5.0,4.0,3.0, negative
51,8.0,8.0,9.0,9.0,0.0,6.0,4.0, negative
52,7.0,8.0,9.0,9.0,5.0,4.0,2.0, negative
53,7.0,6.0,9.0,9.0,5.0,0.0,0.0, negative
54,7.0,9.0,9.0,9.0,4.0,5.0,3.0, negative
55,7.0,8.0,9.0,9.0,0.0,0.0,4.0, negative
56,7.0,7.0,9.0,9.0,4.0,4.0,3.0, negative
57,7.0,7.0,9.0,9.0,5.0,0.0,3.0, negative
58,8.0,8.0,9.0,9.0,4.0,4.0,4.0, negative
59,7.0,9.0,9.0,9.0,4.0,4.0,4.0, negative
60,7.0,7.0,9.0,9.0,7.0,5.0,4.0, negative
61,6.0,6.0,9.0,9.0,4.0,4.0,4.0, negative
62,8.0,7.0,9.0,9.0,9.0,0.0,3.0, positive
63,8.0,8.0,9.0,9.0,9.0,6.0,0.0, positive
64,8.0,8.0,9.0,9.0,8.0,6.0,1.0, positive
65,7.0,5.0,9.0,9.0,7.0,6.0,3.0, positive
66,7.0,7.0,9.0,9.0,8.0,0.0,0.0, positive
67,9.0,5.0,9.0,9.0,5.0,5.0,3.0, positive
68,7.0,5.0,9.0,9.0,6.0,8.0,8.0, positive
69,8.0,6.0,0.0,0.0,0.0,5.0,0.0, positive
70,0.0,4.0,0.0,9.0,5.0,9.0,9.0, positive
71,7.0,7.0,9.0,9.0,7.0,4.0,3.0, positive
72,7.0,9.0,9.0,9.0,8.0,0.0,2.0, positive
73,6.0,8.0,9.0,9.0,5.0,3.0,3.0, positive
74,7.0,9.0,9.0,9.0,8.0,6.0,4.0, positive
75,8.0,0.0,9.0,9.0,6.0,5.0,3.0, positive
76,8.0,9.0,9.0,9.0,9.0,6.0,3.0, positive
77,8.0,6.0,9.0,9.0,9.0,5.0,0.0, positive
78,7.0,8.0,9.0,9.0,9.0,4.0,2.0, positive
79,6.0,7.0,9.0,9.0,8.0,3.0,5.0, positive
80,5.0,9.0,9.0,9.0,8.0,4.0,4.0, positive
81,7.0,6.0,9.0,9.0,0.0,3.0,2.0, positive
82,0.0,8.0,0.0,9.0,8.0,6.0,5.0, positive
83,7.0,6.0,9.0,9.0,8.0,4.0,2.0, positive
84,7.0,5.0,9.0,9.0,8.0,4.0,3.0, positive
85,8.0,8.0,9.0,9.0,7.0,4.0,3.0, positive
86,8.0,6.0,0.0,9.0,4.0,6.0,0.0, positive
87,7.0,5.0,0.0,9.0,6.0,6.0,3.0, positive
88,8.0,5.0,0.0,9.0,5.0,6.0,0.0, positive
89,7.0,6.0,0.0,9.0,7.0,6.0,1.0, positive
90,7.0,5.0,0.0,9.0,6.0,6.0,3.0, positive
