,0,1,2,3,4,5,y
0,1.0,1.0,0.0,5.0,2.0,5.0, negative
1,3.0,0.0,0.0,6.0,2.0,4.0, negative
2,1.0,4.0,0.0,4.0,0.0,2.0, negative
3,5.0,2.0,0.0,3.0,1.0,4.0, negative
4,5.0,6.0,0.0,0.0,4.0,7.0, negative
5,0.0,1.0,0.0,2.0,3.0,6.0, negative
6,7.0,5.0,0.0,7.0,0.0,0.0, negative
7,2.0,4.0,0.0,5.0,3.0,6.0, negative
8,0.0,2.0,0.0,7.0,5.0,7.0, negative
9,5.0,4.0,0.0,4.0,3.0,6.0, negative
10,4.0,2.0,0.0,6.0,7.0,8.0, negative
11,3.0,0.0,0.0,1.0,2.0,5.0, negative
12,3.0,6.0,0.0,2.0,5.0,4.0, negative
13,5.0,5.0,0.0,0.0,3.0,6.0, negative
14,4.0,2.0,0.0,1.0,4.0,6.0, negative
15,4.0,1.0,0.0,0.0,3.0,6.0, negative
16,5.0,2.0,0.0,2.0,2.0,5.0, negative
17,1.0,0.0,0.0,3.0,1.0,3.0, negative
18,3.0,0.0,0.0,2.0,4.0,6.0, negative
19,3.0,0.0,0.0,4.0,1.0,4.0, negative
20,4.0,1.0,0.0,3.0,2.0,4.0, negative
21,2.0,3.0,0.0,4.0,4.0,7.0, negative
22,2.0,6.0,0.0,3.0,6.0,8.0, negative
23,0.0,3.0,0.0,1.0,2.0,2.0, negative
24,0.0,4.0,0.0,1.0,1.0,3.0, negative
25,2.0,5.0,0.0,0.0,2.0,5.0, negative
26,4.0,4.0,0.0,6.0,2.0,6.0, negative
27,4.0,4.0,0.0,4.0,0.0,0.0, negative
28,2.0,1.0,0.0,0.0,0.0,0.0, negative
29,3.0,4.0,0.0,3.0,0.0,2.0, negative
30,1.0,1.0,0.0,1.0,3.0,6.0, negative
31,1.0,3.0,0.0,4.0,1.0,3.0, negative
32,0.0,1.0,0.0,2.0,2.0,5.0, negative
33,1.0,1.0,0.0,3.0,1.0,4.0, negative
34,1.0,6.0,0.0,4.0,4.0,7.0, negative
35,0.0,3.0,0.0,6.0,1.0,3.0, negative
36,4.0,6.0,0.0,3.0,6.0,8.0, negative
37,2.0,2.0,0.0,5.0,9.0,9.0, negative
38,2.0,5.0,0.0,8.0,8.0,8.0, negative
39,8.0,2.0,0.0,6.0,9.0,9.0, negative
40,6.0,0.0,0.0,7.0,9.0,9.0, negative
41,4.0,3.0,0.0,6.0,9.0,9.0, negative
42,1.0,6.0,0.0,0.0,5.0,7.0, negative
43,9.0,0.0,0.0,8.0,8.0,8.0, negative
44,0.0,4.0,0.0,6.0,9.0,8.0, negative
45,2.0,2.0,0.0,3.0,8.0,8.0, negative
46,3.0,6.0,0.0,6.0,9.0,9.0, negative
47,0.0,7.0,0.0,8.0,8.0,8.0, negative
48,3.0,3.0,0.0,5.0,9.0,9.0, negative
49,9.0,2.0,0.0,7.0,0.0,9.0, negative
50,6.0,4.0,0.0,4.0,9.0,9.0, negative
51,9.0,3.0,0.0,5.0,9.0,9.0, negative
52,7.0,7.0,0.0,3.0,6.0,7.0, negative
53,7.0,9.0,0.0,0.0,5.0,1.0, negative
54,6.0,9.0,0.0,1.0,6.0,3.0, negative
55,8.0,0.0,0.0,3.0,8.0,1.0, negative
56,6.0,9.0,0.0,1.0,5.0,6.0, negative
57,5.0,6.0,0.0,3.0,4.0,0.0, negative
58,8.0,8.0,0.0,7.0,6.0,6.0, negative
59,3.0,7.0,0.0,5.0,6.0,8.0, negative
60,9.0,8.0,0.0,0.0,6.0,7.0, negative
61,8.0,9.0,0.0,9.0,8.0,2.0, positive
62,9.0,9.0,0.0,8.0,7.0,1.0, positive
63,5.0,8.0,0.0,9.0,4.0,6.0, positive
64,6.0,7.0,0.0,0.0,3.0,1.0, positive
65,6.0,5.0,0.0,9.0,6.0,2.0, positive
66,9.0,8.0,0.0,9.0,0.0,2.0, positive
67,6.0,8.0,0.0,7.0,5.0,2.0, positive
68,7.0,9.0,0.0,8.0,0.0,1.0, positive
69,5.0,8.0,0.0,5.0,3.0,3.0, positive
70,7.0,9.0,0.0,8.0,7.0,4.0, positive
71,9.0,0.0,0.0,6.0,6.0,2.0, positive
72,9.0,9.0,0.0,9.0,8.0,0.0, positive
73,9.0,7.0,0.0,9.0,6.0,0.0, positive
74,8.0,9.0,0.0,9.0,6.0,2.0, positive
75,7.0,6.0,0.0,8.0,7.0,3.0, positive
76,5.0,9.0,0.0,8.0,4.0,5.0, positive
77,0.0,9.0,0.0,9.0,8.0,7.0, positive
78,8.0,7.0,0.0,9.0,5.0,1.0, positive
79,8.0,8.0,0.0,8.0,5.0,4.0, positive
80,8.0,7.0,0.0,8.0,0.0,0.0, positive
81,9.0,7.0,0.0,1.0,7.0,0.0, positive
82,7.0,5.0,0.0,6.0,7.0,4.0, positive
83,8.0,4.0,0.0,5.0,8.0,0.0, positive
84,7.0,6.0,0.0,8.0,8.0,1.0, positive
85,8.0,5.0,0.0,7.0,7.0,2.0, positive
