,0,1,2,3,4,5,6,y
0,0.0,0.0,9.0,0.0,7.0,3.0,4.0, negative
1,6.0,6.0,9.0,0.0,7.0,4.0,3.0, negative
2,2.0,3.0,9.0,0.0,7.0,2.0,3.0, negative
3,7.0,4.0,9.0,0.0,4.0,3.0,4.0, negative
4,3.0,3.0,9.0,0.0,5.0,2.0,3.0, negative
5,2.0,4.0,9.0,0.0,6.0,2.0,3.0, negative
6,0.0,5.0,9.0,0.0,6.0,5.0,5.0, negative
7,4.0,2.0,9.0,0.0,7.0,2.0,3.0, negative
8,2.0,6.0,9.0,0.0,5.0,1.0,2.0, negative
9,4.0,3.0,9.0,0.0,6.0,2.0,3.0, negative
10,5.0,0.0,9.0,0.0,6.0,3.0,3.0, negative
11,2.0,0.0,9.0,0.0,6.0,4.0,5.0, negative
12,2.0,0.0,9.0,0.0,5.0,2.0,3.0, negative
13,4.0,7.0,9.0,0.0,5.0,2.0,3.0, negative
14,0.0,5.0,9.0,0.0,5.0,2.0,0.0, negative
15,3.0,2.0,9.0,0.0,9.0,0.0,1.0, negative
16,5.0,6.0,9.0,0.0,5.0,3.0,4.0, negative
17,0.0,1.0,9.0,0.0,7.0,1.0,2.0, negative
18,4.0,4.0,9.0,0.0,6.0,2.0,2.0, negative
19,3.0,4.0,9.0,0.0,6.0,4.0,5.0, negative
20,2.0,0.0,9.0,0.0,6.0,3.0,4.0, negative
21,2.0,6.0,9.0,0.0,0.0,3.0,4.0, negative
22,4.0,4.0,9.0,0.0,7.0,3.0,4.0, negative
23,4.0,4.0,9.0,0.0,6.0,3.0,4.0, negative
24,5.0,4.0,9.0,0.0,5.0,2.0,3.0, negative
25,3.0,4.0,9.0,0.0,5.0,3.0,4.0, negative
26,6.0,6.0,9.0,0.0,4.0,3.0,4.0, negative
27,0.0,3.0,9.0,0.0,5.0,3.0,4.0, negative
28,2.0,4.0,9.0,0.0,4.0,1.0,3.0, negative
29,4.0,6.0,9.0,0.0,5.0,3.0,4.0, negative
30,3.0,5.0,9.0,0.0,4.0,2.0,3.0, negative
31,4.0,5.0,9.0,0.0,6.0,2.0,2.0, negative
32,3.0,5.0,9.0,0.0,7.0,3.0,4.0, negative
33,0.0,4.0,9.0,0.0,7.0,4.0,4.0, negative
34,3.0,4.0,9.0,0.0,0.0,3.0,4.0, negative
35,6.0,5.0,9.0,0.0,6.0,3.0,4.0, negative
36,1.0,4.0,9.0,0.0,6.0,4.0,0.0, negative
37,4.0,4.0,9.0,0.0,7.0,5.0,6.0, negative
38,4.0,0.0,9.0,0.0,5.0,2.0,3.0, negative
39,4.0,4.0,9.0,0.0,7.0,1.0,2.0, negative
40,2.0,4.0,9.0,0.0,5.0,3.0,4.0, negative
41,4.0,6.0,9.0,0.0,5.0,4.0,3.0, negative
42,2.0,4.0,9.0,0.0,4.0,4.0,4.0, negative
43,5.0,6.0,9.0,0.0,2.0,1.0,2.0, negative
44,4.0,4.0,9.0,0.0,0.0,3.0,4.0, negative
45,4.0,4.0,9.0,0.0,7.0,3.0,4.0, negative
46,5.0,4.0,9.0,0.0,5.0,2.0,3.0, negative
47,4.0,5.0,9.0,0.0,6.0,4.0,5.0, negative
48,2.0,0.0,9.0,0.0,6.0,2.0,3.0, negative
49,5.0,3.0,9.0,0.0,6.0,3.0,4.0, negative
50,2.0,5.0,9.0,0.0,7.0,5.0,5.0, negative
51,2.0,4.0,9.0,0.0,5.0,3.0,4.0, negative
52,5.0,7.0,9.0,0.0,5.0,4.0,5.0, negative
53,2.0,4.0,9.0,0.0,5.0,2.0,3.0, negative
54,3.0,6.0,9.0,0.0,7.0,0.0,4.0, negative
55,2.0,3.0,9.0,0.0,4.0,2.0,3.0, negative
56,4.0,0.0,9.0,0.0,5.0,3.0,4.0, negative
57,4.0,5.0,9.0,0.0,5.0,2.0,0.0, negative
58,2.0,5.0,9.0,0.0,5.0,2.0,3.0, negative
59,4.0,0.0,9.0,0.0,6.0,2.0,3.0, negative
60,5.0,5.0,9.0,0.0,6.0,2.0,3.0, negative
61,4.0,6.0,9.0,0.0,6.0,4.0,5.0, negative
62,3.0,3.0,9.0,0.0,5.0,3.0,4.0, negative
63,3.0,7.0,9.0,0.0,7.0,3.0,4.0, negative
64,4.0,7.0,9.0,0.0,5.0,4.0,5.0, negative
65,0.0,5.0,9.0,0.0,7.0,5.0,5.0, negative
66,0.0,6.0,9.0,0.0,6.0,4.0,5.0, negative
67,5.0,5.0,9.0,0.0,5.0,3.0,4.0, negative
68,0.0,6.0,9.0,0.0,3.0,2.0,3.0, negative
69,5.0,5.0,9.0,0.0,2.0,3.0,3.0, negative
70,0.0,5.0,9.0,0.0,5.0,2.0,2.0, negative
