,0,1,2,3,4,5,y
0,1.0,0.0,0.0,7.0,4.0,5.0, negative
1,8.0,0.0,0.0,5.0,5.0,5.0, negative
2,8.0,7.0,0.0,6.0,6.0,2.0, negative
3,9.0,4.0,0.0,1.0,5.0,5.0, negative
4,3.0,1.0,0.0,3.0,2.0,2.0, negative
5,1.0,2.0,0.0,6.0,3.0,3.0, negative
6,0.0,5.0,0.0,4.0,6.0,7.0, negative
7,6.0,0.0,0.0,7.0,1.0,0.0, negative
8,6.0,1.0,0.0,8.0,2.0,3.0, negative
9,5.0,2.0,0.0,4.0,2.0,2.0, negative
10,7.0,1.0,0.0,4.0,3.0,2.0, negative
11,2.0,5.0,0.0,5.0,1.0,1.0, negative
12,2.0,0.0,0.0,4.0,6.0,6.0, negative
13,7.0,1.0,0.0,7.0,6.0,7.0, negative
14,2.0,0.0,0.0,2.0,3.0,3.0, negative
15,6.0,9.0,0.0,2.0,1.0,1.0, negative
16,0.0,5.0,0.0,2.0,1.0,0.0, negative
17,3.0,1.0,0.0,9.0,0.0,0.0, negative
18,7.0,8.0,0.0,2.0,4.0,5.0, negative
19,5.0,4.0,0.0,5.0,1.0,1.0, negative
20,3.0,3.0,0.0,5.0,6.0,6.0, negative
21,2.0,0.0,0.0,4.0,4.0,4.0, negative
22,1.0,7.0,0.0,0.0,3.0,4.0, negative
23,6.0,3.0,0.0,6.0,4.0,5.0, negative
24,6.0,4.0,0.0,4.0,3.0,4.0, negative
25,4.0,2.0,0.0,2.0,4.0,5.0, negative
26,8.0,7.0,0.0,1.0,5.0,5.0, negative
27,0.0,1.0,0.0,3.0,4.0,5.0, negative
28,2.0,2.0,0.0,0.0,1.0,1.0, negative
29,5.0,8.0,0.0,2.0,5.0,5.0, negative
30,3.0,8.0,0.0,3.0,3.0,3.0, negative
31,9.0,6.0,0.0,9.0,0.0,0.0, negative
32,3.0,4.0,0.0,1.0,3.0,3.0, negative
33,5.0,6.0,0.0,5.0,1.0,1.0, negative
34,4.0,5.0,0.0,6.0,3.0,4.0, negative
35,0.0,3.0,0.0,9.0,5.0,6.0, negative
36,0.0,1.0,0.0,4.0,5.0,6.0, negative
37,3.0,3.0,0.0,0.0,4.0,4.0, negative
38,7.0,2.0,0.0,7.0,7.0,7.0, negative
39,2.0,2.0,0.0,3.0,4.0,5.0, negative
40,5.0,8.0,0.0,3.0,6.0,2.0, negative
41,3.0,0.0,0.0,4.0,0.0,0.0, negative
42,2.0,3.0,0.0,1.0,5.0,6.0, negative
43,2.0,9.0,0.0,1.0,7.0,7.0, negative
44,7.0,6.0,0.0,0.0,1.0,1.0, negative
45,8.0,6.0,0.0,0.0,4.0,4.0, negative
46,7.0,3.0,0.0,1.0,5.0,5.0, negative
47,0.0,2.0,0.0,4.0,4.0,4.0, negative
48,7.0,2.0,0.0,0.0,4.0,5.0, negative
49,7.0,9.0,0.0,0.0,6.0,6.0, negative
50,8.0,3.0,0.0,2.0,3.0,3.0, negative
51,5.0,4.0,0.0,5.0,6.0,6.0, negative
52,1.0,0.0,0.0,4.0,2.0,2.0, negative
53,7.0,1.0,0.0,6.0,4.0,5.0, negative
54,8.0,9.0,0.0,3.0,6.0,6.0, negative
55,2.0,3.0,0.0,3.0,2.0,2.0, negative
56,4.0,7.0,0.0,7.0,0.0,6.0, negative
57,2.0,1.0,0.0,1.0,2.0,2.0, negative
58,7.0,4.0,0.0,3.0,2.0,0.0, negative
59,2.0,5.0,0.0,1.0,3.0,3.0, negative
60,6.0,0.0,0.0,5.0,2.0,2.0, negative
61,7.0,4.0,0.0,4.0,2.0,2.0, negative
62,6.0,7.0,0.0,6.0,6.0,6.0, negative
63,7.0,1.0,0.0,3.0,2.0,3.0, negative
64,3.0,4.0,0.0,5.0,5.0,5.0, negative
65,6.0,5.0,0.0,4.0,3.0,4.0, negative
66,3.0,6.0,0.0,2.0,2.0,2.0, negative
67,4.0,8.0,0.0,8.0,3.0,4.0, negative
68,5.0,9.0,0.0,3.0,6.0,6.0, negative
69,0.0,6.0,0.0,6.0,6.0,6.0, negative
70,1.0,7.0,0.0,5.0,6.0,6.0, negative
71,8.0,5.0,0.0,1.0,5.0,4.0, negative
72,1.0,7.0,0.0,0.0,2.0,2.0, negative
73,8.0,4.0,0.0,0.0,3.0,3.0, negative
74,6.0,5.0,0.0,0.0,2.0,1.0, negative
75,0.0,5.0,0.0,1.0,1.0,1.0, negative
76,9.0,9.0,0.0,4.0,4.0,3.0, negative
77,4.0,3.0,0.0,0.0,4.0,5.0, negative
78,8.0,8.0,0.0,1.0,3.0,2.0, negative
79,9.0,8.0,0.0,1.0,5.0,1.0, negative
80,7.0,6.0,0.0,8.0,3.0,4.0, negative
81,5.0,0.0,0.0,9.0,2.0,2.0, negative
82,2.0,9.0,0.0,9.0,4.0,5.0, negative
83,5.0,1.0,0.0,7.0,1.0,1.0, negative
84,4.0,6.0,0.0,6.0,1.0,1.0, negative
85,2.0,2.0,0.0,2.0,0.0,0.0, negative
86,2.0,1.0,0.0,3.0,3.0,4.0, negative
87,7.0,7.0,0.0,2.0,5.0,0.0, negative
88,7.0,5.0,0.0,5.0,0.0,0.0, negative
89,7.0,1.0,0.0,7.0,0.0,1.0, negative
90,3.0,2.0,0.0,0.0,0.0,0.0, negative
91,4.0,2.0,0.0,6.0,6.0,6.0, negative
92,5.0,5.0,0.0,3.0,0.0,1.0, negative
93,6.0,7.0,0.0,8.0,0.0,1.0, negative
94,4.0,4.0,0.0,2.0,4.0,5.0, negative
95,3.0,1.0,0.0,0.0,6.0,0.0, negative
96,2.0,1.0,0.0,2.0,3.0,4.0, negative
97,1.0,4.0,0.0,6.0,0.0,3.0, negative
98,9.0,3.0,0.0,5.0,4.0,5.0, negative
99,4.0,7.0,0.0,3.0,5.0,5.0, negative
100,3.0,2.0,0.0,4.0,1.0,2.0, negative
