,0,1,2,3,4,5,y
0,6.0,3.0,9.0,7.0,3.0,5.0, negative
1,0.0,0.0,9.0,7.0,5.0,7.0, negative
2,7.0,0.0,9.0,6.0,6.0,7.0, negative
3,7.0,5.0,9.0,7.0,7.0,5.0, negative
4,2.0,3.0,9.0,7.0,4.0,5.0, negative
5,8.0,4.0,9.0,4.0,6.0,7.0, negative
6,2.0,3.0,9.0,6.0,4.0,6.0, negative
7,0.0,5.0,9.0,6.0,8.0,9.0, negative
8,5.0,0.0,9.0,7.0,2.0,0.0, negative
9,5.0,2.0,9.0,7.0,4.0,6.0, negative
10,3.0,5.0,9.0,5.0,2.0,4.0, negative
11,5.0,3.0,9.0,6.0,3.0,5.0, negative
12,6.0,0.0,9.0,6.0,5.0,5.0, negative
13,3.0,0.0,9.0,6.0,7.0,8.0, negative
14,4.0,5.0,9.0,5.0,3.0,5.0, negative
15,4.0,2.0,9.0,9.0,0.0,2.0, negative
16,0.0,1.0,9.0,7.0,1.0,3.0, negative
17,4.0,4.0,9.0,6.0,3.0,3.0, negative
18,3.0,0.0,9.0,6.0,5.0,6.0, negative
19,2.0,5.0,9.0,0.0,5.0,6.0, negative
20,5.0,4.0,9.0,6.0,5.0,6.0, negative
21,6.0,4.0,9.0,5.0,4.0,5.0, negative
22,0.0,3.0,9.0,5.0,5.0,7.0, negative
23,3.0,4.0,9.0,4.0,3.0,5.0, negative
24,4.0,6.0,9.0,5.0,6.0,7.0, negative
25,3.0,6.0,9.0,5.0,4.0,6.0, negative
26,4.0,4.0,9.0,4.0,4.0,6.0, negative
27,4.0,5.0,9.0,6.0,3.0,4.0, negative
28,4.0,5.0,9.0,7.0,5.0,6.0, negative
29,0.0,4.0,9.0,8.0,6.0,8.0, negative
30,0.0,0.0,9.0,6.0,6.0,7.0, negative
31,3.0,4.0,9.0,0.0,5.0,6.0, negative
32,7.0,5.0,9.0,6.0,5.0,6.0, negative
33,5.0,4.0,9.0,7.0,9.0,9.0, negative
34,5.0,4.0,9.0,7.0,2.0,4.0, negative
35,2.0,3.0,9.0,5.0,5.0,7.0, negative
36,4.0,6.0,9.0,5.0,7.0,5.0, negative
37,3.0,0.0,9.0,6.0,0.0,2.0, negative
38,6.0,5.0,9.0,2.0,2.0,4.0, negative
39,7.0,5.0,9.0,3.0,5.0,6.0, negative
40,6.0,4.0,9.0,4.0,6.0,7.0, negative
41,0.0,4.0,9.0,6.0,5.0,6.0, negative
42,5.0,3.0,9.0,0.0,5.0,7.0, negative
43,6.0,4.0,9.0,5.0,4.0,6.0, negative
44,6.0,3.0,9.0,6.0,5.0,7.0, negative
45,3.0,4.0,9.0,7.0,8.0,9.0, negative
46,3.0,4.0,9.0,5.0,5.0,6.0, negative
47,6.0,6.0,9.0,5.0,8.0,8.0, negative
48,3.0,4.0,9.0,5.0,4.0,5.0, negative
49,4.0,5.0,9.0,7.0,0.0,7.0, negative
50,3.0,2.0,9.0,4.0,4.0,5.0, negative
51,5.0,5.0,9.0,6.0,4.0,5.0, negative
52,4.0,0.0,9.0,5.0,6.0,7.0, negative
53,5.0,4.0,9.0,5.0,4.0,0.0, negative
54,3.0,4.0,9.0,4.0,4.0,6.0, negative
55,5.0,0.0,9.0,6.0,4.0,5.0, negative
56,6.0,4.0,9.0,6.0,4.0,5.0, negative
57,5.0,5.0,9.0,6.0,7.0,8.0, negative
58,3.0,4.0,9.0,6.0,6.0,7.0, negative
59,4.0,3.0,9.0,5.0,5.0,7.0, negative
60,5.0,4.0,9.0,6.0,5.0,6.0, negative
61,3.0,5.0,9.0,5.0,3.0,5.0, negative
62,4.0,6.0,9.0,7.0,5.0,6.0, negative
63,4.0,6.0,9.0,5.0,7.0,8.0, negative
64,0.0,5.0,9.0,7.0,8.0,9.0, negative
65,0.0,5.0,9.0,6.0,7.0,8.0, negative
66,6.0,5.0,9.0,4.0,6.0,6.0, negative
67,0.0,5.0,9.0,3.0,3.0,5.0, negative
68,6.0,4.0,9.0,1.0,4.0,6.0, negative
69,4.0,5.0,9.0,7.0,5.0,7.0, negative
70,0.0,4.0,9.0,4.0,4.0,4.0, negative
71,0.0,5.0,9.0,4.0,3.0,5.0, negative
72,4.0,4.0,9.0,0.0,5.0,7.0, negative
73,7.0,6.0,9.0,4.0,4.0,5.0, negative
74,8.0,6.0,9.0,4.0,6.0,4.0, negative
75,6.0,5.0,9.0,7.0,5.0,6.0, negative
76,3.0,6.0,9.0,8.0,5.0,7.0, negative
77,4.0,2.0,9.0,7.0,2.0,4.0, negative
78,4.0,5.0,9.0,7.0,2.0,4.0, negative
79,3.0,3.0,9.0,5.0,0.0,0.0, negative
80,3.0,0.0,9.0,5.0,5.0,6.0, negative
81,5.0,5.0,9.0,5.0,6.0,0.0, negative
82,5.0,3.0,9.0,4.0,7.0,8.0, negative
83,6.0,4.0,9.0,6.0,0.0,0.0, negative
84,6.0,3.0,9.0,7.0,0.0,4.0, negative
85,4.0,4.0,9.0,6.0,8.0,9.0, negative
86,4.0,3.0,9.0,6.0,0.0,4.0, negative
87,4.0,0.0,9.0,5.0,4.0,6.0, negative
88,4.0,5.0,9.0,5.0,0.0,5.0, negative
89,5.0,5.0,9.0,7.0,0.0,5.0, negative
90,4.0,4.0,9.0,5.0,5.0,7.0, negative
91,3.0,3.0,9.0,0.0,7.0,0.0, negative
92,3.0,2.0,9.0,5.0,5.0,6.0, negative
