,0,1,2,3,4,5,6,y
0,8.0,1.0,0.0,0.0,1.0,1.0,3.0, negative
1,0.0,3.0,0.0,0.0,2.0,3.0,4.0, negative
2,3.0,0.0,0.0,0.0,6.0,0.0,2.0, negative
3,0.0,2.0,0.0,0.0,2.0,1.0,2.0, negative
4,0.0,0.0,0.0,0.0,0.0,0.0,1.0, negative
5,1.0,2.0,0.0,0.0,0.0,0.0,2.0, negative
6,2.0,3.0,0.0,0.0,3.0,0.0,0.0, negative
7,1.0,1.0,0.0,0.0,7.0,2.0,3.0, negative
8,3.0,0.0,0.0,0.0,5.0,3.0,4.0, negative
9,3.0,0.0,0.0,0.0,7.0,0.0,0.0, negative
10,0.0,0.0,0.0,0.0,1.0,1.0,3.0, negative
11,5.0,4.0,0.0,0.0,0.0,1.0,2.0, negative
12,3.0,1.0,0.0,0.0,5.0,1.0,3.0, negative
13,5.0,1.0,0.0,0.0,1.0,0.0,2.0, negative
14,4.0,0.0,0.0,0.0,4.0,1.0,3.0, negative
15,4.0,2.0,0.0,0.0,2.0,0.0,1.0, negative
16,1.0,4.0,0.0,0.0,1.0,0.0,1.0, negative
17,5.0,5.0,0.0,0.0,3.0,2.0,4.0, negative
18,5.0,6.0,0.0,0.0,0.0,0.0,1.0, negative
19,1.0,4.0,0.0,0.0,0.0,0.0,2.0, negative
20,7.0,9.0,0.0,0.0,2.0,1.0,2.0, negative
21,7.0,7.0,0.0,0.0,0.0,1.0,0.0, negative
22,2.0,2.0,0.0,0.0,8.0,0.0,1.0, negative
23,4.0,2.0,0.0,0.0,3.0,1.0,2.0, negative
24,4.0,0.0,0.0,0.0,6.0,0.0,0.0, negative
25,2.0,0.0,0.0,0.0,4.0,2.0,4.0, negative
26,1.0,0.0,0.0,0.0,3.0,2.0,3.0, negative
27,1.0,0.0,0.0,0.0,2.0,0.0,1.0, negative
28,3.0,0.0,0.0,0.0,1.0,3.0,4.0, negative
29,1.0,0.0,0.0,0.0,4.0,7.0,7.0, positive
30,5.0,1.0,0.0,0.0,8.0,5.0,5.0, positive
31,1.0,4.0,0.0,0.0,9.0,4.0,5.0, positive
32,4.0,2.0,0.0,0.0,4.0,9.0,9.0, positive
33,8.0,3.0,0.0,0.0,4.0,4.0,5.0, positive
34,2.0,7.0,0.0,0.0,0.0,7.0,7.0, positive
35,7.0,5.0,0.0,0.0,7.0,8.0,9.0, positive
36,2.0,6.0,0.0,0.0,9.0,9.0,9.0, positive
37,9.0,9.0,0.0,0.0,8.0,4.0,5.0, positive
38,8.0,3.0,0.0,0.0,6.0,7.0,5.0, positive
39,0.0,2.0,0.0,0.0,8.0,5.0,6.0, positive
40,2.0,1.0,0.0,0.0,2.0,4.0,5.0, positive
41,2.0,4.0,0.0,0.0,4.0,5.0,5.0, positive
42,0.0,6.0,0.0,0.0,0.0,5.0,3.0, positive
43,0.0,5.0,0.0,0.0,1.0,5.0,0.0, positive
