,0,1,2,3,4,5,6,y
0,5.0,2.0,0.0,0.0,5.0,3.0,3.0, negative
1,6.0,2.0,0.0,0.0,3.0,3.0,3.0, negative
2,0.0,2.0,0.0,0.0,5.0,2.0,2.0, negative
3,1.0,3.0,0.0,0.0,4.0,0.0,1.0, negative
4,3.0,1.0,0.0,0.0,6.0,5.0,5.0, negative
5,3.0,4.0,0.0,0.0,4.0,1.0,1.0, negative
6,1.0,0.0,0.0,0.0,6.0,0.0,0.0, negative
7,2.0,2.0,0.0,0.0,5.0,1.0,0.0, negative
8,1.0,4.0,0.0,0.0,4.0,2.0,2.0, negative
9,2.0,3.0,0.0,0.0,3.0,2.0,2.0, negative
10,0.0,2.0,0.0,0.0,5.0,3.0,4.0, negative
11,3.0,2.0,0.0,0.0,6.0,5.0,5.0, negative
12,0.0,5.0,0.0,0.0,4.0,5.0,5.0, negative
13,4.0,3.0,0.0,0.0,2.0,0.0,0.0, negative
14,4.0,4.0,0.0,0.0,4.0,4.0,4.0, negative
15,3.0,1.0,0.0,0.0,5.0,1.0,2.0, negative
16,3.0,1.0,0.0,0.0,4.0,1.0,2.0, negative
17,3.0,3.0,0.0,0.0,5.0,2.0,3.0, negative
18,1.0,3.0,0.0,0.0,4.0,1.0,2.0, negative
19,4.0,3.0,0.0,0.0,5.0,4.0,4.0, negative
20,4.0,3.0,0.0,0.0,4.0,3.0,3.0, negative
21,2.0,3.0,0.0,0.0,5.0,2.0,3.0, negative
22,4.0,3.0,0.0,0.0,6.0,2.0,3.0, negative
23,1.0,4.0,0.0,0.0,4.0,2.0,3.0, negative
24,4.0,1.0,0.0,0.0,6.0,1.0,0.0, negative
25,3.0,4.0,0.0,0.0,6.0,1.0,1.0, negative
26,1.0,4.0,0.0,0.0,4.0,3.0,4.0, negative
27,1.0,2.0,0.0,0.0,5.0,1.0,2.0, negative
28,1.0,2.0,0.0,0.0,3.0,1.0,2.0, negative
29,0.0,2.0,0.0,0.0,4.0,2.0,2.0, negative
30,1.0,3.0,0.0,0.0,4.0,3.0,3.0, negative
31,2.0,3.0,0.0,0.0,6.0,9.0,8.0, negative
32,4.0,5.0,0.0,0.0,5.0,9.0,9.0, negative
33,7.0,2.0,0.0,0.0,6.0,9.0,9.0, negative
34,4.0,5.0,0.0,0.0,3.0,9.0,9.0, negative
35,2.0,4.0,0.0,0.0,3.0,8.0,8.0, negative
36,4.0,5.0,0.0,0.0,5.0,8.0,8.0, negative
37,7.0,3.0,0.0,0.0,6.0,9.0,9.0, negative
38,3.0,2.0,0.0,0.0,7.0,7.0,7.0, negative
39,2.0,4.0,0.0,0.0,7.0,9.0,9.0, negative
40,0.0,4.0,0.0,0.0,3.0,3.0,3.0, negative
41,9.0,4.0,0.0,0.0,5.0,7.0,7.0, negative
42,7.0,3.0,0.0,0.0,6.0,8.0,7.0, negative
43,6.0,4.0,0.0,0.0,6.0,6.0,4.0, negative
44,6.0,5.0,0.0,0.0,7.0,6.0,7.0, negative
45,4.0,4.0,0.0,0.0,8.0,6.0,6.0, negative
46,3.0,2.0,0.0,0.0,5.0,7.0,7.0, negative
47,5.0,1.0,0.0,0.0,7.0,7.0,7.0, negative
48,9.0,2.0,0.0,0.0,6.0,9.0,9.0, negative
49,7.0,4.0,0.0,0.0,8.0,9.0,9.0, negative
50,9.0,4.0,0.0,0.0,8.0,9.0,6.0, negative
51,9.0,4.0,0.0,0.0,7.0,8.0,8.0, negative
52,8.0,4.0,0.0,0.0,5.0,6.0,6.0, negative
53,5.0,2.0,0.0,0.0,0.0,4.0,1.0, negative
54,8.0,3.0,0.0,0.0,5.0,7.0,6.0, negative
55,8.0,7.0,0.0,0.0,9.0,5.0,1.0, negative
56,6.0,6.0,0.0,0.0,5.0,4.0,1.0, positive
57,6.0,5.0,0.0,0.0,5.0,3.0,2.0, positive
58,7.0,6.0,0.0,0.0,4.0,5.0,2.0, positive
59,6.0,6.0,0.0,0.0,3.0,3.0,3.0, positive
60,7.0,7.0,0.0,0.0,5.0,4.0,3.0, positive
61,7.0,7.0,0.0,0.0,4.0,4.0,3.0, positive
62,7.0,6.0,0.0,0.0,4.0,9.0,9.0, positive
63,6.0,7.0,0.0,0.0,5.0,3.0,2.0, positive
64,1.0,2.0,0.0,0.0,5.0,3.0,3.0, positive
65,7.0,5.0,0.0,0.0,4.0,4.0,0.0, positive
66,7.0,4.0,0.0,0.0,5.0,7.0,1.0, positive
67,7.0,3.0,0.0,0.0,4.0,5.0,2.0, positive
68,7.0,5.0,0.0,0.0,6.0,5.0,3.0, positive
69,6.0,8.0,0.0,0.0,3.0,3.0,2.0, positive
70,7.0,7.0,0.0,0.0,6.0,4.0,1.0, positive
71,6.0,4.0,0.0,0.0,5.0,4.0,4.0, positive
72,7.0,8.0,0.0,0.0,1.0,5.0,0.0, positive
73,6.0,7.0,0.0,0.0,6.0,4.0,0.0, positive
74,6.0,9.0,0.0,0.0,3.0,4.0,4.0, positive
75,5.0,5.0,0.0,0.0,4.0,4.0,1.0, positive
76,6.0,7.0,0.0,0.0,2.0,3.0,0.0, positive
77,6.0,6.0,0.0,0.0,5.0,3.0,0.0, positive
78,7.0,7.0,0.0,0.0,4.0,6.0,5.0, positive
79,2.0,2.0,0.0,0.0,6.0,2.0,2.0, positive
80,7.0,5.0,0.0,0.0,5.0,4.0,3.0, positive
81,6.0,4.0,0.0,0.0,5.0,7.0,0.0, positive
82,6.0,8.0,0.0,0.0,4.0,4.0,2.0, positive
83,6.0,7.0,0.0,0.0,4.0,3.0,0.0, positive
84,6.0,6.0,0.0,0.0,7.0,3.0,2.0, positive
85,7.0,8.0,0.0,0.0,4.0,5.0,1.0, positive
86,6.0,8.0,0.0,0.0,4.0,4.0,2.0, positive
87,7.0,3.0,0.0,0.0,5.0,5.0,3.0, positive
88,8.0,8.0,0.0,0.0,3.0,5.0,1.0, positive
89,6.0,5.0,0.0,0.0,4.0,4.0,2.0, positive
90,7.0,6.0,0.0,0.0,3.0,3.0,0.0, positive
91,7.0,7.0,0.0,0.0,5.0,5.0,0.0, positive
92,6.0,5.0,0.0,0.0,4.0,3.0,0.0, positive
93,6.0,7.0,0.0,0.0,5.0,2.0,1.0, positive
94,6.0,6.0,0.0,0.0,4.0,4.0,2.0, positive
95,7.0,5.0,0.0,0.0,5.0,4.0,4.0, positive
96,7.0,6.0,0.0,0.0,5.0,3.0,2.0, positive
97,6.0,7.0,0.0,0.0,5.0,4.0,4.0, positive
98,8.0,6.0,0.0,0.0,4.0,3.0,2.0, positive
99,6.0,7.0,0.0,0.0,4.0,3.0,3.0, positive
