,0,1,2,3,4,5,6,y
0,4.0,0.0,0.0,0.0,6.0,2.0,4.0, negative
1,3.0,2.0,0.0,0.0,6.0,6.0,7.0, negative
2,5.0,3.0,0.0,0.0,6.0,7.0,7.0, negative
3,4.0,2.0,0.0,0.0,5.0,2.0,4.0, negative
4,3.0,3.0,0.0,0.0,6.0,4.0,5.0, negative
5,9.0,3.0,0.0,0.0,6.0,7.0,7.0, positive
6,9.0,4.0,0.0,0.0,6.0,5.0,3.0, negative
7,9.0,2.0,0.0,0.0,5.0,6.0,6.0, positive
8,3.0,5.0,0.0,0.0,4.0,1.0,3.0, negative
9,6.0,5.0,0.0,0.0,5.0,3.0,3.0, negative
10,0.0,2.0,0.0,0.0,6.0,2.0,3.0, negative
11,7.0,5.0,0.0,0.0,6.0,3.0,3.0, negative
12,5.0,3.0,0.0,0.0,5.0,2.0,3.0, negative
13,6.0,8.0,0.0,0.0,6.0,3.0,3.0, negative
14,6.0,3.0,0.0,0.0,6.0,4.0,3.0, negative
15,8.0,1.0,0.0,0.0,6.0,7.0,7.0, positive
16,3.0,1.0,0.0,0.0,3.0,2.0,4.0, negative
17,6.0,8.0,0.0,0.0,5.0,3.0,4.0, negative
18,4.0,4.0,0.0,0.0,5.0,2.0,3.0, negative
19,5.0,1.0,0.0,0.0,4.0,2.0,3.0, negative
20,1.0,1.0,0.0,0.0,6.0,2.0,4.0, negative
21,2.0,0.0,0.0,0.0,8.0,0.0,1.0, negative
22,4.0,3.0,0.0,0.0,2.0,1.0,2.0, negative
23,6.0,3.0,1.0,0.0,6.0,7.0,7.0, negative
24,6.0,6.0,0.0,0.0,5.0,8.0,8.0, negative
25,9.0,4.0,0.0,0.0,9.0,9.0,6.0, positive
26,2.0,2.0,0.0,0.0,5.0,3.0,4.0, negative
27,5.0,3.0,0.0,0.0,6.0,2.0,4.0, negative
28,1.0,5.0,0.0,0.0,4.0,5.0,5.0, negative
29,6.0,4.0,0.0,0.0,3.0,3.0,2.0, negative
30,2.0,3.0,0.0,0.0,3.0,2.0,4.0, negative
31,4.0,5.0,0.0,0.0,6.0,7.0,7.0, negative
32,1.0,1.0,0.0,0.0,4.0,2.0,4.0, negative
33,8.0,6.0,0.0,0.0,9.0,3.0,2.0, negative
34,7.0,3.0,1.0,0.0,6.0,5.0,2.0, negative
35,1.0,3.0,0.0,0.0,5.0,2.0,4.0, negative
36,6.0,3.0,0.0,0.0,6.0,7.0,7.0, negative
37,3.0,3.0,0.0,0.0,4.0,1.0,0.0, negative
38,2.0,4.0,0.0,0.0,6.0,2.0,4.0, negative
39,3.0,3.0,0.0,0.0,6.0,6.0,6.0, negative
40,1.0,4.0,0.0,0.0,4.0,3.0,5.0, negative
41,7.0,4.0,0.0,0.0,8.0,8.0,8.0, positive
42,1.0,3.0,0.0,0.0,7.0,8.0,8.0, negative
43,5.0,2.0,0.0,0.0,7.0,6.0,7.0, negative
44,3.0,4.0,0.0,0.0,5.0,4.0,5.0, negative
45,3.0,2.0,0.0,0.0,4.0,2.0,2.0, negative
46,6.0,3.0,0.0,0.0,0.0,7.0,3.0, negative
