,0,1,2,3,4,5,6,y
0,0.0,8.0,0.0,0.0,9.0,7.0,7.0, negative
1,9.0,9.0,0.0,0.0,0.0,6.0,2.0, negative
2,6.0,4.0,0.0,0.0,1.0,3.0,5.0, negative
3,5.0,0.0,0.0,0.0,5.0,3.0,5.0, negative
4,4.0,6.0,0.0,0.0,8.0,0.0,2.0, negative
5,0.0,4.0,0.0,0.0,7.0,8.0,9.0, negative
6,3.0,1.0,0.0,0.0,4.0,2.0,1.0, negative
7,5.0,1.0,0.0,0.0,7.0,7.0,7.0, negative
8,3.0,3.0,0.0,0.0,6.0,8.0,8.0, negative
9,6.0,5.0,0.0,0.0,7.0,8.0,9.0, negative
10,0.0,0.0,0.0,0.0,4.0,1.0,3.0, negative
11,1.0,2.0,0.0,0.0,4.0,5.0,7.0, negative
12,4.0,2.0,0.0,0.0,4.0,2.0,5.0, negative
13,7.0,8.0,0.0,0.0,2.0,4.0,0.0, negative
14,4.0,5.0,0.0,0.0,5.0,5.0,6.0, negative
15,7.0,8.0,0.0,0.0,8.0,8.0,7.0, negative
16,8.0,8.0,0.0,0.0,2.0,6.0,0.0, negative
17,3.0,6.0,0.0,0.0,2.0,3.0,6.0, negative
18,5.0,7.0,0.0,0.0,5.0,5.0,7.0, negative
19,0.0,8.0,0.0,0.0,5.0,9.0,3.0, negative
20,4.0,6.0,0.0,0.0,9.0,9.0,9.0, negative
21,0.0,4.0,0.0,0.0,4.0,6.0,7.0, negative
22,5.0,0.0,0.0,0.0,7.0,1.0,3.0, negative
23,9.0,8.0,0.0,0.0,9.0,7.0,8.0, negative
24,5.0,6.0,0.0,0.0,0.0,1.0,2.0, negative
25,9.0,6.0,0.0,0.0,6.0,6.0,3.0, negative
26,5.0,1.0,0.0,0.0,0.0,3.0,5.0, negative
27,9.0,4.0,0.0,0.0,7.0,9.0,9.0, negative
28,5.0,8.0,0.0,0.0,0.0,9.0,9.0, negative
29,2.0,5.0,0.0,0.0,6.0,0.0,1.0, negative
30,4.0,7.0,0.0,0.0,1.0,0.0,2.0, negative
31,9.0,7.0,0.0,0.0,9.0,6.0,0.0, negative
32,5.0,5.0,0.0,0.0,5.0,5.0,7.0, negative
33,4.0,1.0,0.0,0.0,8.0,0.0,1.0, negative
34,6.0,8.0,0.0,0.0,2.0,5.0,3.0, negative
35,5.0,1.0,0.0,0.0,3.0,6.0,7.0, negative
36,3.0,3.0,0.0,0.0,6.0,2.0,5.0, negative
37,7.0,1.0,0.0,0.0,5.0,3.0,6.0, negative
38,8.0,9.0,0.0,0.0,1.0,7.0,7.0, negative
39,3.0,3.0,0.0,0.0,4.0,5.0,7.0, negative
40,1.0,3.0,0.0,0.0,1.0,4.0,5.0, negative
41,2.0,4.0,0.0,0.0,5.0,9.0,9.0, negative
42,3.0,5.0,0.0,0.0,8.0,9.0,9.0, negative
43,0.0,3.0,0.0,0.0,7.0,1.0,3.0, negative
44,8.0,8.0,0.0,0.0,5.0,3.0,4.0, negative
45,5.0,6.0,0.0,0.0,4.0,2.0,3.0, negative
46,7.0,8.0,0.0,0.0,9.0,4.0,1.0, negative
47,0.0,1.0,0.0,0.0,2.0,2.0,4.0, negative
48,7.0,9.0,0.0,0.0,5.0,3.0,4.0, negative
49,6.0,5.0,0.0,0.0,6.0,5.0,3.0, negative
50,9.0,7.0,0.0,0.0,2.0,5.0,1.0, negative
51,3.0,1.0,0.0,0.0,0.0,3.0,5.0, negative
52,6.0,5.0,0.0,0.0,2.0,9.0,9.0, negative
53,1.0,1.0,0.0,0.0,3.0,1.0,3.0, negative
54,6.0,9.0,0.0,0.0,9.0,7.0,7.0, negative
55,6.0,3.0,0.0,0.0,0.0,2.0,4.0, negative
56,8.0,2.0,0.0,0.0,7.0,8.0,8.0, negative
57,7.0,9.0,0.0,0.0,4.0,3.0,4.0, negative
58,3.0,4.0,0.0,0.0,3.0,0.0,2.0, negative
59,1.0,0.0,0.0,0.0,0.0,1.0,3.0, negative
60,5.0,3.0,0.0,0.0,3.0,1.0,3.0, negative
61,1.0,1.0,0.0,0.0,0.0,0.0,2.0, negative
62,7.0,7.0,0.0,0.0,4.0,5.0,6.0, negative
63,5.0,6.0,0.0,0.0,4.0,1.0,3.0, negative
64,6.0,1.0,0.0,0.0,2.0,2.0,4.0, negative
65,0.0,1.0,0.0,0.0,5.0,2.0,4.0, negative
66,7.0,9.0,0.0,0.0,0.0,6.0,6.0, negative
67,2.0,0.0,0.0,0.0,9.0,0.0,0.0, negative
68,4.0,0.0,0.0,0.0,7.0,1.0,3.0, negative
69,4.0,1.0,0.0,0.0,6.0,3.0,6.0, negative
