,0,1,2,3,4,5,6,7,8,y
0,3.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0, negative
1,3.0,3.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0, negative
2,3.0,0.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0, negative
3,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0, negative
4,2.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0, negative
5,2.0,0.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0, negative
6,4.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0, negative
7,1.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0, negative
8,2.0,0.0,2.0,1.0,3.0,2.0,2.0,0.0,0.0, negative
9,3.0,2.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0, negative
10,2.0,0.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0, negative
11,2.0,0.0,1.0,1.0,4.0,2.0,3.0,0.0,0.0, negative
12,3.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0, negative
13,4.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0, negative
14,4.0,3.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0, negative
15,1.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0, negative
16,1.0,1.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0, negative
17,2.0,2.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0, negative
18,3.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0, negative
19,2.0,1.0,3.0,2.0,2.0,3.0,1.0,0.0,0.0, negative
20,3.0,1.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0, negative
21,3.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0, negative
22,3.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0, negative
23,2.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0, negative
24,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0, negative
25,0.0,1.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0, negative
26,0.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0, negative
27,0.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0, negative
28,0.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0, negative
29,1.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0, negative
30,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0, negative
31,1.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0, negative
32,0.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0, positive
