,0,1,2,3,4,5,6,7,8,y
0,4.0,1.0,7.0,5.0,4.0,8.0,4.0,0.0,0.0, negative
1,7.0,3.0,8.0,0.0,1.0,1.0,6.0,0.0,0.0, negative
2,4.0,1.0,8.0,4.0,4.0,7.0,3.0,0.0,0.0, negative
3,4.0,2.0,7.0,6.0,3.0,8.0,3.0,0.0,0.0, negative
4,5.0,2.0,7.0,5.0,1.0,8.0,5.0,0.0,0.0, negative
5,4.0,3.0,8.0,6.0,3.0,6.0,2.0,0.0,0.0, negative
6,4.0,1.0,7.0,5.0,3.0,8.0,4.0,6.0,2.0, negative
7,4.0,1.0,7.0,5.0,3.0,7.0,4.0,0.0,1.0, negative
8,4.0,3.0,7.0,6.0,3.0,8.0,4.0,0.0,0.0, negative
9,7.0,2.0,7.0,3.0,1.0,1.0,7.0,0.0,0.0, negative
10,6.0,2.0,9.0,4.0,1.0,0.0,4.0,0.0,0.0, negative
11,9.0,3.0,8.0,2.0,0.0,0.0,7.0,0.0,1.0, negative
12,3.0,2.0,7.0,7.0,4.0,5.0,2.0,0.0,0.0, negative
13,4.0,0.0,8.0,6.0,4.0,7.0,4.0,0.0,0.0, negative
14,4.0,1.0,8.0,6.0,3.0,8.0,4.0,0.0,0.0, negative
15,4.0,1.0,7.0,5.0,4.0,8.0,4.0,0.0,0.0, negative
16,4.0,2.0,6.0,6.0,3.0,6.0,5.0,0.0,9.0, negative
17,6.0,3.0,2.0,6.0,2.0,4.0,9.0,0.0,0.0, negative
18,3.0,2.0,7.0,8.0,2.0,9.0,3.0,0.0,0.0, negative
19,4.0,0.0,6.0,3.0,6.0,4.0,6.0,0.0,2.0, negative
20,4.0,1.0,8.0,5.0,2.0,8.0,3.0,0.0,0.0, negative
21,3.0,2.0,7.0,7.0,3.0,8.0,2.0,0.0,0.0, negative
22,3.0,2.0,7.0,7.0,3.0,9.0,3.0,0.0,1.0, negative
23,3.0,0.0,6.0,8.0,3.0,9.0,5.0,0.0,0.0, negative
24,3.0,1.0,7.0,9.0,3.0,9.0,2.0,0.0,0.0, negative
25,3.0,1.0,7.0,7.0,4.0,8.0,2.0,0.0,0.0, negative
26,3.0,0.0,6.0,8.0,4.0,9.0,4.0,0.0,0.0, negative
27,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0, negative
28,5.0,3.0,5.0,5.0,3.0,0.0,6.0,0.0,0.0, negative
29,4.0,4.0,4.0,8.0,2.0,0.0,5.0,0.0,0.0, negative
30,4.0,5.0,1.0,8.0,2.0,0.0,7.0,0.0,0.0, negative
31,3.0,1.0,7.0,6.0,3.0,8.0,4.0,0.0,0.0, positive
32,4.0,2.0,7.0,7.0,1.0,7.0,5.0,0.0,0.0, positive
33,6.0,4.0,8.0,3.0,0.0,0.0,6.0,0.0,0.0, positive
34,4.0,2.0,7.0,7.0,1.0,7.0,4.0,0.0,0.0, positive
35,3.0,2.0,7.0,6.0,3.0,7.0,3.0,0.0,0.0, positive
36,3.0,1.0,7.0,9.0,2.0,8.0,3.0,0.0,1.0, positive
37,6.0,3.0,8.0,1.0,1.0,1.0,6.0,0.0,0.0, positive
38,3.0,1.0,7.0,5.0,4.0,7.0,4.0,0.0,0.0, positive
39,7.0,3.0,8.0,3.0,0.0,3.0,5.0,0.0,4.0, positive
40,4.0,2.0,8.0,1.0,4.0,0.0,5.0,0.0,0.0, positive
41,4.0,2.0,7.0,8.0,1.0,7.0,4.0,0.0,9.0, positive
42,3.0,2.0,7.0,5.0,3.0,8.0,3.0,0.0,0.0, positive
43,5.0,2.0,7.0,2.0,3.0,2.0,5.0,9.0,2.0, positive
44,4.0,2.0,8.0,4.0,3.0,1.0,4.0,0.0,0.0, positive
45,3.0,2.0,7.0,6.0,3.0,7.0,3.0,0.0,1.0, positive
46,3.0,2.0,7.0,6.0,3.0,7.0,4.0,0.0,0.0, positive
47,3.0,0.0,7.0,6.0,3.0,7.0,4.0,0.0,0.0, positive
