,0,1,2,3,4,5,6,7,8,y
0,7.0,7.0,7.0,2.0,2.0,1.0,7.0,0.0,0.0, negative
1,4.0,3.0,3.0,6.0,4.0,5.0,2.0,0.0,0.0, negative
2,7.0,7.0,5.0,5.0,0.0,1.0,5.0,1.0,0.0, negative
3,4.0,1.0,7.0,2.0,8.0,6.0,5.0,0.0,0.0, negative
4,7.0,9.0,5.0,6.0,1.0,4.0,1.0,0.0,0.0, negative
5,8.0,3.0,6.0,1.0,3.0,2.0,9.0,0.0,3.0, negative
6,3.0,2.0,3.0,5.0,7.0,4.0,2.0,0.0,0.0, negative
7,3.0,0.0,5.0,4.0,9.0,5.0,3.0,0.0,0.0, negative
8,5.0,1.0,3.0,5.0,7.0,7.0,5.0,0.0,0.0, negative
9,4.0,1.0,4.0,4.0,8.0,6.0,5.0,0.0,2.0, negative
10,6.0,6.0,6.0,2.0,4.0,1.0,6.0,0.0,0.0, negative
11,9.0,8.0,8.0,1.0,0.0,0.0,9.0,0.0,0.0, negative
12,7.0,9.0,7.0,0.0,1.0,0.0,8.0,0.0,0.0, negative
13,1.0,5.0,4.0,3.0,6.0,7.0,0.0,0.0,0.0, negative
14,6.0,2.0,6.0,8.0,4.0,5.0,4.0,0.0,2.0, negative
15,9.0,7.0,0.0,6.0,2.0,2.0,9.0,0.0,0.0, negative
16,3.0,7.0,7.0,9.0,1.0,7.0,0.0,0.0,0.0, negative
17,9.0,0.0,0.0,9.0,2.0,7.0,9.0,0.0,3.0, negative
18,5.0,4.0,8.0,6.0,3.0,3.0,1.0,0.0,1.0, negative
19,0.0,8.0,4.0,3.0,6.0,2.0,0.0,0.0,2.0, negative
20,6.0,4.0,8.0,5.0,3.0,5.0,2.0,0.0,0.0, negative
21,1.0,5.0,3.0,7.0,5.0,7.0,0.0,0.0,1.0, negative
22,9.0,0.0,0.0,0.0,8.0,0.0,9.0,0.0,0.0, negative
23,6.0,4.0,2.0,7.0,3.0,3.0,4.0,0.0,0.0, negative
24,5.0,2.0,8.0,2.0,8.0,4.0,2.0,0.0,2.0, negative
25,8.0,6.0,0.0,8.0,2.0,3.0,8.0,1.0,3.0, negative
26,2.0,1.0,4.0,8.0,9.0,7.0,0.0,0.0,0.0, negative
27,1.0,2.0,1.0,3.0,7.0,5.0,7.0,0.0,3.0, negative
28,9.0,0.0,0.0,1.0,8.0,0.0,9.0,0.0,0.0, negative
29,5.0,2.0,0.0,7.0,6.0,6.0,6.0,0.0,0.0, negative
30,8.0,9.0,0.0,9.0,9.0,0.0,3.0,1.0,0.0, negative
31,1.0,9.0,0.0,9.0,9.0,0.0,3.0,1.0,0.0, negative
32,2.0,9.0,0.0,9.0,9.0,0.0,3.0,1.0,1.0, negative
33,3.0,8.0,0.0,9.0,9.0,0.0,4.0,1.0,0.0, negative
34,2.0,3.0,2.0,8.0,3.0,6.0,2.0,0.0,3.0, positive
35,9.0,8.0,8.0,1.0,0.0,2.0,8.0,0.0,3.0, positive
36,4.0,7.0,6.0,2.0,6.0,1.0,4.0,0.0,0.0, positive
37,4.0,6.0,2.0,7.0,1.0,5.0,6.0,0.0,0.0, positive
38,0.0,4.0,4.0,5.0,5.0,4.0,1.0,0.0,0.0, positive
39,8.0,8.0,8.0,0.0,0.0,1.0,8.0,0.0,0.0, positive
40,1.0,3.0,2.0,3.0,7.0,3.0,4.0,0.0,0.0, positive
41,2.0,1.0,5.0,4.0,4.0,6.0,6.0,0.0,0.0, positive
42,4.0,6.0,6.0,0.0,7.0,1.0,7.0,0.0,0.0, positive
43,5.0,5.0,1.0,8.0,1.0,4.0,7.0,0.0,3.0, positive
44,0.0,5.0,2.0,3.0,5.0,5.0,1.0,0.0,0.0, positive
45,7.0,6.0,4.0,0.0,5.0,2.0,7.0,0.0,3.0, positive
46,6.0,4.0,1.0,8.0,2.0,4.0,7.0,0.0,0.0, positive
47,2.0,4.0,5.0,6.0,5.0,4.0,3.0,0.0,1.0, positive
48,1.0,5.0,1.0,4.0,4.0,3.0,5.0,0.0,0.0, positive
49,8.0,9.0,8.0,1.0,0.0,0.0,8.0,0.0,0.0, positive
50,0.0,0.0,4.0,5.0,6.0,4.0,3.0,0.0,0.0, positive
