,0,1,2,3,4,5,6,7,8,y
0,2.0,3.0,7.0,4.0,6.0,2.0,2.0,0.0,2.0, negative
1,3.0,4.0,7.0,3.0,5.0,2.0,3.0,0.0,0.0, negative
2,6.0,6.0,8.0,0.0,3.0,0.0,4.0,0.0,0.0, negative
3,3.0,4.0,8.0,3.0,5.0,2.0,2.0,0.0,1.0, negative
4,5.0,5.0,8.0,3.0,3.0,0.0,4.0,0.0,0.0, negative
5,3.0,4.0,8.0,2.0,6.0,2.0,2.0,0.0,0.0, negative
6,4.0,6.0,8.0,3.0,3.0,0.0,3.0,0.0,0.0, negative
7,4.0,4.0,7.0,4.0,4.0,2.0,3.0,0.0,0.0, negative
8,4.0,5.0,7.0,3.0,3.0,2.0,3.0,0.0,0.0, negative
9,0.0,4.0,7.0,3.0,5.0,2.0,3.0,0.0,3.0, negative
10,5.0,5.0,7.0,3.0,2.0,0.0,3.0,4.0,0.0, negative
11,3.0,6.0,8.0,4.0,5.0,1.0,2.0,0.0,0.0, negative
12,3.0,3.0,8.0,3.0,5.0,2.0,3.0,0.0,0.0, negative
13,3.0,3.0,7.0,3.0,6.0,2.0,3.0,0.0,0.0, negative
14,4.0,3.0,7.0,3.0,5.0,2.0,3.0,0.0,0.0, negative
15,4.0,7.0,7.0,4.0,3.0,2.0,3.0,0.0,0.0, negative
16,3.0,3.0,7.0,4.0,5.0,2.0,3.0,0.0,0.0, negative
17,4.0,3.0,7.0,3.0,5.0,2.0,3.0,0.0,0.0, negative
18,4.0,4.0,6.0,3.0,5.0,2.0,3.0,0.0,0.0, negative
19,6.0,4.0,8.0,2.0,3.0,0.0,4.0,0.0,1.0, negative
20,2.0,3.0,8.0,5.0,5.0,2.0,2.0,0.0,2.0, negative
21,3.0,4.0,7.0,5.0,5.0,2.0,3.0,0.0,0.0, negative
22,3.0,4.0,7.0,4.0,5.0,2.0,3.0,0.0,0.0, negative
23,3.0,5.0,8.0,3.0,5.0,2.0,2.0,0.0,0.0, negative
24,6.0,4.0,8.0,2.0,4.0,0.0,4.0,0.0,1.0, negative
25,3.0,4.0,8.0,3.0,5.0,2.0,2.0,0.0,0.0, negative
26,3.0,3.0,7.0,4.0,5.0,2.0,3.0,0.0,0.0, negative
27,4.0,6.0,7.0,3.0,3.0,1.0,3.0,0.0,0.0, negative
28,4.0,4.0,7.0,3.0,5.0,2.0,3.0,0.0,1.0, negative
29,6.0,5.0,8.0,2.0,3.0,0.0,4.0,0.0,1.0, negative
30,3.0,4.0,8.0,4.0,5.0,2.0,3.0,0.0,1.0, negative
31,3.0,3.0,7.0,4.0,6.0,2.0,3.0,0.0,0.0, negative
32,7.0,5.0,8.0,0.0,3.0,0.0,5.0,0.0,1.0, negative
33,7.0,4.0,7.0,2.0,3.0,0.0,4.0,0.0,0.0, negative
34,5.0,5.0,9.0,3.0,3.0,0.0,3.0,0.0,0.0, negative
35,3.0,3.0,7.0,4.0,5.0,2.0,3.0,0.0,1.0, negative
36,6.0,6.0,8.0,0.0,3.0,0.0,4.0,0.0,0.0, negative
37,3.0,3.0,8.0,3.0,6.0,2.0,3.0,0.0,0.0, negative
38,3.0,3.0,7.0,4.0,5.0,2.0,3.0,0.0,0.0, negative
39,4.0,3.0,7.0,4.0,5.0,2.0,3.0,0.0,0.0, negative
40,6.0,4.0,7.0,2.0,3.0,0.0,4.0,0.0,1.0, negative
41,3.0,3.0,7.0,3.0,5.0,2.0,3.0,0.0,1.0, negative
42,3.0,3.0,8.0,3.0,5.0,2.0,3.0,0.0,0.0, negative
43,3.0,3.0,7.0,3.0,5.0,2.0,3.0,0.0,1.0, negative
44,3.0,3.0,7.0,3.0,5.0,2.0,3.0,0.0,0.0, negative
45,3.0,2.0,6.0,3.0,6.0,2.0,3.0,0.0,2.0, negative
46,4.0,5.0,8.0,3.0,4.0,0.0,3.0,0.0,0.0, negative
47,3.0,4.0,8.0,3.0,4.0,2.0,2.0,0.0,0.0, negative
