,0,1,2,3,4,5,6,7,8,y
0,2.0,3.0,4.0,1.0,2.0,2.0,1.0,0.0,0.0, positive
1,0.0,0.0,1.0,4.0,4.0,4.0,0.0,0.0,1.0, positive
2,4.0,3.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0, positive
3,2.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0, positive
4,2.0,4.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0, positive
5,1.0,0.0,1.0,3.0,4.0,3.0,2.0,0.0,0.0, positive
6,4.0,3.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0, positive
7,2.0,0.0,2.0,3.0,4.0,2.0,2.0,0.0,0.0, positive
8,3.0,0.0,1.0,3.0,2.0,4.0,2.0,0.0,0.0, positive
9,1.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0, positive
10,1.0,0.0,3.0,2.0,2.0,3.0,2.0,0.0,0.0, positive
11,0.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0, positive
12,3.0,3.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0, positive
13,1.0,1.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0, negative
14,3.0,1.0,4.0,4.0,1.0,2.0,2.0,0.0,0.0, negative
15,0.0,1.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0, negative
16,0.0,3.0,3.0,4.0,1.0,4.0,0.0,0.0,0.0, negative
17,1.0,0.0,0.0,1.0,4.0,4.0,3.0,0.0,1.0, negative
18,0.0,2.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0, negative
19,0.0,1.0,2.0,4.0,1.0,4.0,0.0,0.0,0.0, negative
20,3.0,2.0,3.0,0.0,1.0,4.0,3.0,0.0,1.0, negative
21,4.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0, negative
22,0.0,3.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0, negative
23,3.0,1.0,4.0,0.0,3.0,2.0,1.0,0.0,0.0, negative
24,0.0,2.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0, negative
25,0.0,1.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0, negative
26,1.0,2.0,3.0,3.0,1.0,4.0,0.0,0.0,1.0, negative
