,0,1,2,3,4,5,6,7,8,y
0,4.0,1.0,7.0,3.0,4.0,4.0,3.0,0.0,0.0, positive
1,6.0,1.0,8.0,2.0,2.0,1.0,4.0,0.0,1.0, positive
2,3.0,1.0,7.0,6.0,3.0,3.0,3.0,0.0,0.0, positive
3,3.0,2.0,7.0,4.0,3.0,4.0,3.0,0.0,0.0, positive
4,6.0,1.0,8.0,2.0,2.0,1.0,4.0,0.0,1.0, positive
5,3.0,1.0,7.0,4.0,4.0,3.0,3.0,0.0,0.0, positive
6,3.0,1.0,7.0,5.0,3.0,3.0,3.0,0.0,2.0, positive
7,9.0,3.0,8.0,1.0,0.0,0.0,4.0,0.0,1.0, positive
8,4.0,1.0,7.0,4.0,2.0,4.0,3.0,0.0,1.0, positive
9,3.0,2.0,7.0,5.0,4.0,2.0,2.0,0.0,0.0, positive
10,3.0,0.0,7.0,4.0,4.0,4.0,3.0,0.0,1.0, positive
11,3.0,0.0,6.0,4.0,5.0,3.0,3.0,0.0,2.0, positive
12,3.0,2.0,8.0,4.0,3.0,3.0,2.0,0.0,0.0, positive
13,3.0,1.0,7.0,5.0,4.0,4.0,2.0,0.0,2.0, negative
14,4.0,1.0,8.0,3.0,3.0,3.0,3.0,0.0,1.0, negative
15,6.0,3.0,2.0,4.0,2.0,2.0,6.0,0.0,0.0, negative
16,3.0,1.0,7.0,5.0,3.0,4.0,2.0,0.0,0.0, negative
17,9.0,2.0,0.0,4.0,0.0,1.0,8.0,0.0,1.0, negative
18,4.0,2.0,8.0,4.0,2.0,3.0,2.0,0.0,1.0, negative
19,5.0,3.0,5.0,5.0,1.0,3.0,4.0,0.0,1.0, negative
20,3.0,2.0,7.0,5.0,3.0,4.0,2.0,0.0,0.0, negative
21,3.0,2.0,7.0,5.0,3.0,3.0,2.0,0.0,0.0, negative
22,2.0,5.0,8.0,6.0,1.0,1.0,1.0,0.0,1.0, negative
23,9.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0, negative
24,3.0,1.0,6.0,5.0,4.0,3.0,3.0,0.0,2.0, negative
25,3.0,1.0,7.0,6.0,4.0,4.0,2.0,0.0,0.0, negative
26,2.0,2.0,7.0,4.0,3.0,3.0,2.0,0.0,0.0, negative
27,2.0,2.0,7.0,4.0,3.0,4.0,2.0,0.0,0.0, negative
28,4.0,2.0,7.0,5.0,2.0,3.0,3.0,0.0,0.0, negative
29,6.0,4.0,8.0,2.0,0.0,0.0,4.0,0.0,0.0, negative
30,3.0,0.0,7.0,4.0,3.0,3.0,3.0,0.0,0.0, negative
31,6.0,1.0,0.0,5.0,5.0,0.0,6.0,0.0,3.0, negative
32,7.0,2.0,0.0,5.0,2.0,2.0,7.0,0.0,0.0, negative
33,5.0,4.0,0.0,1.0,5.0,0.0,6.0,0.0,0.0, negative
34,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0, negative
