,0,1,2,3,4,5,6,7,8,y
0,3.0,3.0,8.0,3.0,5.0,0.0,2.0,0.0,0.0, negative
1,0.0,3.0,8.0,2.0,5.0,1.0,2.0,0.0,3.0, negative
2,5.0,4.0,9.0,1.0,3.0,0.0,4.0,0.0,0.0, negative
3,3.0,3.0,8.0,3.0,5.0,0.0,2.0,0.0,0.0, negative
4,4.0,5.0,9.0,3.0,4.0,0.0,2.0,0.0,0.0, negative
5,3.0,2.0,9.0,3.0,5.0,0.0,3.0,0.0,0.0, negative
6,3.0,3.0,7.0,3.0,5.0,0.0,3.0,0.0,0.0, negative
7,5.0,3.0,9.0,1.0,4.0,0.0,4.0,0.0,1.0, negative
8,5.0,3.0,9.0,1.0,4.0,0.0,4.0,0.0,1.0, negative
9,3.0,2.0,8.0,3.0,6.0,0.0,2.0,0.0,0.0, negative
10,3.0,3.0,9.0,4.0,5.0,0.0,2.0,0.0,2.0, negative
11,3.0,2.0,9.0,3.0,6.0,0.0,2.0,0.0,0.0, negative
12,3.0,3.0,9.0,3.0,5.0,0.0,3.0,0.0,0.0, negative
13,3.0,4.0,9.0,2.0,5.0,0.0,3.0,0.0,0.0, negative
14,3.0,4.0,8.0,3.0,3.0,0.0,3.0,0.0,0.0, negative
15,3.0,4.0,9.0,3.0,3.0,0.0,2.0,0.0,3.0, negative
16,3.0,3.0,9.0,2.0,5.0,0.0,2.0,0.0,1.0, negative
17,2.0,4.0,9.0,3.0,5.0,1.0,2.0,0.0,0.0, negative
18,2.0,2.0,8.0,4.0,6.0,1.0,2.0,0.0,0.0, negative
19,3.0,2.0,8.0,3.0,6.0,1.0,3.0,0.0,2.0, negative
20,3.0,2.0,7.0,1.0,7.0,0.0,4.0,0.0,2.0, negative
21,4.0,4.0,5.0,4.0,3.0,0.0,4.0,0.0,1.0, negative
22,2.0,3.0,9.0,6.0,5.0,1.0,1.0,0.0,0.0, negative
23,2.0,4.0,9.0,4.0,5.0,1.0,2.0,0.0,1.0, negative
24,3.0,3.0,8.0,4.0,4.0,0.0,2.0,0.0,0.0, negative
25,3.0,2.0,7.0,4.0,5.0,1.0,3.0,0.0,0.0, negative
26,2.0,2.0,8.0,5.0,6.0,1.0,2.0,0.0,9.0, negative
27,2.0,3.0,7.0,4.0,6.0,0.0,3.0,0.0,2.0, negative
28,2.0,3.0,9.0,4.0,4.0,1.0,2.0,0.0,3.0, negative
29,2.0,3.0,9.0,4.0,5.0,1.0,1.0,0.0,0.0, negative
30,9.0,0.0,0.0,6.0,0.0,0.0,9.0,9.0,3.0, negative
31,2.0,3.0,9.0,3.0,5.0,0.0,2.0,0.0,0.0, negative
32,2.0,3.0,8.0,5.0,4.0,0.0,2.0,0.0,1.0, negative
33,3.0,4.0,8.0,4.0,3.0,0.0,3.0,0.0,9.0, negative
34,4.0,2.0,0.0,4.0,7.0,0.0,7.0,0.0,0.0, negative
35,3.0,3.0,4.0,5.0,5.0,0.0,5.0,0.0,0.0, negative
36,1.0,3.0,0.0,9.0,1.0,9.0,0.0,0.0,0.0, negative
37,6.0,4.0,0.0,4.0,4.0,0.0,8.0,0.0,0.0, negative
38,4.0,3.0,0.0,3.0,4.0,0.0,8.0,0.0,0.0, negative
39,3.0,5.0,5.0,4.0,4.0,0.0,3.0,0.0,0.0, positive
40,3.0,5.0,5.0,4.0,5.0,0.0,4.0,0.0,0.0, positive
41,2.0,5.0,0.0,8.0,6.0,0.0,3.0,1.0,0.0, negative
42,2.0,5.0,0.0,5.0,6.0,0.0,2.0,4.0,0.0, negative
43,4.0,5.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0, positive
44,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0, positive
45,4.0,4.0,6.0,3.0,5.0,0.0,4.0,0.0,0.0, positive
46,0.0,5.0,4.0,4.0,8.0,0.0,1.0,0.0,0.0, positive
47,3.0,6.0,2.0,5.0,4.0,0.0,4.0,0.0,0.0, positive
48,3.0,4.0,6.0,4.0,4.0,0.0,4.0,0.0,0.0, positive
49,3.0,5.0,0.0,6.0,5.0,0.0,6.0,0.0,0.0, positive
