,0,1,2,3,4,5,6,7,8,y
0,6.0,4.0,9.0,1.0,3.0,1.0,7.0,0.0,0.0, negative
1,4.0,4.0,8.0,2.0,6.0,4.0,3.0,0.0,3.0, negative
2,4.0,4.0,8.0,1.0,7.0,4.0,3.0,0.0,0.0, negative
3,5.0,6.0,8.0,2.0,4.0,1.0,5.0,0.0,0.0, negative
4,1.0,3.0,7.0,2.0,6.0,5.0,4.0,0.0,7.0, negative
5,4.0,3.0,7.0,2.0,6.0,5.0,4.0,0.0,0.0, negative
6,3.0,3.0,8.0,3.0,6.0,5.0,3.0,0.0,6.0, negative
7,4.0,4.0,8.0,2.0,7.0,4.0,3.0,0.0,0.0, negative
8,4.0,3.0,7.0,2.0,7.0,4.0,4.0,0.0,0.0, negative
9,7.0,5.0,8.0,0.0,3.0,1.0,7.0,0.0,4.0, negative
10,6.0,6.0,9.0,0.0,3.0,1.0,6.0,0.0,0.0, negative
11,6.0,5.0,8.0,1.0,3.0,1.0,6.0,0.0,2.0, negative
12,3.0,5.0,7.0,3.0,6.0,3.0,3.0,0.0,0.0, negative
13,4.0,4.0,8.0,2.0,7.0,4.0,3.0,0.0,0.0, negative
14,4.0,3.0,8.0,2.0,6.0,4.0,4.0,0.0,0.0, negative
15,4.0,3.0,7.0,4.0,5.0,5.0,3.0,0.0,0.0, negative
16,5.0,5.0,9.0,2.0,5.0,4.0,3.0,0.0,3.0, negative
17,3.0,3.0,6.0,3.0,8.0,3.0,3.0,0.0,0.0, negative
18,4.0,2.0,5.0,2.0,8.0,5.0,5.0,0.0,6.0, negative
19,5.0,3.0,3.0,1.0,8.0,3.0,6.0,0.0,5.0, negative
20,5.0,4.0,9.0,2.0,5.0,5.0,4.0,0.0,0.0, negative
21,3.0,5.0,7.0,3.0,5.0,5.0,3.0,0.0,3.0, negative
22,8.0,0.0,0.0,1.0,7.0,0.0,8.0,0.0,0.0, negative
23,4.0,4.0,7.0,3.0,6.0,4.0,3.0,0.0,0.0, negative
24,2.0,8.0,8.0,4.0,3.0,1.0,2.0,0.0,3.0, negative
25,5.0,4.0,6.0,3.0,4.0,4.0,4.0,0.0,0.0, negative
26,5.0,3.0,8.0,2.0,4.0,5.0,5.0,0.0,6.0, negative
27,9.0,2.0,0.0,1.0,0.0,1.0,9.0,0.0,6.0, negative
28,3.0,4.0,6.0,3.0,7.0,3.0,3.0,0.0,0.0, negative
29,6.0,5.0,2.0,4.0,4.0,4.0,6.0,1.0,4.0, negative
30,3.0,3.0,7.0,3.0,7.0,5.0,3.0,0.0,0.0, negative
31,4.0,5.0,6.0,3.0,3.0,4.0,5.0,0.0,0.0, negative
32,6.0,6.0,9.0,1.0,2.0,2.0,5.0,0.0,8.0, negative
33,4.0,3.0,7.0,2.0,5.0,5.0,5.0,0.0,0.0, negative
34,2.0,6.0,3.0,9.0,0.0,7.0,1.0,8.0,0.0, negative
35,1.0,3.0,0.0,8.0,1.0,9.0,2.0,0.0,0.0, negative
36,3.0,1.0,0.0,2.0,9.0,8.0,5.0,0.0,0.0, positive
37,3.0,7.0,0.0,7.0,6.0,0.0,6.0,3.0,0.0, positive
38,3.0,7.0,0.0,5.0,8.0,0.0,4.0,7.0,0.0, positive
39,2.0,8.0,0.0,6.0,8.0,0.0,4.0,3.0,0.0, positive
40,4.0,8.0,0.0,5.0,8.0,0.0,4.0,7.0,0.0, positive
41,3.0,6.0,0.0,7.0,5.0,1.0,5.0,5.0,0.0, positive
42,3.0,6.0,1.0,4.0,7.0,0.0,4.0,4.0,0.0, positive
43,2.0,8.0,0.0,6.0,8.0,0.0,3.0,4.0,0.0, positive
44,6.0,8.0,2.0,5.0,0.0,5.0,6.0,0.0,0.0, positive
45,6.0,7.0,0.0,5.0,8.0,0.0,4.0,7.0,0.0, positive
46,0.0,5.0,4.0,4.0,6.0,7.0,0.0,6.0,0.0, positive
47,2.0,6.0,0.0,6.0,7.0,1.0,6.0,4.0,1.0, positive
48,7.0,5.0,6.0,2.0,4.0,5.0,5.0,0.0,0.0, positive
49,2.0,6.0,0.0,7.0,7.0,1.0,5.0,4.0,2.0, positive
50,4.0,7.0,0.0,5.0,7.0,0.0,4.0,7.0,2.0, positive
51,3.0,8.0,0.0,4.0,7.0,0.0,4.0,6.0,0.0, positive
52,4.0,8.0,0.0,5.0,6.0,0.0,4.0,7.0,2.0, positive
53,3.0,8.0,0.0,6.0,7.0,0.0,4.0,4.0,0.0, positive
54,4.0,6.0,0.0,5.0,7.0,0.0,4.0,7.0,0.0, positive
55,7.0,9.0,1.0,2.0,1.0,2.0,4.0,7.0,0.0, positive
56,3.0,6.0,0.0,7.0,8.0,0.0,5.0,2.0,9.0, positive
57,2.0,7.0,0.0,7.0,7.0,0.0,5.0,4.0,0.0, positive
58,3.0,8.0,0.0,6.0,6.0,0.0,5.0,3.0,0.0, positive
59,5.0,7.0,0.0,4.0,6.0,6.0,1.0,9.0,0.0, positive
60,3.0,8.0,0.0,6.0,7.0,0.0,5.0,4.0,9.0, positive
61,4.0,8.0,0.0,6.0,7.0,0.0,5.0,4.0,0.0, positive
62,5.0,7.0,5.0,6.0,2.0,6.0,1.0,7.0,0.0, positive
63,3.0,8.0,0.0,5.0,7.0,0.0,3.0,7.0,0.0, positive
64,4.0,8.0,0.0,4.0,6.0,0.0,4.0,7.0,0.0, positive
