,0,1,2,3,4,5,6,7,8,9,y
0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0, negative
1,0.0,0.0,0.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0, negative
2,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0, negative
3,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0, negative
4,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0, negative
5,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0, negative
6,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0, negative
7,0.0,0.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0, negative
8,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,3.0,0.0, negative
9,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0, negative
10,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0, negative
11,0.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0, negative
12,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0, negative
13,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0, negative
14,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0, negative
15,4.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0, negative
16,4.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0, negative
17,1.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0, negative
18,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0, negative
19,4.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0, negative
20,4.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,0.0,0.0, negative
21,4.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0, negative
22,4.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,0.0,0.0, negative
23,4.0,2.0,2.0,1.0,3.0,0.0,4.0,2.0,2.0,1.0, negative
24,4.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0, negative
25,3.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0, negative
26,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0, negative
27,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0, negative
28,3.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0, negative
29,4.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0, negative
30,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0, negative
31,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0, negative
32,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0, negative
33,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0, negative
34,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0, negative
35,2.0,3.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,3.0, negative
36,4.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,3.0,3.0, negative
37,4.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0, negative
38,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0, negative
39,4.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0, negative
40,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0, negative
41,3.0,3.0,3.0,3.0,1.0,4.0,1.0,3.0,3.0,3.0, negative
42,4.0,0.0,1.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0, negative
43,3.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,3.0,3.0, negative
44,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0, negative
45,4.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0, negative
46,4.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0, negative
47,4.0,0.0,1.0,0.0,3.0,4.0,1.0,1.0,1.0,1.0, negative
48,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0, negative
49,4.0,0.0,1.0,0.0,2.0,4.0,3.0,1.0,1.0,1.0, negative
50,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0, negative
51,4.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,3.0,3.0, negative
52,3.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0, negative
53,4.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,0.0, negative
54,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0, negative
55,4.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0, negative
56,3.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0, negative
57,2.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0, negative
58,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0, negative
59,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0, negative
60,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0, negative
61,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0, negative
62,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0, negative
63,4.0,3.0,4.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0, negative
64,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0, negative
65,3.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0, negative
66,3.0,3.0,3.0,3.0,1.0,0.0,3.0,3.0,3.0,3.0, negative
67,4.0,3.0,4.0,3.0,0.0,1.0,1.0,3.0,4.0,4.0, negative
68,4.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0, negative
69,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0, negative
70,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0, negative
71,3.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0, negative
72,3.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0, negative
73,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0, negative
74,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0, negative
75,4.0,4.0,4.0,3.0,1.0,0.0,3.0,4.0,4.0,4.0, negative
76,4.0,4.0,4.0,3.0,1.0,2.0,2.0,4.0,4.0,4.0, negative
77,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0, negative
78,0.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0, negative
79,0.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0, negative
80,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0, negative
81,1.0,2.0,2.0,3.0,0.0,1.0,3.0,2.0,2.0,1.0, negative
82,1.0,2.0,2.0,2.0,0.0,0.0,4.0,1.0,2.0,0.0, negative
83,0.0,1.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0, negative
