,0,1,2,3,4,5,6,7,8,9,y
0,2.0,1.0,1.0,1.0,5.0,5.0,6.0,0.0,7.0,1.0, negative
1,1.0,0.0,0.0,1.0,6.0,4.0,6.0,0.0,0.0,0.0, negative
2,1.0,2.0,2.0,4.0,2.0,1.0,5.0,1.0,1.0,1.0, negative
3,3.0,2.0,3.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0, negative
4,3.0,7.0,6.0,7.0,3.0,3.0,2.0,6.0,7.0,6.0, negative
5,5.0,5.0,6.0,4.0,7.0,7.0,5.0,7.0,6.0,6.0, negative
6,6.0,6.0,6.0,5.0,2.0,2.0,3.0,6.0,6.0,6.0, negative
7,5.0,4.0,5.0,3.0,3.0,6.0,1.0,5.0,5.0,5.0, negative
8,6.0,5.0,6.0,4.0,3.0,5.0,2.0,6.0,6.0,6.0, negative
9,5.0,6.0,7.0,6.0,2.0,5.0,3.0,6.0,7.0,6.0, negative
10,5.0,6.0,6.0,5.0,3.0,7.0,2.0,6.0,7.0,6.0, negative
11,7.0,1.0,3.0,1.0,3.0,7.0,2.0,3.0,4.0,3.0, negative
12,5.0,5.0,6.0,5.0,3.0,7.0,1.0,6.0,6.0,6.0, negative
13,7.0,1.0,3.0,1.0,5.0,7.0,1.0,3.0,4.0,4.0, negative
14,5.0,6.0,6.0,5.0,3.0,6.0,2.0,6.0,7.0,6.0, negative
15,0.0,3.0,1.0,6.0,8.0,5.0,9.0,2.0,1.0,0.0, positive
16,0.0,3.0,1.0,6.0,8.0,5.0,9.0,2.0,1.0,0.0, positive
17,4.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0, negative
18,0.0,5.0,2.0,7.0,8.0,2.0,9.0,4.0,2.0,0.0, positive
19,5.0,3.0,4.0,2.0,3.0,4.0,1.0,3.0,4.0,4.0, negative
20,6.0,7.0,7.0,6.0,6.0,6.0,5.0,8.0,8.0,7.0, negative
21,0.0,1.0,0.0,6.0,8.0,7.0,7.0,0.0,0.0,0.0, positive
22,3.0,2.0,3.0,2.0,3.0,4.0,5.0,2.0,2.0,2.0, negative
23,3.0,5.0,5.0,5.0,0.0,1.0,6.0,3.0,4.0,2.0, negative
24,0.0,1.0,0.0,4.0,6.0,7.0,7.0,0.0,0.0,0.0, negative
25,0.0,5.0,1.0,8.0,8.0,7.0,7.0,2.0,1.0,1.0, positive
26,4.0,3.0,3.0,3.0,7.0,7.0,5.0,4.0,4.0,4.0, negative
27,5.0,4.0,5.0,4.0,7.0,6.0,5.0,6.0,6.0,5.0, negative
28,5.0,6.0,6.0,5.0,3.0,4.0,3.0,6.0,6.0,6.0, negative
29,5.0,6.0,6.0,5.0,3.0,5.0,2.0,6.0,7.0,6.0, negative
30,7.0,7.0,7.0,6.0,2.0,5.0,1.0,7.0,8.0,7.0, negative
31,7.0,5.0,6.0,3.0,2.0,3.0,3.0,5.0,6.0,5.0, negative
32,4.0,5.0,5.0,4.0,4.0,6.0,1.0,5.0,6.0,6.0, negative
33,5.0,4.0,5.0,3.0,5.0,7.0,2.0,5.0,6.0,5.0, negative
34,4.0,2.0,3.0,2.0,7.0,7.0,4.0,4.0,4.0,4.0, negative
35,5.0,4.0,5.0,4.0,7.0,6.0,5.0,6.0,6.0,5.0, negative
36,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0, negative
37,1.0,0.0,0.0,0.0,8.0,4.0,7.0,0.0,0.0,0.0, positive
38,7.0,7.0,8.0,6.0,1.0,2.0,2.0,7.0,8.0,7.0, negative
39,0.0,7.0,4.0,9.0,7.0,1.0,9.0,5.0,3.0,0.0, positive
40,0.0,6.0,2.0,9.0,8.0,7.0,6.0,4.0,2.0,2.0, positive
41,2.0,3.0,4.0,4.0,0.0,2.0,3.0,1.0,3.0,2.0, negative
42,1.0,0.0,0.0,0.0,6.0,7.0,7.0,0.0,0.0,0.0, negative
43,1.0,4.0,4.0,5.0,1.0,5.0,6.0,2.0,4.0,1.0, negative
44,1.0,5.0,4.0,6.0,3.0,3.0,4.0,3.0,4.0,3.0, negative
45,1.0,4.0,2.0,6.0,1.0,4.0,3.0,1.0,2.0,2.0, negative
46,7.0,1.0,3.0,1.0,6.0,5.0,7.0,3.0,3.0,1.0, negative
47,6.0,1.0,2.0,0.0,7.0,7.0,6.0,2.0,2.0,1.0, negative
48,6.0,4.0,5.0,4.0,6.0,6.0,5.0,6.0,6.0,5.0, negative
49,5.0,5.0,6.0,4.0,8.0,7.0,5.0,7.0,6.0,6.0, negative
