,0,1,2,3,4,5,6,7,8,9,y
0,2.0,0.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0, negative
1,0.0,4.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0, negative
2,1.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0, negative
3,2.0,3.0,2.0,0.0,2.0,4.0,2.0,2.0,2.0,1.0, negative
4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0, negative
5,2.0,4.0,2.0,0.0,2.0,4.0,2.0,3.0,2.0,1.0, negative
6,1.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,0.0, negative
7,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,4.0, negative
8,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0, negative
9,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0, negative
10,0.0,4.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,4.0, negative
11,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0, negative
12,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0, negative
13,2.0,4.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,1.0, negative
14,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,4.0, negative
15,0.0,0.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0, negative
16,2.0,4.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0, negative
17,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,2.0, negative
18,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,4.0, negative
19,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,3.0, negative
20,1.0,4.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,2.0, negative
21,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,4.0, negative
22,1.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0, negative
23,1.0,3.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0, negative
24,1.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0, negative
25,2.0,3.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,4.0, negative
26,2.0,4.0,2.0,0.0,2.0,2.0,2.0,3.0,2.0,1.0, negative
27,2.0,3.0,2.0,0.0,2.0,4.0,2.0,3.0,2.0,1.0, negative
28,2.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0, negative
29,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0, negative
30,2.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,0.0, negative
31,1.0,4.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0, negative
32,1.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0, negative
33,2.0,1.0,2.0,2.0,2.0,0.0,2.0,4.0,2.0,1.0, negative
34,1.0,4.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0, negative
35,2.0,1.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0, negative
36,2.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0, negative
37,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0, negative
38,2.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,0.0, negative
39,1.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0, negative
40,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0, negative
41,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0, negative
42,1.0,4.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0, negative
43,1.0,4.0,1.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0, negative
44,2.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0, negative
45,1.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0, negative
46,0.0,1.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,3.0, negative
47,2.0,0.0,2.0,0.0,2.0,3.0,2.0,3.0,2.0,2.0, negative
48,2.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,2.0,3.0, negative
49,1.0,3.0,1.0,4.0,1.0,0.0,1.0,2.0,1.0,0.0, negative
50,2.0,4.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0, negative
51,2.0,3.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0, negative
52,2.0,3.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,1.0, negative
53,2.0,4.0,2.0,0.0,2.0,4.0,2.0,0.0,2.0,3.0, negative
54,2.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0, negative
55,0.0,3.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,4.0, negative
56,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0, negative
57,2.0,1.0,2.0,0.0,2.0,2.0,2.0,4.0,2.0,4.0, negative
58,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0, negative
59,2.0,2.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,4.0, negative
60,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,0.0, negative
61,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0,1.0,4.0, negative
62,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0, negative
63,2.0,4.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0, negative
64,0.0,3.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,2.0, negative
65,1.0,1.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,4.0, negative
