,0,1,2,3,4,5,6,7,8,y
0,9.0,3.0,8.0,2.0,8.0,3.0,1.0,2.0,2.0, negative
1,8.0,5.0,7.0,4.0,8.0,3.0,1.0,1.0,2.0, negative
2,4.0,2.0,3.0,2.0,4.0,6.0,4.0,5.0,5.0, negative
3,2.0,3.0,2.0,2.0,1.0,0.0,4.0,9.0,9.0, negative
4,0.0,5.0,1.0,2.0,1.0,2.0,5.0,9.0,7.0, positive
5,6.0,5.0,6.0,2.0,7.0,1.0,5.0,3.0,3.0, negative
6,9.0,1.0,8.0,1.0,8.0,0.0,1.0,2.0,2.0, negative
7,8.0,2.0,7.0,2.0,9.0,6.0,1.0,0.0,0.0, negative
8,9.0,0.0,8.0,2.0,8.0,3.0,1.0,2.0,2.0, negative
9,4.0,2.0,3.0,2.0,3.0,1.0,4.0,6.0,6.0, negative
10,5.0,2.0,5.0,2.0,5.0,6.0,2.0,4.0,4.0, negative
11,7.0,2.0,6.0,0.0,6.0,3.0,2.0,4.0,4.0, negative
12,3.0,2.0,3.0,2.0,2.0,4.0,4.0,7.0,7.0, negative
13,4.0,0.0,3.0,2.0,3.0,2.0,4.0,6.0,6.0, negative
14,3.0,2.0,3.0,1.0,1.0,3.0,4.0,9.0,9.0, negative
15,5.0,2.0,4.0,0.0,4.0,3.0,2.0,5.0,5.0, negative
16,3.0,4.0,3.0,4.0,3.0,3.0,4.0,7.0,7.0, negative
17,9.0,4.0,8.0,4.0,8.0,3.0,1.0,2.0,2.0, negative
18,8.0,0.0,7.0,1.0,8.0,3.0,1.0,1.0,2.0, negative
19,4.0,4.0,3.0,2.0,4.0,2.0,2.0,5.0,6.0, negative
20,7.0,5.0,6.0,2.0,6.0,2.0,2.0,3.0,4.0, negative
21,1.0,2.0,0.0,1.0,2.0,3.0,4.0,7.0,8.0, negative
22,6.0,2.0,6.0,2.0,6.0,5.0,2.0,4.0,4.0, negative
23,9.0,2.0,8.0,0.0,8.0,2.0,1.0,2.0,2.0, negative
24,9.0,5.0,8.0,2.0,8.0,3.0,1.0,2.0,2.0, negative
25,5.0,2.0,5.0,2.0,2.0,5.0,4.0,9.0,9.0, negative
26,2.0,3.0,2.0,2.0,2.0,6.0,4.0,8.0,9.0, negative
27,5.0,2.0,4.0,1.0,4.0,4.0,2.0,5.0,5.0, negative
28,6.0,1.0,6.0,0.0,7.0,1.0,4.0,3.0,3.0, negative
29,3.0,2.0,3.0,2.0,2.0,1.0,4.0,7.0,7.0, negative
30,8.0,2.0,7.0,2.0,8.0,3.0,1.0,1.0,2.0, negative
31,7.0,2.0,6.0,2.0,8.0,0.0,1.0,0.0,1.0, negative
32,2.0,1.0,2.0,0.0,9.0,6.0,4.0,0.0,0.0, negative
33,2.0,1.0,2.0,0.0,4.0,6.0,4.0,4.0,5.0, negative
34,1.0,2.0,0.0,2.0,1.0,3.0,4.0,8.0,9.0, negative
35,3.0,2.0,3.0,1.0,2.0,4.0,4.0,8.0,9.0, negative
36,3.0,1.0,3.0,2.0,3.0,3.0,4.0,7.0,7.0, negative
37,8.0,0.0,7.0,2.0,8.0,3.0,1.0,1.0,1.0, negative
38,4.0,3.0,4.0,2.0,1.0,0.0,4.0,9.0,9.0, negative
39,7.0,4.0,6.0,2.0,6.0,1.0,2.0,3.0,4.0, negative
40,3.0,2.0,3.0,2.0,3.0,3.0,4.0,6.0,6.0, negative
41,8.0,5.0,7.0,4.0,9.0,5.0,1.0,0.0,1.0, negative
42,7.0,2.0,6.0,3.0,9.0,5.0,1.0,0.0,0.0, negative
43,2.0,2.0,3.0,4.0,2.0,3.0,4.0,8.0,8.0, negative
44,1.0,4.0,1.0,2.0,1.0,0.0,4.0,8.0,9.0, negative
45,4.0,4.0,3.0,2.0,4.0,0.0,2.0,5.0,6.0, negative
46,0.0,5.0,1.0,2.0,1.0,2.0,5.0,9.0,7.0, positive
47,0.0,0.0,0.0,0.0,2.0,5.0,4.0,7.0,7.0, negative
48,7.0,2.0,6.0,0.0,6.0,3.0,2.0,4.0,4.0, negative
49,9.0,4.0,8.0,2.0,8.0,3.0,1.0,2.0,2.0, negative
50,7.0,1.0,6.0,2.0,7.0,5.0,2.0,3.0,3.0, negative
51,5.0,2.0,5.0,2.0,5.0,5.0,2.0,5.0,5.0, negative
52,7.0,4.0,6.0,2.0,7.0,0.0,2.0,3.0,3.0, negative
