,0,1,2,3,4,5,6,7,8,y
0,4.0,2.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0, negative
1,1.0,2.0,0.0,2.0,0.0,2.0,3.0,4.0,4.0, negative
2,0.0,1.0,0.0,0.0,1.0,3.0,3.0,3.0,4.0, negative
3,4.0,2.0,4.0,3.0,4.0,2.0,1.0,0.0,1.0, negative
4,3.0,0.0,3.0,0.0,4.0,2.0,1.0,0.0,0.0, negative
5,2.0,0.0,1.0,2.0,1.0,0.0,3.0,3.0,3.0, negative
6,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0, negative
7,1.0,1.0,0.0,2.0,1.0,2.0,3.0,4.0,4.0, negative
8,4.0,0.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0, negative
9,1.0,2.0,0.0,2.0,0.0,0.0,3.0,4.0,4.0, negative
10,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, negative
11,3.0,2.0,3.0,2.0,3.0,0.0,3.0,1.0,1.0, negative
12,3.0,0.0,3.0,2.0,3.0,0.0,2.0,1.0,1.0, negative
13,3.0,1.0,3.0,0.0,3.0,2.0,2.0,1.0,1.0, negative
14,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, negative
15,0.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,4.0, negative
16,0.0,1.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0, negative
17,4.0,0.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0, negative
18,4.0,1.0,3.0,2.0,4.0,3.0,1.0,0.0,0.0, negative
19,4.0,0.0,4.0,1.0,4.0,0.0,1.0,1.0,1.0, negative
20,4.0,1.0,4.0,0.0,4.0,2.0,1.0,1.0,1.0, negative
21,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, negative
22,0.0,1.0,0.0,3.0,1.0,3.0,3.0,3.0,3.0, negative
23,4.0,0.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0, negative
24,3.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0, negative
25,1.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0, negative
26,3.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0, negative
27,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0, negative
28,0.0,2.0,0.0,3.0,1.0,3.0,3.0,3.0,4.0, negative
29,2.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,3.0, negative
30,1.0,1.0,0.0,2.0,1.0,3.0,3.0,3.0,3.0, negative
31,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0, negative
32,3.0,1.0,3.0,0.0,3.0,2.0,2.0,2.0,2.0, negative
33,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0, negative
34,2.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0, negative
35,4.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0, negative
36,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0, negative
37,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0, negative
38,4.0,0.0,4.0,0.0,4.0,2.0,1.0,0.0,1.0, negative
39,3.0,1.0,3.0,2.0,4.0,0.0,1.0,0.0,0.0, negative
40,1.0,1.0,0.0,2.0,1.0,0.0,3.0,3.0,3.0, negative
41,1.0,1.0,1.0,1.0,0.0,2.0,3.0,4.0,4.0, negative
42,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, negative
43,4.0,1.0,4.0,2.0,4.0,2.0,1.0,0.0,1.0, negative
44,2.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,3.0, negative
45,2.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0, negative
46,4.0,1.0,3.0,0.0,4.0,1.0,1.0,0.0,0.0, negative
47,4.0,1.0,4.0,0.0,4.0,1.0,1.0,1.0,1.0, negative
48,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0, negative
49,0.0,1.0,0.0,2.0,0.0,2.0,3.0,4.0,4.0, negative
50,4.0,2.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0, negative
51,2.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0, negative
52,2.0,0.0,2.0,0.0,1.0,2.0,3.0,4.0,4.0, negative
53,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0, negative
54,1.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0, negative
55,4.0,2.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0, negative
56,4.0,0.0,4.0,0.0,4.0,1.0,1.0,1.0,1.0, negative
57,0.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,4.0, negative
58,3.0,0.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0, negative
59,1.0,1.0,1.0,2.0,0.0,0.0,3.0,4.0,4.0, negative
60,4.0,1.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0, negative
61,2.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0, negative
62,3.0,0.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0, negative
63,4.0,1.0,3.0,1.0,4.0,3.0,1.0,0.0,0.0, negative
64,0.0,1.0,0.0,2.0,0.0,2.0,3.0,4.0,4.0, negative
65,4.0,0.0,4.0,0.0,4.0,2.0,1.0,0.0,1.0, negative
66,0.0,0.0,0.0,2.0,1.0,2.0,3.0,3.0,4.0, negative
67,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0, negative
68,4.0,1.0,3.0,3.0,4.0,0.0,1.0,0.0,0.0, negative
69,4.0,0.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0, negative
70,1.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,3.0, negative
71,4.0,0.0,4.0,0.0,4.0,3.0,1.0,0.0,0.0, negative
72,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0, negative
73,4.0,0.0,4.0,2.0,4.0,0.0,1.0,0.0,0.0, negative
74,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0, negative
75,4.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0, negative
76,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0, negative
77,0.0,0.0,0.0,2.0,1.0,3.0,3.0,3.0,3.0, negative
78,3.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0, negative
79,0.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,4.0, negative
80,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, negative
81,4.0,1.0,4.0,2.0,4.0,0.0,1.0,1.0,1.0, negative
82,4.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0, negative
83,4.0,1.0,4.0,3.0,4.0,2.0,1.0,0.0,1.0, negative
84,4.0,0.0,4.0,2.0,4.0,2.0,1.0,0.0,0.0, negative
85,1.0,1.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0, negative
86,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0, negative
87,2.0,2.0,2.0,3.0,1.0,3.0,3.0,4.0,4.0, negative
88,2.0,0.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0, negative
89,0.0,1.0,0.0,3.0,0.0,2.0,3.0,4.0,4.0, negative
90,4.0,1.0,4.0,3.0,4.0,2.0,1.0,0.0,0.0, negative
91,3.0,2.0,3.0,2.0,3.0,0.0,2.0,1.0,2.0, negative
92,4.0,1.0,3.0,2.0,4.0,2.0,1.0,0.0,0.0, negative
93,4.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0, negative
94,2.0,1.0,2.0,3.0,1.0,0.0,3.0,3.0,3.0, negative
95,1.0,1.0,1.0,2.0,1.0,3.0,3.0,4.0,4.0, negative
96,3.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0, negative
97,3.0,1.0,3.0,0.0,3.0,2.0,2.0,2.0,2.0, negative
98,0.0,1.0,0.0,2.0,0.0,2.0,3.0,4.0,4.0, negative
99,1.0,1.0,0.0,2.0,1.0,2.0,3.0,3.0,3.0, negative
100,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0, negative
101,3.0,1.0,3.0,2.0,3.0,0.0,2.0,2.0,2.0, negative
102,4.0,1.0,3.0,2.0,4.0,3.0,1.0,0.0,0.0, negative
103,0.0,1.0,0.0,2.0,1.0,3.0,3.0,3.0,3.0, negative
104,4.0,1.0,4.0,0.0,4.0,1.0,1.0,1.0,1.0, negative
105,2.0,1.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0, negative
106,2.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0, negative
107,1.0,1.0,0.0,3.0,1.0,3.0,3.0,4.0,4.0, negative
108,4.0,2.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0, negative
109,4.0,1.0,4.0,2.0,4.0,2.0,1.0,0.0,0.0, negative
110,0.0,0.0,0.0,2.0,1.0,3.0,3.0,3.0,3.0, negative
111,1.0,1.0,0.0,2.0,0.0,0.0,3.0,4.0,4.0, negative
112,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0, negative
113,2.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0, negative
114,1.0,1.0,0.0,2.0,1.0,2.0,3.0,3.0,3.0, negative
115,1.0,1.0,1.0,3.0,0.0,1.0,3.0,4.0,4.0, negative
116,2.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,4.0, negative
117,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0, negative
118,1.0,1.0,0.0,2.0,1.0,3.0,3.0,4.0,4.0, negative
119,4.0,1.0,4.0,2.0,4.0,2.0,1.0,0.0,0.0, negative
120,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0, negative
121,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, negative
122,2.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,4.0, negative
123,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, negative
124,3.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0, negative
125,0.0,0.0,0.0,2.0,0.0,2.0,3.0,4.0,4.0, negative
126,0.0,1.0,0.0,2.0,0.0,0.0,3.0,4.0,4.0, negative
127,1.0,1.0,1.0,3.0,1.0,2.0,3.0,4.0,4.0, negative
128,1.0,1.0,1.0,2.0,0.0,0.0,3.0,4.0,4.0, negative
129,3.0,0.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0, negative
130,0.0,1.0,0.0,2.0,0.0,2.0,3.0,4.0,4.0, negative
