,0,1,2,3,4,5,6,7,8,y
0,6.0,6.0,3.0,0.0,4.0,4.0,0.0,7.0,8.0, negative
1,5.0,7.0,7.0,2.0,8.0,2.0,7.0,2.0,2.0, negative
2,0.0,2.0,2.0,2.0,7.0,4.0,8.0,2.0,0.0, negative
3,0.0,9.0,1.0,2.0,1.0,4.0,6.0,9.0,8.0, negative
4,6.0,3.0,3.0,1.0,4.0,4.0,0.0,7.0,8.0, negative
5,1.0,5.0,1.0,2.0,2.0,4.0,5.0,6.0,7.0, negative
6,7.0,7.0,4.0,2.0,4.0,4.0,0.0,7.0,9.0, negative
7,0.0,5.0,1.0,2.0,4.0,4.0,7.0,4.0,5.0, negative
8,6.0,2.0,3.0,2.0,4.0,4.0,1.0,7.0,8.0, negative
9,0.0,0.0,0.0,1.0,4.0,0.0,7.0,3.0,3.0, negative
10,7.0,4.0,7.0,2.0,9.0,0.0,1.0,1.0,5.0, negative
11,0.0,0.0,0.0,2.0,7.0,4.0,7.0,1.0,0.0, negative
12,4.0,0.0,3.0,2.0,3.0,0.0,6.0,7.0,7.0, negative
13,0.0,6.0,0.0,2.0,8.0,4.0,5.0,0.0,0.0, negative
14,5.0,9.0,3.0,2.0,0.0,2.0,0.0,9.0,9.0, negative
15,5.0,9.0,3.0,2.0,0.0,2.0,0.0,9.0,9.0, negative
16,7.0,4.0,7.0,2.0,9.0,0.0,1.0,1.0,5.0, negative
17,0.0,0.0,6.0,1.0,6.0,4.0,9.0,5.0,2.0, negative
18,0.0,6.0,0.0,2.0,4.0,4.0,7.0,3.0,4.0, negative
19,1.0,4.0,4.0,2.0,3.0,4.0,8.0,8.0,6.0, negative
20,1.0,3.0,1.0,0.0,2.0,4.0,5.0,5.0,6.0, negative
21,3.0,3.0,4.0,2.0,3.0,4.0,8.0,8.0,6.0, negative
22,0.0,1.0,1.0,2.0,4.0,4.0,7.0,4.0,5.0, negative
23,1.0,6.0,1.0,2.0,2.0,4.0,5.0,6.0,7.0, negative
24,4.0,5.0,1.0,2.0,2.0,4.0,3.0,6.0,7.0, negative
25,0.0,0.0,7.0,2.0,7.0,4.0,9.0,5.0,1.0, negative
26,0.0,6.0,6.0,2.0,6.0,2.0,9.0,5.0,2.0, negative
27,0.0,9.0,1.0,2.0,1.0,4.0,6.0,9.0,8.0, negative
28,5.0,2.0,3.0,2.0,4.0,4.0,1.0,7.0,8.0, negative
29,4.0,8.0,1.0,2.0,8.0,4.0,3.0,0.0,2.0, negative
30,5.0,9.0,3.0,2.0,0.0,1.0,1.0,9.0,9.0, negative
31,0.0,1.0,6.0,2.0,7.0,3.0,9.0,4.0,1.0, negative
32,0.0,5.0,0.0,2.0,8.0,4.0,5.0,0.0,0.0, negative
33,3.0,2.0,4.0,2.0,3.0,0.0,7.0,7.0,6.0, negative
34,2.0,6.0,4.0,2.0,3.0,3.0,8.0,7.0,5.0, negative
35,6.0,7.0,3.0,2.0,0.0,3.0,0.0,9.0,9.0, negative
36,1.0,1.0,0.0,2.0,8.0,4.0,5.0,0.0,0.0, negative
37,5.0,7.0,7.0,2.0,8.0,1.0,7.0,2.0,2.0, negative
38,0.0,0.0,1.0,2.0,4.0,4.0,7.0,3.0,4.0, negative
39,4.0,7.0,1.0,2.0,8.0,4.0,3.0,0.0,2.0, negative
40,3.0,2.0,1.0,2.0,2.0,4.0,3.0,6.0,7.0, negative
41,2.0,8.0,1.0,2.0,5.0,4.0,4.0,3.0,4.0, negative
42,2.0,1.0,1.0,0.0,8.0,2.0,4.0,0.0,0.0, negative
43,4.0,1.0,3.0,2.0,4.0,4.0,3.0,7.0,7.0, negative
44,7.0,5.0,7.0,2.0,9.0,1.0,1.0,1.0,4.0, negative
45,1.0,4.0,1.0,2.0,2.0,4.0,5.0,6.0,7.0, negative
46,7.0,5.0,7.0,2.0,9.0,2.0,2.0,1.0,4.0, negative
47,2.0,9.0,1.0,2.0,1.0,4.0,3.0,9.0,8.0, negative
48,3.0,9.0,1.0,2.0,5.0,4.0,3.0,3.0,4.0, negative
49,4.0,7.0,4.0,2.0,3.0,4.0,7.0,8.0,7.0, negative
50,6.0,3.0,7.0,2.0,9.0,2.0,3.0,2.0,3.0, negative
51,5.0,9.0,3.0,2.0,0.0,4.0,1.0,9.0,9.0, negative
52,7.0,4.0,7.0,2.0,9.0,1.0,2.0,2.0,4.0, negative
53,0.0,4.0,0.0,2.0,7.0,4.0,7.0,1.0,0.0, negative
54,0.0,0.0,6.0,1.0,6.0,4.0,9.0,5.0,2.0, negative
55,4.0,6.0,1.0,2.0,2.0,4.0,2.0,6.0,7.0, negative
56,0.0,6.0,6.0,2.0,6.0,4.0,9.0,5.0,2.0, negative
57,2.0,7.0,2.0,2.0,8.0,4.0,6.0,0.0,0.0, negative
58,0.0,8.0,1.0,2.0,5.0,4.0,6.0,3.0,3.0, negative
59,0.0,5.0,1.0,2.0,4.0,4.0,7.0,3.0,4.0, negative
60,4.0,8.0,1.0,2.0,1.0,4.0,2.0,9.0,9.0, negative
61,1.0,6.0,1.0,2.0,2.0,4.0,6.0,6.0,6.0, negative
62,4.0,1.0,3.0,2.0,4.0,4.0,3.0,7.0,7.0, negative
63,2.0,2.0,1.0,2.0,2.0,4.0,5.0,6.0,7.0, negative
64,6.0,4.0,7.0,2.0,8.0,0.0,6.0,2.0,3.0, negative
65,3.0,3.0,4.0,2.0,3.0,4.0,8.0,8.0,6.0, negative
66,6.0,8.0,3.0,2.0,0.0,3.0,0.0,9.0,9.0, negative
67,0.0,6.0,4.0,2.0,3.0,4.0,8.0,8.0,5.0, negative
68,3.0,2.0,1.0,2.0,2.0,4.0,3.0,6.0,7.0, negative
69,6.0,3.0,7.0,2.0,9.0,3.0,5.0,2.0,3.0, negative
70,5.0,9.0,3.0,2.0,0.0,4.0,0.0,9.0,9.0, negative
71,5.0,9.0,3.0,2.0,0.0,1.0,0.0,9.0,9.0, negative
72,6.0,2.0,7.0,2.0,9.0,3.0,4.0,2.0,3.0, negative
73,6.0,8.0,3.0,2.0,0.0,2.0,0.0,9.0,9.0, negative
74,6.0,4.0,7.0,2.0,9.0,3.0,5.0,2.0,3.0, negative
75,6.0,6.0,7.0,2.0,8.0,0.0,6.0,2.0,3.0, negative
76,6.0,2.0,3.0,1.0,4.0,4.0,1.0,7.0,8.0, negative
77,0.0,0.0,6.0,2.0,7.0,3.0,9.0,4.0,1.0, negative
78,0.0,0.0,6.0,0.0,7.0,2.0,9.0,4.0,1.0, negative
79,3.0,4.0,1.0,2.0,2.0,4.0,3.0,6.0,7.0, negative
80,3.0,4.0,4.0,2.0,3.0,1.0,7.0,7.0,6.0, negative
81,6.0,5.0,3.0,0.0,4.0,4.0,0.0,7.0,8.0, negative
82,6.0,4.0,7.0,2.0,9.0,2.0,3.0,2.0,4.0, negative
83,3.0,9.0,1.0,2.0,1.0,4.0,3.0,9.0,8.0, negative
84,4.0,7.0,1.0,2.0,2.0,4.0,2.0,6.0,7.0, negative
85,0.0,0.0,6.0,2.0,6.0,0.0,9.0,5.0,2.0, negative
