,0,1,2,3,4,5,6,7,8,y
0,7.0,5.0,3.0,0.0,3.0,5.0,0.0,6.0,8.0, negative
1,0.0,1.0,2.0,3.0,6.0,5.0,8.0,2.0,0.0, negative
2,1.0,6.0,1.0,3.0,1.0,5.0,6.0,9.0,8.0, negative
3,0.0,0.0,0.0,1.0,5.0,1.0,6.0,4.0,2.0, negative
4,8.0,3.0,6.0,3.0,8.0,0.0,2.0,1.0,4.0, negative
5,1.0,5.0,0.0,3.0,6.0,5.0,5.0,0.0,0.0, negative
6,5.0,7.0,3.0,3.0,0.0,3.0,1.0,9.0,9.0, negative
7,5.0,7.0,3.0,3.0,0.0,2.0,1.0,9.0,9.0, negative
8,0.0,0.0,6.0,1.0,5.0,5.0,9.0,6.0,1.0, negative
9,2.0,3.0,5.0,3.0,2.0,5.0,9.0,8.0,6.0, negative
10,6.0,6.0,3.0,3.0,0.0,4.0,0.0,9.0,9.0, negative
11,0.0,0.0,1.0,3.0,4.0,5.0,7.0,4.0,3.0, negative
12,3.0,6.0,1.0,3.0,5.0,5.0,4.0,3.0,3.0, negative
13,8.0,4.0,6.0,3.0,8.0,2.0,2.0,1.0,3.0, negative
14,5.0,8.0,3.0,3.0,0.0,5.0,2.0,9.0,9.0, negative
15,0.0,4.0,1.0,3.0,4.0,5.0,7.0,4.0,3.0, negative
16,6.0,2.0,6.0,3.0,7.0,0.0,5.0,3.0,2.0, negative
17,4.0,1.0,5.0,3.0,2.0,5.0,8.0,8.0,6.0, negative
18,1.0,5.0,5.0,3.0,2.0,5.0,9.0,8.0,5.0, negative
19,7.0,1.0,6.0,3.0,8.0,3.0,4.0,1.0,2.0, negative
20,4.0,2.0,4.0,3.0,3.0,2.0,7.0,7.0,6.0, negative
21,4.0,7.0,1.0,3.0,1.0,5.0,4.0,9.0,8.0, negative
22,0.0,5.0,2.0,3.0,6.0,5.0,8.0,2.0,0.0, negative
23,6.0,3.0,6.0,3.0,8.0,5.0,5.0,1.0,1.0, negative
24,4.0,7.0,1.0,3.0,1.0,5.0,4.0,9.0,8.0, negative
25,5.0,9.0,1.0,3.0,4.0,5.0,1.0,5.0,6.0, positive
26,8.0,4.0,6.0,3.0,8.0,1.0,0.0,0.0,4.0, negative
27,0.0,2.0,0.0,3.0,5.0,1.0,6.0,4.0,2.0, negative
28,4.0,1.0,3.0,3.0,3.0,0.0,6.0,6.0,7.0, negative
29,3.0,1.0,5.0,3.0,2.0,5.0,9.0,8.0,6.0, negative
30,0.0,2.0,1.0,3.0,4.0,5.0,7.0,5.0,3.0, negative
31,4.0,3.0,4.0,3.0,3.0,2.0,8.0,7.0,6.0, negative
32,4.0,6.0,1.0,3.0,1.0,5.0,3.0,9.0,9.0, negative
33,1.0,4.0,1.0,3.0,1.0,5.0,5.0,6.0,7.0, negative
34,6.0,7.0,3.0,3.0,0.0,2.0,0.0,9.0,9.0, negative
35,3.0,2.0,1.0,3.0,1.0,5.0,4.0,6.0,7.0, negative
36,1.0,6.0,1.0,3.0,5.0,5.0,5.0,3.0,2.0, negative
37,3.0,5.0,1.0,1.0,7.0,3.0,4.0,0.0,0.0, negative
38,3.0,0.0,2.0,3.0,7.0,5.0,6.0,0.0,0.0, negative
39,0.0,0.0,2.0,3.0,6.0,5.0,8.0,2.0,0.0, negative
40,2.0,4.0,5.0,3.0,2.0,5.0,9.0,8.0,6.0, negative
41,7.0,9.0,3.0,3.0,7.0,5.0,0.0,1.0,5.0, positive
42,6.0,5.0,6.0,3.0,7.0,1.0,6.0,3.0,1.0, negative
43,8.0,3.0,6.0,3.0,8.0,0.0,2.0,1.0,4.0, negative
44,0.0,0.0,6.0,1.0,6.0,3.0,9.0,5.0,1.0, negative
45,8.0,8.0,6.0,0.0,6.0,1.0,3.0,5.0,7.0, positive
46,4.0,8.0,0.0,0.0,5.0,5.0,2.0,2.0,4.0, positive
47,4.0,8.0,0.0,3.0,4.0,5.0,2.0,4.0,5.0, positive
48,7.0,9.0,3.0,0.0,7.0,3.0,0.0,0.0,5.0, positive
49,4.0,8.0,2.0,3.0,6.0,5.0,3.0,2.0,3.0, positive
50,5.0,9.0,6.0,1.0,6.0,0.0,8.0,5.0,4.0, positive
51,8.0,9.0,6.0,0.0,6.0,5.0,1.0,5.0,8.0, positive
52,8.0,9.0,6.0,0.0,6.0,1.0,3.0,5.0,7.0, positive
