,0,1,2,3,4,5,6,7,8,y
0,6.0,0.0,3.0,7.0,4.0,5.0,1.0,5.0,6.0, negative
1,1.0,0.0,0.0,7.0,3.0,5.0,4.0,4.0,4.0, negative
2,8.0,0.0,3.0,7.0,4.0,5.0,0.0,5.0,6.0, negative
3,2.0,0.0,3.0,7.0,4.0,0.0,4.0,5.0,4.0, negative
4,3.0,3.0,0.0,7.0,6.0,9.0,2.0,1.0,2.0, positive
5,1.0,0.0,0.0,7.0,3.0,5.0,4.0,4.0,4.0, negative
6,0.0,0.0,9.0,9.0,7.0,8.0,9.0,4.0,0.0, negative
7,4.0,0.0,1.0,7.0,0.0,4.0,2.0,9.0,9.0, negative
8,0.0,0.0,8.0,7.0,7.0,5.0,9.0,4.0,0.0, negative
9,1.0,0.0,3.0,7.0,4.0,5.0,5.0,5.0,3.0, negative
10,1.0,0.0,0.0,7.0,7.0,5.0,4.0,0.0,0.0, negative
11,1.0,0.0,0.0,7.0,3.0,5.0,3.0,4.0,4.0, negative
12,1.0,0.0,0.0,7.0,8.0,5.0,4.0,0.0,0.0, negative
13,1.0,0.0,0.0,7.0,6.0,5.0,3.0,1.0,1.0, negative
14,0.0,0.0,8.0,7.0,6.0,5.0,9.0,4.0,0.0, negative
15,1.0,0.0,1.0,7.0,8.0,5.0,4.0,0.0,0.0, negative
16,2.0,0.0,0.0,7.0,1.0,5.0,3.0,7.0,6.0, negative
17,3.0,0.0,3.0,7.0,4.0,5.0,3.0,5.0,4.0, negative
18,6.0,0.0,8.0,7.0,9.0,5.0,4.0,1.0,0.0, negative
19,6.0,0.0,8.0,7.0,9.0,2.0,4.0,1.0,0.0, negative
20,2.0,0.0,0.0,7.0,3.0,5.0,3.0,4.0,4.0, negative
21,0.0,0.0,8.0,7.0,6.0,3.0,9.0,4.0,0.0, negative
22,1.0,0.0,0.0,7.0,6.0,5.0,4.0,1.0,1.0, negative
23,5.0,0.0,3.0,7.0,4.0,5.0,2.0,5.0,5.0, negative
24,3.0,0.0,3.0,7.0,4.0,5.0,4.0,5.0,4.0, negative
25,0.0,0.0,0.0,7.0,7.0,5.0,5.0,0.0,0.0, negative
26,0.0,0.0,8.0,7.0,7.0,5.0,9.0,4.0,0.0, negative
27,0.0,0.0,8.0,7.0,7.0,5.0,9.0,4.0,0.0, negative
28,5.0,0.0,3.0,7.0,4.0,5.0,2.0,5.0,5.0, negative
29,0.0,0.0,8.0,7.0,7.0,5.0,9.0,4.0,0.0, negative
30,2.0,0.0,0.0,7.0,6.0,5.0,3.0,1.0,1.0, negative
31,1.0,0.0,0.0,7.0,3.0,5.0,4.0,4.0,4.0, negative
32,2.0,0.0,0.0,7.0,1.0,5.0,3.0,7.0,6.0, negative
33,0.0,0.0,8.0,7.0,7.0,5.0,9.0,4.0,0.0, negative
34,0.0,0.0,8.0,7.0,7.0,4.0,9.0,4.0,0.0, negative
35,2.0,0.0,0.0,7.0,1.0,5.0,3.0,7.0,6.0, negative
36,6.0,0.0,8.0,7.0,9.0,1.0,4.0,1.0,0.0, negative
37,5.0,5.0,8.0,7.0,7.0,0.0,5.0,4.0,2.0, positive
38,1.0,0.0,1.0,7.0,3.0,5.0,4.0,4.0,4.0, negative
39,3.0,0.0,1.0,7.0,7.0,5.0,2.0,1.0,2.0, negative
40,0.0,0.0,0.0,7.0,5.0,5.0,5.0,2.0,1.0, negative
41,9.0,0.0,8.0,7.0,9.0,3.0,2.0,0.0,2.0, negative
42,1.0,0.0,4.0,7.0,4.0,5.0,6.0,5.0,3.0, negative
43,1.0,0.0,0.0,7.0,6.0,5.0,4.0,1.0,1.0, negative
44,0.0,0.0,8.0,0.0,6.0,2.0,9.0,4.0,0.0, negative
45,7.0,0.0,8.0,7.0,9.0,4.0,3.0,1.0,1.0, negative
46,8.0,2.0,8.0,7.0,7.0,3.0,2.0,4.0,4.0, positive
47,3.0,3.0,0.0,7.0,5.0,5.0,2.0,2.0,3.0, positive
48,7.0,6.0,1.0,7.0,8.0,4.0,0.0,0.0,3.0, positive
49,3.0,4.0,1.0,7.0,7.0,5.0,2.0,1.0,2.0, positive
50,5.0,5.0,0.0,7.0,5.0,5.0,1.0,2.0,4.0, positive
51,7.0,6.0,3.0,7.0,8.0,5.0,0.0,1.0,3.0, positive
52,9.0,9.0,8.0,7.0,7.0,5.0,1.0,3.0,5.0, positive
53,8.0,8.0,8.0,7.0,7.0,2.0,2.0,4.0,4.0, positive
