,0,1,2,3,4,5,6,7,8,y
0,5.0,8.0,1.0,4.0,0.0,5.0,0.0,9.0,9.0, negative
1,0.0,3.0,8.0,3.0,6.0,2.0,9.0,4.0,0.0, negative
2,2.0,4.0,1.0,4.0,3.0,5.0,2.0,4.0,4.0, negative
3,6.0,4.0,3.0,4.0,4.0,5.0,0.0,5.0,5.0, negative
4,0.0,3.0,1.0,4.0,6.0,5.0,5.0,1.0,0.0, negative
5,0.0,7.0,0.0,4.0,1.0,5.0,4.0,7.0,5.0, negative
6,6.0,3.0,3.0,4.0,4.0,5.0,1.0,5.0,5.0, negative
7,1.0,3.0,0.0,4.0,3.0,5.0,3.0,4.0,3.0, negative
8,7.0,4.0,3.0,5.0,4.0,5.0,0.0,5.0,6.0, negative
9,0.0,3.0,0.0,4.0,4.0,5.0,5.0,3.0,2.0, negative
10,5.0,3.0,3.0,4.0,4.0,5.0,1.0,5.0,5.0, negative
11,0.0,1.0,0.0,4.0,6.0,2.0,4.0,1.0,0.0, negative
12,9.0,3.0,8.0,4.0,9.0,4.0,1.0,0.0,1.0, negative
13,8.0,3.0,8.0,4.0,9.0,1.0,1.0,0.0,2.0, negative
14,2.0,2.0,3.0,4.0,4.0,0.0,4.0,5.0,4.0, negative
15,0.0,4.0,0.0,4.0,7.0,5.0,3.0,0.0,0.0, negative
16,5.0,8.0,1.0,4.0,0.0,4.0,0.0,9.0,9.0, negative
17,1.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0, negative
18,5.0,8.0,1.0,4.0,0.0,4.0,0.0,9.0,9.0, negative
19,8.0,3.0,8.0,4.0,9.0,2.0,1.0,0.0,1.0, negative
20,0.0,0.0,0.0,4.0,5.0,5.0,4.0,2.0,1.0, negative
21,0.0,1.0,8.0,4.0,6.0,5.0,9.0,4.0,0.0, negative
22,1.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0, negative
23,1.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0, negative
24,1.0,4.0,0.0,4.0,3.0,5.0,3.0,4.0,3.0, negative
25,2.0,3.0,1.0,4.0,3.0,5.0,3.0,4.0,4.0, negative
26,0.0,2.0,9.0,6.0,6.0,7.0,9.0,4.0,0.0, negative
27,0.0,4.0,8.0,4.0,6.0,5.0,9.0,4.0,0.0, negative
28,1.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,3.0, negative
29,4.0,8.0,1.0,4.0,0.0,4.0,1.0,9.0,9.0, negative
30,0.0,2.0,8.0,4.0,6.0,5.0,9.0,4.0,0.0, negative
31,0.0,3.0,0.0,4.0,7.0,5.0,3.0,0.0,0.0, negative
32,0.0,4.0,0.0,4.0,6.0,5.0,4.0,0.0,0.0, negative
33,1.0,3.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0, negative
34,1.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,3.0, negative
35,5.0,6.0,1.0,4.0,0.0,5.0,0.0,9.0,9.0, negative
36,1.0,2.0,0.0,4.0,7.0,5.0,3.0,0.0,0.0, negative
37,0.0,1.0,0.0,4.0,5.0,5.0,4.0,2.0,1.0, negative
38,2.0,6.0,1.0,4.0,7.0,5.0,2.0,0.0,0.0, negative
39,5.0,4.0,8.0,4.0,9.0,3.0,4.0,1.0,0.0, negative
40,1.0,3.0,0.0,4.0,3.0,5.0,3.0,4.0,4.0, negative
41,1.0,7.0,0.0,4.0,6.0,5.0,3.0,1.0,1.0, negative
42,0.0,4.0,0.0,4.0,3.0,5.0,4.0,4.0,3.0, negative
43,1.0,2.0,0.0,4.0,7.0,5.0,3.0,0.0,0.0, negative
44,9.0,4.0,8.0,4.0,9.0,1.0,0.0,0.0,2.0, negative
45,3.0,2.0,3.0,4.0,4.0,5.0,3.0,5.0,4.0, negative
46,8.0,3.0,8.0,4.0,9.0,4.0,1.0,0.0,1.0, negative
47,1.0,3.0,0.0,4.0,3.0,5.0,3.0,4.0,3.0, negative
48,5.0,4.0,8.0,4.0,9.0,4.0,4.0,1.0,0.0, negative
49,1.0,7.0,0.0,4.0,1.0,5.0,3.0,7.0,5.0, negative
50,7.0,3.0,8.0,4.0,9.0,5.0,2.0,0.0,1.0, negative
51,1.0,7.0,0.0,4.0,1.0,5.0,3.0,7.0,5.0, negative
52,1.0,7.0,0.0,4.0,6.0,5.0,3.0,1.0,1.0, negative
53,6.0,3.0,8.0,4.0,9.0,5.0,3.0,1.0,1.0, negative
54,4.0,9.0,1.0,4.0,0.0,9.0,1.0,9.0,9.0, negative
55,7.0,3.0,8.0,4.0,9.0,4.0,2.0,1.0,1.0, negative
56,0.0,0.0,8.0,4.0,6.0,5.0,9.0,4.0,0.0, negative
57,2.0,4.0,0.0,4.0,3.0,5.0,2.0,4.0,4.0, negative
58,0.0,1.0,0.0,4.0,5.0,5.0,4.0,2.0,1.0, negative
59,0.0,4.0,8.0,4.0,6.0,5.0,9.0,4.0,0.0, negative
60,1.0,4.0,1.0,4.0,7.0,5.0,4.0,0.0,0.0, negative
61,1.0,2.0,0.0,4.0,7.0,5.0,3.0,0.0,0.0, negative
62,6.0,3.0,3.0,4.0,4.0,5.0,0.0,5.0,5.0, negative
63,0.0,3.0,0.0,4.0,5.0,5.0,4.0,2.0,1.0, negative
64,2.0,6.0,0.0,4.0,1.0,5.0,2.0,7.0,6.0, negative
65,2.0,6.0,1.0,4.0,7.0,5.0,3.0,0.0,0.0, negative
66,3.0,2.0,3.0,4.0,4.0,5.0,3.0,5.0,4.0, negative
67,5.0,3.0,8.0,4.0,9.0,0.0,4.0,1.0,0.0, negative
68,1.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0, negative
69,2.0,2.0,3.0,4.0,4.0,5.0,3.0,5.0,3.0, negative
70,0.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0, negative
71,1.0,3.0,0.0,4.0,3.0,5.0,3.0,4.0,4.0, negative
72,5.0,8.0,1.0,4.0,0.0,9.0,0.0,9.0,9.0, negative
73,5.0,9.0,1.0,4.0,0.0,4.0,0.0,9.0,9.0, negative
74,2.0,6.0,0.0,4.0,6.0,5.0,2.0,1.0,1.0, negative
75,6.0,3.0,8.0,4.0,9.0,5.0,3.0,1.0,0.0, negative
76,6.0,3.0,8.0,4.0,9.0,5.0,3.0,1.0,0.0, negative
77,9.0,4.0,8.0,4.0,9.0,5.0,0.0,0.0,2.0, negative
78,5.0,4.0,8.0,4.0,9.0,2.0,4.0,1.0,0.0, negative
79,0.0,1.0,8.0,4.0,6.0,5.0,9.0,4.0,0.0, negative
80,7.0,4.0,8.0,4.0,9.0,3.0,2.0,1.0,1.0, negative
81,0.0,0.0,8.0,4.0,6.0,5.0,9.0,4.0,0.0, negative
82,2.0,3.0,0.0,4.0,3.0,5.0,2.0,4.0,4.0, negative
83,1.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0, negative
84,6.0,3.0,8.0,4.0,9.0,4.0,3.0,1.0,1.0, negative
85,1.0,7.0,0.0,4.0,1.0,5.0,3.0,7.0,5.0, negative
86,0.0,0.0,8.0,5.0,6.0,3.0,9.0,4.0,0.0, negative
87,0.0,4.0,1.0,4.0,6.0,5.0,5.0,1.0,0.0, negative
88,0.0,1.0,0.0,4.0,5.0,5.0,4.0,2.0,1.0, negative
89,2.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0, negative
90,1.0,7.0,0.0,4.0,6.0,5.0,3.0,1.0,1.0, negative
91,1.0,3.0,0.0,4.0,3.0,5.0,3.0,4.0,4.0, negative
92,5.0,2.0,3.0,4.0,4.0,5.0,1.0,5.0,5.0, negative
93,1.0,7.0,0.0,4.0,6.0,5.0,3.0,1.0,1.0, negative
94,5.0,3.0,8.0,4.0,9.0,6.0,4.0,1.0,0.0, negative
95,1.0,4.0,1.0,5.0,3.0,5.0,4.0,4.0,3.0, negative
96,3.0,2.0,3.0,4.0,4.0,5.0,3.0,5.0,4.0, negative
97,5.0,4.0,8.0,4.0,9.0,2.0,4.0,1.0,0.0, negative
98,1.0,7.0,0.0,4.0,1.0,5.0,3.0,7.0,5.0, negative
99,7.0,4.0,3.0,5.0,4.0,5.0,0.0,5.0,6.0, negative
100,7.0,4.0,8.0,4.0,9.0,0.0,2.0,1.0,1.0, negative
101,0.0,3.0,0.0,4.0,5.0,5.0,4.0,2.0,1.0, negative
102,1.0,3.0,0.0,4.0,3.0,5.0,3.0,4.0,4.0, negative
103,0.0,1.0,9.0,9.0,6.0,8.0,9.0,4.0,0.0, negative
104,0.0,1.0,1.0,4.0,6.0,5.0,5.0,1.0,0.0, negative
105,9.0,4.0,8.0,4.0,9.0,0.0,0.0,0.0,2.0, negative
106,0.0,4.0,0.0,4.0,3.0,5.0,4.0,4.0,3.0, negative
107,0.0,2.0,0.0,4.0,6.0,5.0,4.0,0.0,0.0, negative
108,9.0,3.0,8.0,4.0,9.0,3.0,0.0,0.0,2.0, negative
109,0.0,3.0,0.0,4.0,6.0,2.0,4.0,1.0,0.0, negative
110,1.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0, negative
111,5.0,7.0,1.0,4.0,0.0,5.0,0.0,9.0,9.0, negative
112,1.0,6.0,0.0,4.0,6.0,5.0,3.0,1.0,1.0, negative
113,0.0,1.0,0.0,4.0,6.0,5.0,4.0,0.0,0.0, negative
114,2.0,2.0,3.0,4.0,4.0,1.0,4.0,5.0,3.0, negative
115,0.0,3.0,8.0,4.0,6.0,5.0,9.0,4.0,0.0, negative
116,1.0,3.0,1.0,4.0,7.0,5.0,4.0,0.0,0.0, negative
117,0.0,1.0,8.0,4.0,6.0,5.0,9.0,4.0,0.0, negative
118,8.0,3.0,8.0,4.0,9.0,4.0,1.0,0.0,1.0, negative
119,1.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0, negative
120,0.0,3.0,0.0,4.0,5.0,5.0,4.0,2.0,1.0, negative
121,1.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,3.0, negative
122,0.0,2.0,8.0,4.0,6.0,5.0,9.0,4.0,0.0, negative
123,1.0,3.0,1.0,5.0,3.0,5.0,4.0,4.0,3.0, negative
124,5.0,7.0,1.0,4.0,0.0,4.0,0.0,9.0,9.0, negative
125,2.0,7.0,0.0,4.0,1.0,5.0,2.0,7.0,6.0, negative
126,4.0,2.0,3.0,4.0,4.0,5.0,2.0,5.0,4.0, negative
127,4.0,2.0,3.0,4.0,4.0,5.0,2.0,5.0,4.0, negative
128,1.0,0.0,0.0,4.0,7.0,5.0,3.0,0.0,0.0, negative
129,1.0,3.0,0.0,4.0,3.0,5.0,3.0,4.0,3.0, negative
130,0.0,0.0,8.0,4.0,6.0,5.0,9.0,4.0,0.0, negative
131,0.0,6.0,0.0,4.0,1.0,5.0,4.0,7.0,5.0, negative
132,5.0,7.0,1.0,4.0,0.0,4.0,0.0,9.0,9.0, negative
133,6.0,3.0,8.0,4.0,9.0,5.0,3.0,1.0,1.0, negative
134,1.0,3.0,0.0,4.0,3.0,5.0,3.0,4.0,4.0, negative
135,2.0,6.0,0.0,4.0,6.0,5.0,2.0,1.0,1.0, negative
136,6.0,3.0,3.0,4.0,4.0,5.0,0.0,5.0,5.0, negative
137,0.0,6.0,0.0,4.0,6.0,5.0,3.0,1.0,1.0, negative
138,1.0,3.0,0.0,4.0,3.0,5.0,3.0,4.0,4.0, negative
139,1.0,3.0,0.0,4.0,3.0,5.0,3.0,4.0,4.0, negative
140,2.0,6.0,0.0,4.0,1.0,5.0,2.0,7.0,6.0, negative
141,7.0,3.0,8.0,4.0,9.0,4.0,2.0,1.0,1.0, negative
142,0.0,0.0,8.0,4.0,6.0,5.0,9.0,4.0,0.0, negative
143,2.0,2.0,3.0,4.0,4.0,2.0,4.0,5.0,3.0, negative
144,0.0,6.0,0.0,4.0,6.0,5.0,4.0,1.0,1.0, negative
145,2.0,7.0,0.0,4.0,1.0,5.0,2.0,7.0,6.0, negative
146,7.0,4.0,8.0,4.0,9.0,5.0,2.0,0.0,1.0, negative
147,0.0,3.0,8.0,4.0,6.0,4.0,9.0,4.0,0.0, negative
148,1.0,7.0,0.0,4.0,1.0,5.0,3.0,7.0,6.0, negative
149,5.0,3.0,8.0,4.0,9.0,1.0,4.0,1.0,0.0, negative
150,2.0,6.0,0.0,4.0,6.0,5.0,2.0,1.0,1.0, negative
151,1.0,4.0,0.0,4.0,7.0,5.0,3.0,0.0,0.0, negative
152,1.0,0.0,1.0,4.0,7.0,5.0,4.0,0.0,0.0, negative
153,0.0,2.0,1.0,4.0,6.0,5.0,5.0,1.0,0.0, negative
154,1.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0, negative
155,1.0,3.0,1.0,5.0,3.0,5.0,3.0,4.0,3.0, negative
156,3.0,9.0,1.0,4.0,6.0,5.0,2.0,1.0,1.0, negative
157,0.0,2.0,0.0,4.0,5.0,5.0,4.0,2.0,1.0, negative
158,8.0,3.0,8.0,4.0,9.0,3.0,1.0,0.0,1.0, negative
159,0.0,3.0,1.0,4.0,6.0,5.0,5.0,1.0,0.0, negative
160,5.0,4.0,8.0,4.0,9.0,4.0,4.0,1.0,0.0, negative
161,0.0,3.0,0.0,4.0,6.0,5.0,4.0,0.0,0.0, negative
162,1.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0, negative
163,1.0,6.0,0.0,4.0,6.0,5.0,3.0,1.0,1.0, negative
164,0.0,3.0,8.0,0.0,6.0,2.0,9.0,4.0,0.0, negative
165,0.0,1.0,8.0,4.0,6.0,5.0,9.0,4.0,0.0, negative
166,9.0,3.0,8.0,4.0,9.0,0.0,1.0,0.0,2.0, negative
167,0.0,4.0,0.0,4.0,3.0,5.0,3.0,4.0,3.0, negative
168,2.0,2.0,3.0,4.0,4.0,6.0,4.0,5.0,3.0, negative
169,0.0,3.0,8.0,4.0,6.0,5.0,9.0,4.0,0.0, negative
170,8.0,3.0,8.0,4.0,9.0,5.0,2.0,0.0,1.0, negative
171,0.0,2.0,8.0,4.0,6.0,5.0,9.0,4.0,0.0, negative
172,7.0,3.0,8.0,4.0,9.0,4.0,2.0,1.0,1.0, negative
173,7.0,4.0,3.0,4.0,4.0,5.0,0.0,5.0,6.0, negative
174,0.0,4.0,8.0,4.0,6.0,5.0,9.0,4.0,0.0, negative
175,1.0,6.0,1.0,4.0,7.0,5.0,3.0,0.0,0.0, negative
