,0,1,2,3,4,5,6,7,8,y
0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0, positive
1,1.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0, negative
2,3.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0, negative
3,3.0,4.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0, negative
4,4.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0, negative
5,3.0,3.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0, negative
6,4.0,4.0,4.0,2.0,4.0,0.0,0.0,1.0,1.0, negative
7,4.0,1.0,4.0,1.0,4.0,2.0,0.0,1.0,1.0, negative
8,1.0,4.0,0.0,2.0,0.0,2.0,2.0,4.0,4.0, negative
9,3.0,3.0,1.0,0.0,1.0,2.0,1.0,3.0,3.0, negative
10,4.0,3.0,4.0,1.0,4.0,3.0,0.0,1.0,1.0, negative
11,4.0,3.0,3.0,2.0,4.0,1.0,0.0,0.0,1.0, negative
12,3.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0, negative
13,1.0,4.0,1.0,1.0,0.0,2.0,2.0,4.0,4.0, negative
14,1.0,4.0,1.0,2.0,0.0,3.0,3.0,4.0,4.0, negative
15,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0, negative
16,3.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0, negative
17,3.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,3.0, negative
18,3.0,3.0,2.0,0.0,2.0,1.0,3.0,2.0,3.0, negative
19,4.0,3.0,4.0,1.0,4.0,3.0,0.0,0.0,1.0, negative
20,3.0,4.0,3.0,1.0,2.0,0.0,3.0,3.0,3.0, negative
21,4.0,1.0,3.0,1.0,4.0,2.0,0.0,0.0,1.0, negative
22,1.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,4.0, negative
23,1.0,4.0,0.0,2.0,0.0,2.0,2.0,4.0,4.0, negative
24,1.0,4.0,0.0,2.0,0.0,1.0,2.0,4.0,4.0, negative
25,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0, positive
26,0.0,0.0,4.0,1.0,3.0,0.0,3.0,1.0,0.0, positive
27,0.0,0.0,4.0,1.0,3.0,0.0,3.0,1.0,0.0, positive
28,0.0,0.0,0.0,1.0,3.0,2.0,3.0,1.0,0.0, positive
