,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,y
0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0, positive
1,1.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0, negative
2,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,4.0,3.0,3.0, negative
3,4.0,4.0,4.0,4.0,1.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,3.0,2.0,3.0, negative
4,4.0,4.0,4.0,3.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,2.0,2.0, negative
5,3.0,2.0,3.0,3.0,1.0,0.0,4.0,0.0,4.0,1.0,4.0,4.0,2.0,3.0,0.0,1.0,4.0,2.0, negative
6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,3.0,2.0,2.0, negative
7,3.0,0.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,4.0, positive
8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0, negative
9,4.0,4.0,4.0,4.0,4.0,3.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,1.0,2.0,3.0, negative
10,3.0,3.0,2.0,4.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0, negative
11,3.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,0.0,2.0,2.0, negative
12,1.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,4.0,0.0,3.0,3.0,1.0,1.0,3.0,4.0,3.0,2.0, negative
13,4.0,4.0,4.0,3.0,1.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0, negative
14,3.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,1.0, positive
15,0.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,0.0,1.0, negative
16,4.0,4.0,4.0,4.0,4.0,3.0,4.0,0.0,4.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0, negative
17,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,0.0, negative
18,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,0.0,2.0,3.0, positive
19,0.0,3.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,1.0,3.0,0.0,0.0, negative
20,0.0,2.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0, negative
21,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0, positive
22,1.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,0.0,3.0,2.0,4.0,4.0, negative
23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0, positive
24,1.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0, negative
25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0, positive
26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,1.0,1.0, negative
27,1.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,0.0,2.0,2.0,4.0,4.0,2.0,1.0, positive
28,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0, negative
29,3.0,4.0,3.0,1.0,0.0,4.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0, positive
30,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,0.0,2.0,2.0, negative
31,0.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0, negative
32,0.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,4.0,2.0,4.0,0.0,0.0, negative
33,0.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,0.0,3.0,0.0,0.0, negative
34,0.0,3.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,0.0,1.0,0.0,0.0, negative
35,3.0,4.0,4.0,4.0,2.0,0.0,4.0,0.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,1.0, negative
36,3.0,4.0,4.0,3.0,2.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0, negative
37,4.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,4.0,4.0, negative
38,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,3.0,3.0,4.0,4.0,0.0,1.0,1.0,4.0,4.0, negative
39,4.0,4.0,4.0,4.0,2.0,1.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,2.0,0.0, negative
40,1.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0, positive
41,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0, negative
42,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,4.0,3.0,4.0,4.0,3.0,0.0,0.0,4.0,3.0,4.0, negative
43,4.0,4.0,4.0,4.0,2.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,0.0,3.0,2.0, negative
44,2.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0, positive
45,2.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,4.0,3.0,3.0, negative
46,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0, negative
47,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0, negative
48,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,1.0,3.0,4.0,2.0,0.0,0.0, negative
49,4.0,4.0,4.0,3.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,0.0, negative
50,3.0,2.0,3.0,4.0,3.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0, negative
51,4.0,4.0,4.0,4.0,2.0,4.0,4.0,0.0,4.0,3.0,4.0,4.0,2.0,0.0,0.0,4.0,3.0,4.0, negative
52,4.0,4.0,3.0,4.0,3.0,0.0,4.0,0.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0, negative
53,1.0,0.0,1.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0, positive
54,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0,0.0,0.0, negative
55,0.0,3.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,0.0,0.0, negative
56,4.0,4.0,3.0,4.0,4.0,1.0,4.0,0.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,1.0,4.0,2.0, negative
57,2.0,3.0,2.0,1.0,2.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0, positive
58,0.0,1.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0, negative
59,4.0,3.0,3.0,4.0,3.0,0.0,4.0,0.0,4.0,2.0,4.0,4.0,2.0,3.0,2.0,1.0,4.0,1.0, negative
60,4.0,4.0,4.0,4.0,2.0,4.0,4.0,0.0,4.0,4.0,3.0,4.0,3.0,0.0,4.0,0.0,4.0,4.0, negative
61,4.0,4.0,4.0,3.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,0.0, negative
62,4.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,1.0, negative
63,2.0,0.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,0.0,0.0,3.0,4.0,4.0,4.0, negative
64,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0, negative
65,4.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,2.0,4.0,4.0,4.0,1.0,0.0,3.0,2.0,3.0, negative
66,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0, negative
67,3.0,3.0,3.0,4.0,4.0,1.0,3.0,1.0,4.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,4.0,4.0, negative
68,2.0,3.0,2.0,1.0,2.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,2.0,0.0,1.0, positive
69,3.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0, positive
70,3.0,0.0,1.0,2.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,4.0,4.0, negative
71,4.0,4.0,4.0,3.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,3.0,3.0, negative
72,4.0,4.0,4.0,3.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0, negative
73,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0, negative
74,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,2.0,2.0,3.0, negative
