,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,y
0,4.0,3.0,6.0,1.0,1.0,1.0,2.0,5.0,1.0,3.0,2.0,1.0,3.0,1.0,4.0,3.0,4.0,5.0, negative
1,4.0,3.0,3.0,2.0,1.0,1.0,1.0,6.0,0.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,5.0,6.0, negative
2,3.0,1.0,4.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,6.0, negative
3,5.0,6.0,5.0,4.0,2.0,0.0,4.0,3.0,3.0,5.0,3.0,3.0,6.0,1.0,2.0,0.0,7.0,5.0, negative
4,6.0,8.0,9.0,4.0,1.0,1.0,6.0,1.0,5.0,6.0,5.0,5.0,9.0,1.0,2.0,0.0,3.0,4.0, positive
5,6.0,3.0,5.0,3.0,2.0,0.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,7.0,5.0, negative
6,8.0,8.0,8.0,3.0,1.0,1.0,7.0,1.0,6.0,7.0,5.0,6.0,7.0,1.0,2.0,2.0,3.0,4.0, negative
7,3.0,2.0,4.0,1.0,1.0,1.0,2.0,5.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0, negative
8,7.0,4.0,6.0,3.0,1.0,0.0,5.0,2.0,4.0,3.0,4.0,5.0,3.0,2.0,2.0,1.0,6.0,3.0, negative
9,4.0,5.0,6.0,8.0,8.0,9.0,2.0,5.0,1.0,5.0,7.0,2.0,6.0,7.0,0.0,3.0,3.0,4.0, negative
10,7.0,3.0,3.0,2.0,2.0,0.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0,0.0,3.0,2.0,8.0,9.0, negative
11,8.0,7.0,9.0,4.0,2.0,1.0,6.0,1.0,6.0,6.0,4.0,6.0,7.0,0.0,0.0,0.0,5.0,6.0, positive
12,6.0,8.0,8.0,4.0,2.0,1.0,7.0,1.0,7.0,8.0,5.0,7.0,7.0,1.0,2.0,3.0,3.0,4.0, positive
13,3.0,4.0,5.0,2.0,2.0,1.0,2.0,5.0,0.0,4.0,2.0,1.0,4.0,1.0,0.0,2.0,4.0,6.0, negative
14,6.0,9.0,9.0,5.0,2.0,1.0,7.0,1.0,7.0,9.0,5.0,7.0,7.0,1.0,4.0,6.0,3.0,5.0, positive
15,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0, positive
16,3.0,2.0,3.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,4.0,2.0,0.0,0.0,1.0,1.0, negative
17,8.0,7.0,7.0,4.0,2.0,0.0,6.0,1.0,6.0,6.0,5.0,6.0,7.0,2.0,5.0,1.0,5.0,3.0, negative
18,4.0,4.0,4.0,0.0,0.0,1.0,2.0,5.0,1.0,4.0,2.0,1.0,5.0,3.0,2.0,1.0,1.0,0.0, negative
19,3.0,5.0,4.0,2.0,2.0,0.0,2.0,5.0,1.0,3.0,2.0,2.0,5.0,1.0,0.0,0.0,3.0,2.0, negative
20,4.0,3.0,6.0,4.0,3.0,0.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,6.0,6.0, negative
21,5.0,1.0,6.0,2.0,0.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,4.0,3.0,4.0,4.0, positive
22,8.0,7.0,8.0,3.0,1.0,1.0,5.0,2.0,5.0,5.0,4.0,5.0,8.0,1.0,4.0,2.0,5.0,5.0, negative
23,4.0,3.0,5.0,1.0,1.0,0.0,2.0,5.0,1.0,2.0,1.0,1.0,4.0,1.0,7.0,3.0,3.0,2.0, negative
24,3.0,3.0,4.0,1.0,1.0,1.0,2.0,5.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,3.0, negative
25,5.0,3.0,6.0,2.0,2.0,1.0,2.0,5.0,1.0,3.0,2.0,2.0,2.0,0.0,5.0,1.0,6.0,7.0, negative
26,6.0,5.0,9.0,4.0,1.0,1.0,5.0,2.0,5.0,4.0,4.0,5.0,3.0,0.0,0.0,8.0,6.0,7.0, positive
27,3.0,2.0,5.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,4.0,2.0,3.0, positive
28,5.0,5.0,6.0,2.0,1.0,1.0,3.0,4.0,1.0,4.0,2.0,2.0,5.0,1.0,1.0,3.0,3.0,4.0, negative
29,7.0,4.0,8.0,4.0,1.0,1.0,6.0,1.0,5.0,4.0,5.0,5.0,5.0,1.0,2.0,1.0,4.0,4.0, positive
30,5.0,6.0,5.0,3.0,1.0,1.0,4.0,3.0,3.0,5.0,3.0,3.0,5.0,1.0,2.0,2.0,7.0,6.0, negative
31,7.0,5.0,7.0,4.0,2.0,1.0,6.0,1.0,5.0,4.0,4.0,5.0,6.0,1.0,3.0,2.0,5.0,4.0, negative
32,3.0,1.0,3.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0,5.0,2.0,2.0, negative
33,7.0,5.0,6.0,2.0,1.0,1.0,3.0,4.0,2.0,6.0,2.0,2.0,4.0,1.0,8.0,0.0,4.0,4.0, negative
34,4.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,3.0,0.0,6.0,2.0,9.0,9.0, negative
