,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,y
0,4.0,3.0,6.0,2.0,2.0,5.0,3.0,6.0,2.0,4.0,3.0,3.0,3.0,5.0,7.0,6.0,5.0,6.0, negative
1,8.0,8.0,9.0,9.0,7.0,6.0,8.0,1.0,5.0,7.0,8.0,8.0,9.0,5.0,9.0,4.0,5.0,5.0, negative
2,5.0,3.0,6.0,4.0,6.0,5.0,2.0,7.0,2.0,4.0,1.0,2.0,0.0,0.0,5.0,5.0,9.0,9.0, negative
3,1.0,5.0,3.0,8.0,9.0,7.0,3.0,6.0,2.0,4.0,9.0,3.0,7.0,9.0,7.0,5.0,1.0,1.0, negative
4,9.0,9.0,9.0,6.0,0.0,2.0,9.0,0.0,6.0,9.0,9.0,9.0,9.0,9.0,5.0,4.0,1.0,1.0, negative
5,7.0,4.0,4.0,6.0,7.0,2.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,1.0,9.0,0.0,9.0,8.0, negative
6,4.0,4.0,2.0,4.0,7.0,5.0,1.0,8.0,1.0,5.0,1.0,1.0,4.0,2.0,3.0,1.0,7.0,8.0, negative
7,2.0,0.0,0.0,2.0,5.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,9.0,9.0, negative
8,5.0,5.0,8.0,8.0,5.0,7.0,7.0,2.0,4.0,5.0,7.0,7.0,2.0,1.0,4.0,6.0,8.0,8.0, negative
9,2.0,0.0,3.0,3.0,5.0,5.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,5.0,7.0,8.0, negative
10,4.0,0.0,2.0,2.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,9.0,8.0,8.0, negative
11,3.0,3.0,6.0,3.0,3.0,6.0,4.0,5.0,2.0,4.0,4.0,4.0,3.0,5.0,7.0,6.0,4.0,5.0, negative
12,6.0,8.0,5.0,8.0,9.0,1.0,7.0,2.0,4.0,7.0,6.0,7.0,8.0,4.0,5.0,1.0,8.0,6.0, negative
13,3.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,6.0,1.0,2.0, negative
14,7.0,3.0,5.0,8.0,8.0,2.0,7.0,2.0,4.0,2.0,7.0,7.0,2.0,5.0,4.0,5.0,8.0,6.0, negative
15,8.0,9.0,8.0,7.0,5.0,6.0,9.0,1.0,6.0,9.0,8.0,8.0,9.0,6.0,5.0,5.0,3.0,4.0, negative
16,1.0,7.0,4.0,4.0,6.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,6.0,6.0,0.0,1.0,3.0,3.0, negative
17,1.0,1.0,0.0,0.0,4.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,8.0,6.0,0.0,0.0,1.0, negative
18,6.0,4.0,1.0,6.0,8.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,5.0,2.0,7.0,0.0,9.0,9.0, negative
19,2.0,2.0,3.0,3.0,5.0,3.0,2.0,7.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,7.0,6.0, negative
20,7.0,9.0,9.0,9.0,7.0,7.0,8.0,1.0,5.0,8.0,8.0,8.0,9.0,2.0,0.0,3.0,6.0,7.0, negative
21,1.0,6.0,5.0,4.0,6.0,5.0,2.0,6.0,2.0,6.0,3.0,3.0,5.0,4.0,1.0,2.0,5.0,6.0, negative
22,0.0,0.0,0.0,0.0,2.0,2.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,8.0,5.0,1.0,0.0,1.0, negative
23,9.0,9.0,8.0,8.0,7.0,7.0,9.0,1.0,6.0,9.0,9.0,9.0,8.0,5.0,1.0,9.0,4.0,6.0, negative
24,8.0,6.0,6.0,7.0,6.0,2.0,7.0,2.0,4.0,5.0,8.0,7.0,3.0,7.0,5.0,3.0,8.0,3.0, negative
25,0.0,1.0,1.0,1.0,1.0,3.0,2.0,7.0,2.0,1.0,3.0,2.0,3.0,8.0,7.0,8.0,1.0,2.0, negative
26,3.0,4.0,6.0,4.0,6.0,7.0,5.0,4.0,2.0,6.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0, negative
27,3.0,3.0,5.0,3.0,3.0,4.0,2.0,8.0,1.0,3.0,2.0,1.0,3.0,1.0,8.0,5.0,8.0,9.0, negative
28,8.0,6.0,7.0,6.0,8.0,5.0,5.0,4.0,3.0,6.0,3.0,5.0,6.0,2.0,9.0,3.0,7.0,7.0, negative
