,0,1,2,3,4,5,6,7,8,9,10,y
0,3.0,5.0,0.0,1.0,1.0,3.0,3.0,4.0,3.0,2.0,1.0, negative
1,2.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,2.0, negative
2,3.0,2.0,3.0,3.0,0.0,2.0,6.0,5.0,5.0,2.0,3.0, negative
3,3.0,1.0,5.0,0.0,5.0,2.0,3.0,5.0,2.0,4.0,0.0, negative
4,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,1.0,1.0, negative
5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,5.0,1.0,0.0, negative
6,4.0,3.0,1.0,0.0,1.0,1.0,6.0,4.0,3.0,1.0,1.0, negative
7,3.0,3.0,0.0,3.0,1.0,0.0,0.0,6.0,5.0,1.0,1.0, negative
8,3.0,3.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,3.0, negative
9,1.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,1.0, positive
10,0.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,9.0,1.0,8.0, positive
11,1.0,0.0,3.0,0.0,1.0,1.0,5.0,3.0,5.0,1.0,0.0, negative
12,6.0,1.0,5.0,1.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0, negative
13,2.0,3.0,0.0,2.0,1.0,0.0,0.0,4.0,5.0,0.0,3.0, negative
14,4.0,3.0,2.0,0.0,1.0,3.0,7.0,5.0,3.0,4.0,0.0, positive
15,3.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,5.0,1.0,1.0, negative
16,5.0,1.0,4.0,0.0,1.0,4.0,7.0,5.0,3.0,5.0,1.0, negative
17,3.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,5.0,1.0,1.0, negative
18,2.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0, negative
19,3.0,1.0,6.0,0.0,7.0,2.0,4.0,5.0,2.0,5.0,0.0, negative
20,4.0,3.0,0.0,0.0,1.0,1.0,6.0,4.0,3.0,1.0,1.0, negative
21,4.0,3.0,1.0,0.0,1.0,1.0,6.0,4.0,3.0,1.0,1.0, negative
22,5.0,0.0,4.0,0.0,1.0,2.0,2.0,6.0,5.0,2.0,1.0, negative
23,4.0,2.0,2.0,0.0,1.0,1.0,2.0,5.0,5.0,1.0,2.0, negative
24,3.0,3.0,0.0,1.0,1.0,1.0,1.0,5.0,6.0,1.0,1.0, negative
25,2.0,1.0,3.0,0.0,1.0,1.0,2.0,5.0,6.0,1.0,0.0, negative
26,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0, negative
27,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,8.0,2.0,9.0, negative
28,2.0,1.0,4.0,3.0,0.0,3.0,7.0,5.0,5.0,2.0,3.0, negative
29,3.0,3.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,4.0,0.0, positive
30,3.0,2.0,0.0,0.0,1.0,2.0,1.0,4.0,5.0,1.0,2.0, negative
31,2.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,6.0,1.0,1.0, negative
32,4.0,3.0,4.0,0.0,4.0,3.0,6.0,5.0,3.0,4.0,0.0, negative
33,2.0,3.0,1.0,2.0,1.0,2.0,7.0,5.0,4.0,1.0,1.0, negative
34,2.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,6.0,1.0,2.0, negative
35,4.0,1.0,4.0,0.0,1.0,5.0,9.0,5.0,2.0,4.0,0.0, negative
36,8.0,0.0,7.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,3.0, negative
37,8.0,0.0,7.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,3.0, negative
38,5.0,2.0,6.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,6.0, negative
39,3.0,2.0,2.0,0.0,0.0,3.0,3.0,4.0,4.0,0.0,2.0, negative
40,4.0,3.0,2.0,0.0,1.0,0.0,1.0,5.0,4.0,1.0,2.0, negative
41,4.0,1.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,2.0,1.0, negative
42,2.0,3.0,0.0,0.0,1.0,1.0,2.0,4.0,5.0,1.0,0.0, negative
43,3.0,3.0,1.0,0.0,1.0,1.0,4.0,4.0,3.0,0.0,0.0, negative
44,3.0,2.0,0.0,0.0,1.0,1.0,2.0,4.0,5.0,0.0,1.0, negative
45,6.0,1.0,4.0,0.0,0.0,2.0,2.0,6.0,4.0,2.0,2.0, negative
46,2.0,3.0,0.0,0.0,1.0,2.0,1.0,5.0,6.0,2.0,1.0, negative
47,2.0,3.0,0.0,0.0,1.0,2.0,1.0,5.0,6.0,2.0,1.0, negative
48,5.0,0.0,4.0,1.0,1.0,1.0,1.0,7.0,5.0,2.0,3.0, negative
49,3.0,1.0,2.0,0.0,1.0,2.0,2.0,4.0,4.0,1.0,0.0, negative
50,7.0,0.0,5.0,2.0,1.0,0.0,1.0,7.0,4.0,3.0,2.0, negative
51,7.0,0.0,5.0,2.0,1.0,0.0,1.0,7.0,4.0,3.0,2.0, negative
52,4.0,2.0,0.0,1.0,1.0,2.0,2.0,5.0,5.0,3.0,3.0, negative
53,4.0,2.0,0.0,1.0,1.0,2.0,2.0,5.0,5.0,3.0,3.0, negative
54,2.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,5.0,1.0,2.0, negative
55,2.0,3.0,0.0,0.0,1.0,0.0,1.0,6.0,8.0,2.0,1.0, negative
56,6.0,2.0,4.0,1.0,0.0,0.0,1.0,7.0,3.0,1.0,0.0, negative
57,3.0,1.0,2.0,1.0,1.0,3.0,4.0,4.0,5.0,2.0,4.0, negative
58,7.0,2.0,6.0,1.0,1.0,0.0,0.0,5.0,2.0,2.0,5.0, negative
59,6.0,1.0,6.0,1.0,1.0,1.0,2.0,5.0,4.0,1.0,7.0, negative
60,6.0,1.0,4.0,0.0,1.0,0.0,0.0,5.0,4.0,2.0,1.0, negative
61,6.0,1.0,4.0,0.0,1.0,0.0,0.0,5.0,4.0,2.0,1.0, negative
62,2.0,4.0,0.0,1.0,1.0,2.0,1.0,3.0,7.0,3.0,6.0, negative
63,9.0,2.0,6.0,1.0,1.0,0.0,0.0,6.0,2.0,3.0,6.0, negative
64,4.0,4.0,0.0,1.0,1.0,1.0,1.0,6.0,5.0,3.0,0.0, negative
65,7.0,1.0,5.0,1.0,1.0,3.0,3.0,7.0,4.0,3.0,4.0, negative
66,6.0,1.0,6.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,5.0, negative
67,8.0,1.0,6.0,1.0,1.0,1.0,2.0,8.0,3.0,2.0,1.0, negative
68,7.0,2.0,6.0,1.0,1.0,0.0,2.0,6.0,2.0,1.0,2.0, negative
69,4.0,0.0,4.0,0.0,1.0,1.0,1.0,5.0,4.0,2.0,0.0, negative
70,3.0,2.0,2.0,0.0,1.0,3.0,2.0,5.0,5.0,2.0,0.0, negative
71,4.0,3.0,1.0,0.0,1.0,2.0,2.0,5.0,4.0,1.0,1.0, negative
72,1.0,4.0,0.0,0.0,0.0,1.0,5.0,1.0,7.0,2.0,7.0, negative
73,7.0,2.0,5.0,1.0,1.0,1.0,2.0,6.0,3.0,1.0,4.0, negative
74,2.0,3.0,0.0,4.0,1.0,9.0,7.0,6.0,6.0,1.0,1.0, negative
75,3.0,3.0,0.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,0.0, negative
76,8.0,1.0,6.0,1.0,1.0,1.0,1.0,7.0,3.0,1.0,3.0, negative
77,6.0,1.0,5.0,1.0,2.0,0.0,0.0,5.0,3.0,2.0,4.0, negative
78,8.0,2.0,4.0,2.0,0.0,3.0,2.0,5.0,2.0,1.0,1.0, positive
79,4.0,1.0,3.0,1.0,1.0,3.0,5.0,6.0,5.0,1.0,1.0, negative
80,4.0,2.0,3.0,1.0,1.0,3.0,7.0,5.0,4.0,1.0,1.0, negative
81,2.0,2.0,1.0,0.0,1.0,4.0,7.0,4.0,6.0,0.0,3.0, negative
82,2.0,4.0,0.0,0.0,0.0,4.0,2.0,3.0,6.0,1.0,6.0, negative
83,3.0,5.0,2.0,0.0,0.0,1.0,3.0,3.0,5.0,0.0,3.0, negative
84,1.0,3.0,0.0,0.0,0.0,2.0,2.0,3.0,6.0,0.0,4.0, negative
85,7.0,1.0,7.0,1.0,0.0,0.0,1.0,6.0,3.0,1.0,4.0, negative
86,2.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0, negative
87,7.0,1.0,6.0,0.0,0.0,0.0,1.0,6.0,2.0,2.0,4.0, negative
88,7.0,1.0,6.0,1.0,1.0,2.0,1.0,6.0,3.0,1.0,3.0, negative
89,4.0,1.0,5.0,0.0,6.0,1.0,1.0,5.0,2.0,4.0,0.0, negative
90,4.0,2.0,3.0,0.0,1.0,0.0,1.0,6.0,5.0,1.0,2.0, negative
91,5.0,0.0,4.0,1.0,1.0,1.0,1.0,7.0,6.0,3.0,1.0, negative
92,6.0,2.0,4.0,0.0,0.0,2.0,2.0,5.0,3.0,2.0,5.0, negative
93,6.0,1.0,5.0,0.0,2.0,0.0,0.0,6.0,2.0,4.0,0.0, negative
94,6.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0, negative
95,6.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0, negative
96,5.0,4.0,2.0,1.0,1.0,3.0,3.0,6.0,4.0,2.0,3.0, negative
97,2.0,1.0,3.0,1.0,1.0,5.0,6.0,4.0,5.0,2.0,4.0, negative
98,6.0,1.0,5.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,4.0, negative
99,4.0,3.0,3.0,1.0,1.0,3.0,4.0,7.0,6.0,2.0,5.0, negative
100,6.0,1.0,7.0,3.0,1.0,5.0,4.0,6.0,3.0,3.0,6.0, negative
101,6.0,0.0,4.0,0.0,1.0,0.0,0.0,5.0,4.0,4.0,3.0, negative
102,6.0,2.0,6.0,1.0,1.0,0.0,0.0,5.0,3.0,1.0,5.0, negative
103,6.0,2.0,4.0,2.0,1.0,1.0,0.0,7.0,2.0,1.0,5.0, negative
104,4.0,1.0,4.0,1.0,1.0,3.0,7.0,5.0,4.0,1.0,0.0, negative
105,4.0,2.0,4.0,1.0,1.0,5.0,6.0,5.0,2.0,1.0,0.0, negative
106,9.0,2.0,4.0,2.0,1.0,0.0,2.0,8.0,4.0,2.0,7.0, negative
107,4.0,3.0,2.0,1.0,3.0,0.0,0.0,6.0,5.0,1.0,0.0, negative
108,7.0,1.0,4.0,1.0,0.0,1.0,2.0,7.0,5.0,3.0,4.0, negative
109,6.0,1.0,4.0,1.0,1.0,2.0,4.0,6.0,3.0,2.0,2.0, negative
110,8.0,0.0,4.0,0.0,1.0,1.0,0.0,5.0,2.0,1.0,1.0, negative
111,7.0,1.0,4.0,1.0,1.0,7.0,4.0,7.0,4.0,2.0,3.0, negative
112,6.0,0.0,4.0,1.0,0.0,0.0,0.0,5.0,2.0,2.0,3.0, negative
113,4.0,1.0,4.0,1.0,1.0,2.0,4.0,6.0,5.0,1.0,1.0, negative
114,2.0,1.0,4.0,0.0,0.0,3.0,9.0,1.0,3.0,1.0,5.0, negative
115,9.0,2.0,5.0,0.0,0.0,1.0,1.0,7.0,3.0,1.0,0.0, negative
116,5.0,1.0,4.0,2.0,1.0,1.0,0.0,5.0,5.0,2.0,6.0, negative
117,5.0,3.0,5.0,0.0,1.0,3.0,4.0,7.0,6.0,1.0,1.0, negative
118,2.0,3.0,0.0,3.0,1.0,2.0,3.0,7.0,6.0,2.0,2.0, negative
119,3.0,3.0,2.0,0.0,1.0,2.0,5.0,4.0,4.0,1.0,0.0, negative
120,4.0,2.0,2.0,1.0,1.0,0.0,1.0,5.0,4.0,1.0,0.0, negative
121,3.0,1.0,2.0,0.0,1.0,6.0,6.0,4.0,4.0,1.0,1.0, negative
122,5.0,2.0,4.0,0.0,0.0,2.0,2.0,6.0,5.0,1.0,0.0, negative
123,3.0,3.0,1.0,3.0,1.0,0.0,0.0,6.0,5.0,2.0,2.0, negative
124,5.0,2.0,1.0,1.0,1.0,2.0,3.0,7.0,3.0,1.0,0.0, negative
125,5.0,2.0,1.0,0.0,1.0,3.0,2.0,5.0,3.0,1.0,1.0, negative
126,7.0,1.0,4.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0, negative
127,4.0,2.0,3.0,0.0,1.0,4.0,3.0,5.0,5.0,1.0,1.0, negative
128,3.0,4.0,2.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,4.0, negative
129,2.0,3.0,1.0,0.0,0.0,1.0,2.0,5.0,6.0,1.0,0.0, negative
130,3.0,1.0,4.0,0.0,2.0,0.0,0.0,5.0,4.0,4.0,0.0, negative
131,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,9.0,1.0,7.0, negative
132,2.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,2.0,1.0, negative
133,7.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,3.0, negative
134,3.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0,5.0,1.0,5.0, negative
135,5.0,0.0,4.0,0.0,0.0,1.0,1.0,6.0,4.0,1.0,2.0, negative
136,4.0,2.0,3.0,1.0,1.0,2.0,6.0,7.0,5.0,1.0,1.0, negative
137,3.0,1.0,3.0,0.0,1.0,1.0,2.0,5.0,5.0,0.0,0.0, negative
138,3.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0, negative
139,3.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0, negative
140,5.0,2.0,6.0,0.0,6.0,1.0,2.0,5.0,3.0,2.0,1.0, negative
141,3.0,5.0,1.0,0.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0, negative
142,4.0,4.0,2.0,2.0,1.0,1.0,0.0,4.0,6.0,2.0,5.0, negative
143,4.0,3.0,1.0,1.0,1.0,2.0,2.0,5.0,4.0,1.0,1.0, negative
144,4.0,3.0,1.0,1.0,1.0,2.0,2.0,5.0,4.0,1.0,1.0, negative
145,3.0,2.0,6.0,0.0,6.0,1.0,1.0,4.0,3.0,4.0,0.0, negative
146,1.0,5.0,0.0,0.0,0.0,1.0,1.0,3.0,7.0,0.0,4.0, negative
147,4.0,1.0,2.0,1.0,1.0,4.0,5.0,5.0,3.0,1.0,0.0, negative
148,5.0,3.0,2.0,0.0,1.0,0.0,1.0,5.0,4.0,0.0,1.0, negative
149,4.0,3.0,1.0,1.0,1.0,1.0,2.0,6.0,4.0,1.0,1.0, negative
150,5.0,3.0,1.0,1.0,1.0,1.0,2.0,6.0,4.0,1.0,1.0, negative
151,3.0,1.0,2.0,0.0,2.0,0.0,2.0,5.0,4.0,3.0,1.0, negative
152,2.0,4.0,1.0,1.0,3.0,0.0,2.0,4.0,5.0,1.0,2.0, negative
153,2.0,3.0,0.0,1.0,1.0,2.0,5.0,5.0,6.0,1.0,1.0, negative
154,5.0,2.0,3.0,1.0,1.0,0.0,0.0,6.0,4.0,1.0,3.0, negative
155,9.0,2.0,5.0,1.0,1.0,0.0,1.0,7.0,3.0,2.0,3.0, negative
156,6.0,1.0,3.0,1.0,1.0,2.0,2.0,5.0,4.0,2.0,3.0, negative
157,4.0,3.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,1.0,1.0, negative
158,2.0,2.0,1.0,0.0,1.0,1.0,1.0,5.0,7.0,1.0,1.0, negative
159,1.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,7.0,2.0,4.0, negative
160,1.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,7.0,2.0,4.0, negative
161,4.0,3.0,2.0,0.0,1.0,2.0,1.0,5.0,5.0,0.0,0.0, negative
162,2.0,0.0,2.0,1.0,0.0,4.0,6.0,0.0,4.0,0.0,5.0, negative
163,1.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,6.0,0.0,2.0, negative
164,1.0,3.0,2.0,0.0,1.0,1.0,1.0,5.0,7.0,1.0,1.0, negative
165,1.0,3.0,2.0,0.0,1.0,1.0,1.0,5.0,7.0,1.0,1.0, negative
166,3.0,0.0,3.0,1.0,1.0,2.0,2.0,4.0,5.0,2.0,4.0, negative
167,1.0,5.0,6.0,0.0,0.0,1.0,5.0,2.0,7.0,1.0,5.0, negative
168,2.0,3.0,0.0,1.0,1.0,1.0,5.0,5.0,6.0,1.0,1.0, negative
169,2.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,5.0,2.0,4.0, negative
170,2.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,6.0,1.0,3.0, negative
171,6.0,1.0,4.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,5.0, negative
172,4.0,0.0,4.0,1.0,1.0,0.0,0.0,4.0,4.0,2.0,5.0, negative
173,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,3.0, positive
174,4.0,0.0,2.0,1.0,3.0,1.0,1.0,3.0,4.0,2.0,6.0, negative
175,4.0,4.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,3.0, negative
176,6.0,2.0,3.0,1.0,0.0,3.0,3.0,4.0,3.0,2.0,6.0, negative
177,6.0,5.0,3.0,3.0,1.0,3.0,6.0,9.0,4.0,2.0,0.0, negative
178,2.0,3.0,0.0,0.0,1.0,2.0,5.0,5.0,6.0,1.0,1.0, negative
179,2.0,2.0,0.0,0.0,1.0,3.0,2.0,3.0,5.0,1.0,3.0, negative
180,2.0,2.0,0.0,3.0,0.0,1.0,0.0,4.0,5.0,1.0,3.0, negative
181,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,1.0,5.0, negative
182,4.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,4.0,2.0,5.0, negative
183,2.0,1.0,3.0,5.0,1.0,3.0,2.0,6.0,5.0,1.0,2.0, negative
184,5.0,1.0,3.0,0.0,1.0,1.0,1.0,5.0,4.0,1.0,3.0, negative
185,5.0,0.0,3.0,0.0,0.0,7.0,4.0,5.0,6.0,3.0,2.0, negative
186,3.0,3.0,0.0,0.0,1.0,1.0,2.0,5.0,6.0,1.0,1.0, negative
187,3.0,1.0,2.0,0.0,1.0,3.0,3.0,5.0,6.0,1.0,1.0, negative
188,5.0,1.0,5.0,0.0,1.0,1.0,1.0,3.0,5.0,2.0,6.0, negative
189,5.0,0.0,4.0,2.0,1.0,1.0,0.0,3.0,3.0,1.0,7.0, negative
190,5.0,1.0,4.0,1.0,1.0,1.0,2.0,6.0,4.0,1.0,2.0, negative
191,4.0,0.0,5.0,0.0,1.0,1.0,1.0,4.0,5.0,2.0,2.0, negative
192,4.0,1.0,5.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,4.0, negative
193,5.0,1.0,5.0,0.0,1.0,1.0,2.0,4.0,4.0,1.0,4.0, negative
194,2.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,2.0,1.0, negative
195,2.0,2.0,0.0,1.0,1.0,0.0,1.0,4.0,6.0,1.0,2.0, negative
196,6.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,3.0, negative
197,2.0,1.0,3.0,0.0,1.0,4.0,4.0,5.0,6.0,1.0,0.0, negative
198,8.0,1.0,4.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,2.0, negative
199,4.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,3.0, negative
200,5.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0, negative
201,3.0,1.0,1.0,0.0,1.0,2.0,1.0,4.0,3.0,0.0,0.0, negative
202,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,1.0,7.0, negative
203,4.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0, negative
204,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,7.0, negative
205,3.0,3.0,0.0,0.0,1.0,2.0,1.0,4.0,5.0,1.0,2.0, negative
206,3.0,0.0,3.0,0.0,0.0,4.0,6.0,0.0,1.0,0.0,7.0, negative
207,3.0,0.0,3.0,0.0,0.0,4.0,6.0,0.0,1.0,0.0,7.0, negative
208,2.0,2.0,1.0,0.0,1.0,1.0,1.0,4.0,6.0,1.0,2.0, negative
209,2.0,5.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,1.0,0.0, negative
210,4.0,2.0,2.0,0.0,1.0,2.0,2.0,5.0,5.0,2.0,4.0, negative
211,1.0,1.0,3.0,1.0,0.0,1.0,3.0,2.0,5.0,1.0,6.0, negative
212,2.0,1.0,0.0,0.0,0.0,4.0,2.0,3.0,5.0,1.0,4.0, negative
213,4.0,2.0,5.0,2.0,1.0,0.0,0.0,4.0,4.0,1.0,6.0, negative
214,4.0,2.0,5.0,2.0,1.0,0.0,0.0,4.0,4.0,1.0,6.0, negative
215,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,5.0, negative
216,3.0,4.0,2.0,4.0,1.0,4.0,5.0,6.0,3.0,1.0,0.0, negative
217,4.0,0.0,3.0,0.0,0.0,6.0,3.0,5.0,6.0,3.0,2.0, negative
218,4.0,1.0,6.0,3.0,1.0,0.0,0.0,5.0,4.0,1.0,4.0, negative
219,4.0,1.0,6.0,3.0,1.0,0.0,0.0,5.0,4.0,1.0,4.0, negative
220,6.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,5.0, negative
221,5.0,0.0,5.0,0.0,1.0,5.0,4.0,3.0,2.0,1.0,5.0, negative
222,5.0,0.0,3.0,0.0,1.0,1.0,1.0,4.0,5.0,3.0,6.0, negative
223,3.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,5.0,1.0,6.0, negative
224,1.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,6.0,1.0,4.0, negative
225,3.0,2.0,3.0,0.0,1.0,2.0,1.0,2.0,4.0,1.0,6.0, negative
226,1.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,5.0,1.0,7.0, negative
227,3.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,6.0, negative
228,3.0,4.0,1.0,1.0,1.0,0.0,0.0,6.0,5.0,0.0,1.0, negative
229,6.0,2.0,4.0,0.0,2.0,3.0,3.0,5.0,3.0,2.0,3.0, negative
230,0.0,1.0,2.0,0.0,1.0,3.0,3.0,3.0,8.0,1.0,6.0, negative
231,2.0,3.0,0.0,1.0,1.0,1.0,0.0,4.0,5.0,1.0,4.0, negative
232,6.0,1.0,3.0,0.0,1.0,2.0,1.0,4.0,3.0,1.0,4.0, negative
233,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,9.0, negative
234,3.0,1.0,3.0,0.0,1.0,2.0,2.0,2.0,5.0,3.0,9.0, negative
235,3.0,0.0,4.0,0.0,0.0,2.0,2.0,3.0,5.0,1.0,5.0, negative
236,2.0,1.0,2.0,0.0,0.0,4.0,4.0,4.0,5.0,1.0,2.0, negative
