,0,1,2,3,4,5,6,7,8,9,10,y
0,1.0,4.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0, negative
1,2.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0, negative
2,3.0,0.0,4.0,1.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0, negative
3,2.0,0.0,4.0,1.0,4.0,3.0,4.0,3.0,0.0,4.0,0.0, negative
4,0.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,0.0, negative
5,2.0,4.0,0.0,1.0,3.0,1.0,0.0,2.0,3.0,1.0,1.0, negative
6,2.0,4.0,0.0,4.0,3.0,0.0,1.0,4.0,3.0,0.0,0.0, negative
7,2.0,4.0,1.0,3.0,3.0,0.0,0.0,3.0,4.0,1.0,2.0, negative
8,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0, negative
9,1.0,2.0,1.0,3.0,4.0,1.0,0.0,2.0,1.0,4.0,2.0, negative
10,0.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0, negative
11,0.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0, negative
12,2.0,3.0,1.0,4.0,4.0,4.0,4.0,1.0,0.0,2.0,1.0, negative
13,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,0.0,0.0, negative
14,1.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,0.0, negative
15,2.0,4.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0, negative
16,2.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0, negative
17,0.0,4.0,0.0,3.0,4.0,2.0,2.0,2.0,4.0,0.0,2.0, negative
18,0.0,0.0,4.0,1.0,1.0,3.0,4.0,2.0,4.0,3.0,1.0, negative
19,3.0,2.0,2.0,1.0,4.0,3.0,4.0,3.0,0.0,4.0,1.0, negative
20,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,0.0, negative
21,2.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0, negative
22,2.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0, negative
23,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,0.0, negative
24,2.0,1.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,0.0, negative
25,3.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,0.0,2.0,2.0, negative
26,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0, negative
27,2.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,0.0,0.0, negative
28,3.0,3.0,0.0,2.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0, negative
29,1.0,4.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0, negative
30,3.0,3.0,0.0,2.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0, negative
31,2.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,4.0,2.0, negative
32,0.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0, negative
33,2.0,4.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0, negative
34,0.0,1.0,0.0,1.0,0.0,4.0,4.0,0.0,4.0,3.0,4.0, negative
35,0.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0, negative
36,2.0,1.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,1.0,2.0, negative
37,0.0,4.0,1.0,1.0,2.0,3.0,4.0,2.0,4.0,1.0,0.0, negative
38,0.0,4.0,0.0,2.0,3.0,2.0,3.0,1.0,4.0,0.0,2.0, negative
39,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0, negative
40,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0, negative
41,1.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,4.0,1.0,2.0, negative
42,0.0,4.0,1.0,1.0,2.0,1.0,4.0,3.0,4.0,1.0,0.0, negative
43,0.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,1.0,1.0, negative
44,4.0,0.0,4.0,1.0,1.0,2.0,1.0,3.0,0.0,4.0,1.0, negative
45,0.0,4.0,1.0,0.0,0.0,2.0,4.0,0.0,4.0,4.0,4.0, negative
46,1.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0, negative
47,4.0,0.0,4.0,3.0,4.0,1.0,2.0,4.0,1.0,3.0,2.0, negative
48,4.0,0.0,4.0,3.0,4.0,1.0,2.0,4.0,1.0,3.0,2.0, negative
49,4.0,0.0,4.0,2.0,0.0,1.0,1.0,3.0,2.0,4.0,2.0, negative
50,3.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0, negative
51,4.0,2.0,4.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0, negative
