,0,1,2,3,4,5,6,7,8,9,10,y
0,5.0,1.0,8.0,1.0,9.0,6.0,7.0,6.0,0.0,9.0,0.0, negative
1,2.0,3.0,3.0,7.0,7.0,7.0,5.0,5.0,8.0,5.0,2.0, negative
2,4.0,8.0,0.0,3.0,6.0,2.0,1.0,4.0,6.0,3.0,2.0, negative
3,4.0,8.0,0.0,9.0,7.0,1.0,1.0,8.0,7.0,1.0,1.0, negative
4,4.0,7.0,3.0,7.0,7.0,0.0,1.0,7.0,8.0,4.0,5.0, negative
5,4.0,4.0,4.0,8.0,9.0,2.0,1.0,5.0,2.0,9.0,5.0, negative
6,1.0,5.0,1.0,4.0,2.0,2.0,1.0,2.0,7.0,5.0,1.0, negative
7,4.0,5.0,3.0,8.0,9.0,9.0,8.0,2.0,1.0,5.0,3.0, negative
8,3.0,2.0,6.0,7.0,3.0,3.0,6.0,4.0,7.0,1.0,1.0, negative
9,5.0,8.0,1.0,2.0,3.0,2.0,2.0,4.0,5.0,9.0,5.0, negative
10,4.0,8.0,2.0,2.0,4.0,5.0,3.0,5.0,5.0,1.0,1.0, negative
11,0.0,0.0,8.0,1.0,2.0,6.0,8.0,3.0,8.0,8.0,4.0, negative
12,6.0,4.0,5.0,2.0,9.0,7.0,9.0,6.0,0.0,9.0,2.0, negative
13,0.0,7.0,3.0,6.0,0.0,6.0,9.0,0.0,9.0,4.0,9.0, negative
14,5.0,6.0,3.0,2.0,5.0,4.0,5.0,6.0,4.0,3.0,0.0, negative
15,4.0,5.0,5.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0, negative
16,5.0,6.0,3.0,2.0,5.0,4.0,5.0,6.0,4.0,3.0,0.0, negative
17,5.0,1.0,9.0,7.0,7.0,6.0,9.0,7.0,6.0,8.0,1.0, negative
18,8.0,1.0,7.0,6.0,5.0,7.0,6.0,8.0,5.0,6.0,2.0, negative
19,7.0,3.0,6.0,5.0,7.0,4.0,8.0,5.0,0.0,5.0,5.0, negative
20,6.0,6.0,5.0,2.0,4.0,4.0,5.0,7.0,7.0,4.0,3.0, negative
21,6.0,6.0,1.0,5.0,9.0,5.0,7.0,4.0,2.0,4.0,6.0, negative
22,2.0,8.0,2.0,1.0,8.0,7.0,9.0,3.0,5.0,1.0,0.0, negative
23,6.0,6.0,1.0,5.0,9.0,5.0,7.0,4.0,2.0,4.0,6.0, negative
24,5.0,9.0,1.0,5.0,6.0,4.0,4.0,3.0,2.0,1.0,2.0, negative
25,0.0,1.0,0.0,1.0,0.0,8.0,8.0,0.0,9.0,8.0,9.0, negative
