,0,1,2,3,4,5,6,7,8,9,10,y
0,6.0,1.0,7.0,0.0,1.0,2.0,3.0,5.0,2.0,1.0,2.0, negative
1,3.0,1.0,6.0,0.0,8.0,2.0,3.0,5.0,1.0,4.0,1.0, negative
2,4.0,0.0,6.0,0.0,1.0,3.0,3.0,4.0,4.0,0.0,1.0, negative
3,2.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,2.0, negative
4,3.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,2.0, negative
5,2.0,6.0,0.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,3.0, negative
6,2.0,5.0,1.0,6.0,1.0,5.0,4.0,6.0,5.0,0.0,1.0, negative
7,3.0,5.0,0.0,3.0,1.0,0.0,0.0,6.0,4.0,0.0,2.0, negative
8,3.0,5.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,1.0,4.0, negative
9,2.0,3.0,2.0,1.0,7.0,0.0,0.0,4.0,3.0,3.0,3.0, negative
10,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0, negative
11,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0, negative
12,3.0,4.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0,1.0,3.0, negative
13,2.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,4.0,0.0,1.0, negative
14,3.0,6.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,3.0,3.0, negative
15,2.0,7.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,0.0,4.0, negative
16,1.0,1.0,6.0,0.0,0.0,2.0,3.0,4.0,5.0,2.0,3.0, negative
17,4.0,3.0,3.0,0.0,1.0,2.0,8.0,5.0,0.0,9.0,2.0, negative
18,4.0,3.0,3.0,0.0,1.0,2.0,8.0,5.0,0.0,9.0,2.0, negative
19,0.0,5.0,2.0,0.0,0.0,2.0,6.0,2.0,8.0,1.0,8.0, negative
20,3.0,4.0,2.0,0.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0, negative
21,3.0,5.0,3.0,0.0,1.0,1.0,2.0,5.0,4.0,1.0,3.0, negative
22,3.0,3.0,3.0,0.0,1.0,0.0,1.0,4.0,3.0,1.0,3.0, negative
23,3.0,4.0,2.0,0.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0, negative
24,4.0,2.0,3.0,0.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0, negative
25,3.0,4.0,3.0,0.0,1.0,1.0,2.0,5.0,4.0,1.0,2.0, negative
26,3.0,4.0,1.0,0.0,1.0,0.0,1.0,5.0,4.0,0.0,1.0, negative
27,4.0,4.0,0.0,0.0,2.0,1.0,3.0,4.0,3.0,1.0,4.0, negative
28,2.0,6.0,1.0,0.0,1.0,2.0,5.0,4.0,4.0,0.0,1.0, negative
29,4.0,4.0,0.0,0.0,2.0,1.0,3.0,4.0,3.0,1.0,4.0, negative
30,1.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,1.0,2.0, negative
31,0.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,7.0,2.0,9.0, negative
32,0.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,7.0,2.0,9.0, negative
33,2.0,3.0,1.0,0.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0, negative
34,3.0,2.0,5.0,1.0,1.0,1.0,2.0,5.0,5.0,1.0,3.0, negative
35,2.0,1.0,6.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,3.0, negative
36,3.0,4.0,0.0,0.0,1.0,2.0,1.0,4.0,4.0,1.0,2.0, negative
37,2.0,5.0,0.0,0.0,1.0,1.0,2.0,3.0,5.0,0.0,3.0, negative
38,3.0,3.0,2.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,1.0, negative
39,3.0,3.0,2.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,1.0, negative
40,2.0,5.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,1.0,5.0, negative
41,2.0,4.0,5.0,0.0,1.0,0.0,2.0,5.0,6.0,1.0,3.0, negative
42,2.0,5.0,2.0,0.0,1.0,0.0,3.0,5.0,5.0,1.0,1.0, negative
43,1.0,2.0,3.0,0.0,1.0,2.0,2.0,5.0,6.0,1.0,2.0, negative
44,7.0,1.0,7.0,0.0,0.0,1.0,1.0,5.0,2.0,3.0,3.0, negative
45,5.0,4.0,7.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,7.0, negative
46,3.0,6.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,2.0,2.0, negative
47,4.0,5.0,3.0,0.0,1.0,0.0,1.0,5.0,3.0,1.0,2.0, negative
48,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,4.0,1.0,3.0, negative
49,4.0,5.0,6.0,0.0,7.0,3.0,4.0,4.0,1.0,7.0,1.0, negative
50,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,4.0,1.0,3.0, negative
51,3.0,2.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,0.0,2.0, negative
52,2.0,5.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0, negative
53,2.0,5.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0, negative
54,3.0,9.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0, negative
55,7.0,2.0,7.0,0.0,1.0,0.0,1.0,6.0,2.0,2.0,4.0, negative
56,3.0,4.0,1.0,0.0,1.0,3.0,6.0,4.0,1.0,0.0,2.0, negative
57,2.0,5.0,0.0,0.0,1.0,0.0,1.0,6.0,6.0,3.0,2.0, negative
58,3.0,4.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,0.0,2.0, negative
59,6.0,1.0,5.0,0.0,0.0,2.0,1.0,6.0,3.0,2.0,2.0, negative
60,2.0,5.0,0.0,0.0,1.0,2.0,1.0,5.0,5.0,1.0,2.0, negative
61,2.0,5.0,0.0,0.0,1.0,2.0,1.0,5.0,5.0,1.0,2.0, negative
62,2.0,4.0,0.0,1.0,1.0,0.0,1.0,6.0,7.0,3.0,1.0, negative
63,7.0,0.0,6.0,2.0,1.0,0.0,1.0,7.0,3.0,3.0,3.0, negative
64,3.0,4.0,0.0,2.0,1.0,3.0,3.0,4.0,4.0,1.0,4.0, negative
65,7.0,0.0,6.0,2.0,1.0,0.0,1.0,7.0,3.0,3.0,3.0, negative
66,3.0,4.0,0.0,2.0,1.0,3.0,3.0,4.0,4.0,1.0,4.0, negative
67,6.0,1.0,5.0,1.0,0.0,0.0,0.0,6.0,2.0,2.0,1.0, negative
68,7.0,3.0,7.0,0.0,1.0,3.0,2.0,7.0,2.0,2.0,3.0, negative
69,2.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,1.0,3.0, negative
70,5.0,4.0,2.0,1.0,1.0,2.0,2.0,6.0,3.0,1.0,3.0, negative
71,2.0,2.0,3.0,1.0,1.0,0.0,0.0,4.0,4.0,1.0,3.0, negative
72,8.0,2.0,6.0,1.0,1.0,2.0,2.0,8.0,1.0,2.0,1.0, negative
73,2.0,4.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0, negative
