,0,1,2,3,4,5,6,7,8,9,10,y
0,7.0,1.0,3.0,1.0,0.0,0.0,2.0,4.0,3.0,4.0,2.0, negative
1,6.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,4.0, negative
2,3.0,2.0,1.0,3.0,0.0,2.0,3.0,5.0,4.0,3.0,2.0, negative
3,5.0,7.0,1.0,0.0,2.0,1.0,5.0,4.0,2.0,3.0,1.0, negative
4,4.0,2.0,4.0,0.0,2.0,1.0,3.0,1.0,3.0,2.0,8.0, negative
5,3.0,4.0,2.0,2.0,1.0,1.0,4.0,3.0,4.0,1.0,3.0, negative
6,4.0,1.0,3.0,7.0,1.0,3.0,4.0,8.0,4.0,1.0,0.0, negative
7,4.0,0.0,3.0,1.0,2.0,2.0,4.0,5.0,5.0,3.0,2.0, negative
8,2.0,3.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,4.0,1.0, negative
9,3.0,1.0,1.0,0.0,0.0,6.0,5.0,2.0,3.0,2.0,2.0, negative
10,5.0,1.0,2.0,4.0,1.0,1.0,2.0,6.0,3.0,1.0,2.0, negative
11,3.0,2.0,2.0,1.0,1.0,4.0,8.0,5.0,5.0,5.0,2.0, negative
12,2.0,2.0,2.0,1.0,1.0,2.0,6.0,6.0,8.0,7.0,3.0, negative
13,5.0,1.0,2.0,4.0,1.0,1.0,2.0,6.0,3.0,1.0,2.0, negative
14,5.0,0.0,2.0,3.0,1.0,1.0,2.0,5.0,1.0,4.0,1.0, negative
15,3.0,6.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0, negative
16,4.0,3.0,1.0,2.0,1.0,3.0,5.0,4.0,3.0,2.0,3.0, negative
17,4.0,4.0,6.0,5.0,1.0,4.0,4.0,7.0,3.0,2.0,0.0, negative
18,4.0,4.0,6.0,5.0,1.0,4.0,4.0,7.0,3.0,2.0,0.0, negative
19,2.0,2.0,4.0,3.0,1.0,5.0,8.0,5.0,3.0,3.0,1.0, negative
20,5.0,1.0,3.0,5.0,1.0,4.0,6.0,7.0,1.0,2.0,1.0, negative
21,4.0,0.0,3.0,4.0,1.0,5.0,5.0,6.0,6.0,2.0,1.0, negative
22,2.0,1.0,2.0,5.0,1.0,4.0,5.0,6.0,5.0,1.0,1.0, negative
23,5.0,2.0,3.0,8.0,1.0,3.0,5.0,8.0,1.0,3.0,1.0, negative
24,5.0,1.0,3.0,5.0,1.0,4.0,6.0,7.0,1.0,2.0,1.0, negative
25,4.0,0.0,3.0,4.0,1.0,5.0,5.0,6.0,6.0,2.0,1.0, negative
26,4.0,3.0,2.0,0.0,1.0,2.0,6.0,3.0,4.0,5.0,3.0, negative
27,4.0,2.0,4.0,8.0,1.0,3.0,8.0,8.0,2.0,4.0,0.0, negative
28,3.0,4.0,3.0,3.0,1.0,2.0,4.0,6.0,4.0,3.0,1.0, negative
29,4.0,2.0,5.0,5.0,1.0,5.0,6.0,7.0,1.0,3.0,1.0, negative
30,4.0,3.0,4.0,5.0,1.0,4.0,6.0,7.0,2.0,3.0,1.0, negative
31,5.0,1.0,3.0,5.0,1.0,3.0,4.0,7.0,1.0,4.0,0.0, negative
32,5.0,0.0,3.0,2.0,1.0,2.0,3.0,5.0,5.0,1.0,2.0, negative
33,5.0,4.0,2.0,2.0,0.0,2.0,3.0,4.0,3.0,2.0,4.0, negative
34,1.0,2.0,2.0,4.0,0.0,0.0,0.0,4.0,6.0,1.0,4.0, negative
35,3.0,4.0,3.0,5.0,0.0,4.0,8.0,7.0,4.0,4.0,1.0, negative
36,3.0,1.0,2.0,6.0,0.0,3.0,6.0,7.0,4.0,3.0,1.0, negative
