,0,1,2,3,4,5,6,7,8,9,10,y
0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,4.0, negative
1,4.0,4.0,4.0,4.0,1.0,3.0,3.0,4.0,0.0,4.0,2.0, negative
2,4.0,4.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,3.0,1.0, negative
3,0.0,2.0,0.0,4.0,1.0,1.0,3.0,3.0,4.0,0.0,3.0, negative
4,3.0,2.0,3.0,1.0,4.0,1.0,1.0,0.0,3.0,1.0,4.0, negative
5,1.0,4.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,0.0,3.0, negative
6,3.0,1.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,0.0,0.0, negative
7,0.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0, negative
8,2.0,0.0,3.0,1.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0, negative
9,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0, negative
10,3.0,1.0,2.0,3.0,3.0,1.0,0.0,3.0,1.0,0.0,2.0, negative
11,2.0,2.0,1.0,1.0,4.0,3.0,4.0,2.0,4.0,4.0,2.0, negative
12,3.0,1.0,2.0,3.0,3.0,1.0,0.0,3.0,1.0,0.0,2.0, negative
13,3.0,0.0,2.0,3.0,4.0,1.0,0.0,3.0,0.0,4.0,1.0, negative
14,2.0,4.0,1.0,2.0,4.0,1.0,0.0,2.0,4.0,0.0,0.0, negative
15,3.0,3.0,0.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,3.0, negative
16,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,1.0,2.0,0.0, negative
17,0.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,0.0, negative
18,3.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,0.0,1.0,1.0, negative
19,3.0,0.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,1.0,2.0, negative
20,3.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,0.0,2.0,0.0, negative
21,3.0,0.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,1.0,2.0, negative
22,2.0,3.0,1.0,0.0,3.0,2.0,3.0,0.0,4.0,4.0,3.0, negative
23,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,2.0,1.0, negative
24,2.0,4.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0, negative
25,2.0,4.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0, negative
26,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,2.0,1.0, negative
27,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,3.0,1.0, negative
28,0.0,4.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,3.0,3.0, negative
29,4.0,1.0,2.0,3.0,3.0,3.0,1.0,4.0,0.0,3.0,0.0, negative
30,3.0,0.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,0.0,2.0, negative
31,3.0,4.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,4.0, negative
32,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0, negative
33,1.0,4.0,3.0,4.0,0.0,4.0,4.0,4.0,3.0,4.0,0.0, negative
34,1.0,1.0,1.0,4.0,0.0,3.0,4.0,4.0,3.0,3.0,1.0, negative
35,2.0,2.0,2.0,4.0,0.0,3.0,3.0,4.0,3.0,4.0,2.0, negative
36,3.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0, negative
37,1.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,3.0, negative
38,3.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0, negative
39,3.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,3.0, negative
40,1.0,4.0,2.0,1.0,2.0,0.0,0.0,1.0,4.0,0.0,4.0, negative
41,2.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0, negative
42,2.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0, negative
43,3.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0, negative
44,4.0,4.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0, negative
45,3.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,1.0,4.0,3.0, negative
46,0.0,1.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,0.0,2.0, negative
47,3.0,3.0,0.0,0.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0, negative
48,2.0,1.0,4.0,3.0,1.0,4.0,4.0,3.0,0.0,4.0,1.0, negative
49,2.0,2.0,4.0,3.0,1.0,4.0,4.0,3.0,0.0,4.0,1.0, negative
50,0.0,2.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0,3.0,4.0, negative
51,1.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0, negative
52,1.0,2.0,4.0,1.0,4.0,4.0,3.0,1.0,0.0,1.0,1.0, negative
53,1.0,2.0,4.0,1.0,4.0,4.0,3.0,1.0,0.0,0.0,1.0, negative
54,2.0,1.0,1.0,2.0,3.0,4.0,4.0,3.0,1.0,2.0,0.0, negative
55,3.0,3.0,1.0,4.0,3.0,3.0,4.0,4.0,1.0,3.0,0.0, negative
56,2.0,1.0,1.0,2.0,3.0,4.0,4.0,3.0,1.0,2.0,0.0, negative
57,3.0,3.0,1.0,4.0,3.0,3.0,4.0,4.0,1.0,3.0,0.0, negative
58,1.0,0.0,4.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,0.0, negative
59,2.0,0.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,0.0,1.0, negative
60,2.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,4.0,3.0, negative
