,0,1,2,3,4,5,6,7,8,9,10,y
0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0, negative
1,3.0,0.0,1.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0, negative
2,2.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0, negative
3,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0, negative
4,3.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0, negative
5,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0, negative
6,2.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,3.0, negative
7,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0, negative
8,3.0,0.0,2.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0, negative
9,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0, negative
10,2.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,0.0, negative
11,1.0,1.0,4.0,0.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0, negative
12,2.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,0.0, negative
13,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0, negative
14,4.0,0.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,2.0, negative
15,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,3.0, negative
16,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,3.0, negative
17,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0, negative
18,1.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,2.0, negative
19,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0, negative
20,2.0,1.0,4.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0, negative
21,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0, negative
22,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0, negative
23,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0, negative
24,2.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0, negative
25,3.0,0.0,2.0,3.0,2.0,2.0,4.0,4.0,0.0,1.0,0.0, negative
26,3.0,0.0,2.0,3.0,2.0,2.0,4.0,4.0,0.0,1.0,0.0, negative
27,3.0,0.0,2.0,3.0,2.0,2.0,4.0,4.0,0.0,1.0,0.0, negative
28,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0, negative
29,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0, negative
30,1.0,1.0,3.0,2.0,0.0,0.0,2.0,2.0,4.0,1.0,2.0, negative
31,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,2.0,1.0, negative
32,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0, negative
33,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0, negative
34,1.0,0.0,2.0,0.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0, negative
35,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0, negative
36,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0, negative
37,2.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,2.0, negative
38,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0, negative
39,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0, negative
40,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0, negative
41,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0, negative
42,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0, negative
43,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0, negative
44,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0, negative
