,0,1,2,3,4,5,6,7,8,9,10,y
0,4.0,2.0,4.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0, negative
1,0.0,3.0,0.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0, negative
2,3.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0, negative
3,3.0,2.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0, negative
4,0.0,4.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0, negative
5,1.0,1.0,2.0,4.0,2.0,4.0,4.0,3.0,1.0,3.0,0.0, negative
6,0.0,1.0,3.0,2.0,3.0,4.0,2.0,1.0,3.0,3.0,3.0, negative
7,4.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,0.0,3.0,2.0, negative
8,2.0,4.0,0.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,0.0, negative
9,0.0,0.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0, negative
10,0.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,4.0, negative
11,2.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,3.0, negative
12,2.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,1.0,4.0,3.0, negative
13,3.0,4.0,0.0,1.0,4.0,2.0,3.0,2.0,1.0,4.0,0.0, negative
14,3.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,3.0,0.0, negative
15,3.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,3.0,0.0, negative
16,3.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0, negative
17,2.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0, negative
18,3.0,4.0,0.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,0.0, negative
19,0.0,1.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,0.0, negative
20,2.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0, negative
21,2.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,0.0, negative
22,2.0,0.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0, negative
23,1.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0, negative
24,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,4.0, negative
25,4.0,0.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0, negative
26,4.0,0.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0, negative
27,2.0,4.0,2.0,2.0,2.0,1.0,0.0,3.0,4.0,3.0,1.0, negative
28,2.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,4.0,2.0,2.0, negative
29,4.0,4.0,1.0,4.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0, negative
30,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,1.0, negative
31,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0, negative
32,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0, negative
33,4.0,1.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0, negative
34,0.0,1.0,1.0,0.0,4.0,4.0,3.0,2.0,3.0,3.0,0.0, negative
