,0,1,2,3,4,5,6,7,8,9,10,y
0,4.0,3.0,4.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0, negative
1,3.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0, negative
2,1.0,2.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0, negative
3,2.0,1.0,0.0,1.0,2.0,4.0,4.0,1.0,1.0,3.0,2.0, negative
4,0.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,1.0,3.0, negative
5,4.0,0.0,4.0,1.0,3.0,1.0,1.0,2.0,0.0,4.0,3.0, negative
6,2.0,4.0,2.0,3.0,3.0,2.0,0.0,4.0,4.0,3.0,1.0, negative
7,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0, negative
8,4.0,0.0,4.0,2.0,4.0,3.0,3.0,3.0,0.0,2.0,0.0, negative
9,2.0,3.0,1.0,3.0,0.0,2.0,2.0,2.0,0.0,4.0,4.0, negative
10,4.0,2.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0, negative
11,2.0,2.0,0.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0, negative
12,0.0,3.0,2.0,4.0,4.0,1.0,2.0,2.0,1.0,0.0,2.0, negative
13,3.0,4.0,2.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0, negative
14,3.0,1.0,4.0,2.0,0.0,4.0,2.0,0.0,4.0,2.0,4.0, positive
15,4.0,3.0,2.0,1.0,3.0,0.0,4.0,3.0,1.0,2.0,1.0, negative
16,1.0,1.0,1.0,3.0,3.0,0.0,2.0,4.0,3.0,0.0,0.0, negative
17,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0, negative
18,2.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,4.0, negative
19,3.0,0.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0, negative
20,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,4.0, negative
21,1.0,1.0,1.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0, negative
22,1.0,1.0,1.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0, negative
23,3.0,2.0,1.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,1.0, negative
24,1.0,4.0,2.0,4.0,3.0,1.0,4.0,3.0,2.0,1.0,0.0, negative
25,4.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0, negative
26,0.0,0.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,1.0, negative
27,1.0,4.0,0.0,0.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0, negative
28,0.0,4.0,0.0,3.0,1.0,1.0,0.0,2.0,3.0,3.0,3.0, negative
29,3.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,1.0,4.0,3.0, negative
30,0.0,4.0,0.0,3.0,1.0,1.0,2.0,0.0,3.0,3.0,4.0, negative
31,1.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,1.0,0.0, negative
32,4.0,1.0,4.0,4.0,1.0,4.0,3.0,4.0,2.0,2.0,2.0, positive
33,1.0,3.0,2.0,1.0,0.0,3.0,1.0,0.0,4.0,4.0,4.0, positive
34,3.0,0.0,3.0,2.0,0.0,3.0,3.0,0.0,3.0,3.0,4.0, positive
35,2.0,3.0,3.0,3.0,0.0,4.0,3.0,0.0,3.0,0.0,4.0, positive
