,0,1,2,3,4,5,6,7,y
0,1.0,4.0,1.0,3.0,0.0,0.0,3.0,1.0, negative
1,4.0,4.0,2.0,0.0,0.0,0.0,3.0,1.0, negative
2,2.0,3.0,1.0,4.0,0.0,0.0,3.0,1.0, negative
3,3.0,2.0,4.0,3.0,0.0,0.0,1.0,1.0, negative
4,4.0,0.0,2.0,4.0,0.0,0.0,3.0,1.0, negative
5,4.0,4.0,4.0,2.0,0.0,0.0,1.0,1.0, negative
6,4.0,3.0,1.0,4.0,0.0,0.0,2.0,1.0, negative
7,3.0,3.0,3.0,3.0,0.0,0.0,3.0,1.0, negative
8,1.0,4.0,1.0,4.0,0.0,0.0,3.0,1.0, negative
9,1.0,0.0,2.0,4.0,0.0,0.0,4.0,1.0, negative
10,4.0,2.0,1.0,4.0,0.0,0.0,1.0,1.0, negative
11,1.0,3.0,3.0,4.0,0.0,0.0,1.0,1.0, negative
12,2.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0, negative
13,4.0,3.0,3.0,4.0,0.0,0.0,2.0,1.0, negative
14,2.0,3.0,3.0,4.0,0.0,0.0,2.0,1.0, negative
15,2.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0, negative
16,3.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0, negative
17,2.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0, negative
18,4.0,4.0,0.0,3.0,0.0,0.0,4.0,1.0, negative
19,4.0,4.0,0.0,3.0,0.0,0.0,3.0,1.0, negative
20,4.0,4.0,3.0,4.0,0.0,0.0,1.0,1.0, negative
21,2.0,2.0,4.0,4.0,0.0,0.0,1.0,1.0, negative
22,0.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0, negative
23,2.0,1.0,4.0,3.0,0.0,0.0,3.0,1.0, negative
24,4.0,4.0,0.0,3.0,0.0,0.0,2.0,1.0, negative
25,3.0,3.0,3.0,4.0,0.0,0.0,3.0,1.0, negative
26,4.0,4.0,3.0,4.0,0.0,0.0,3.0,1.0, negative
27,3.0,4.0,3.0,1.0,0.0,0.0,1.0,1.0, negative
28,2.0,4.0,1.0,4.0,0.0,0.0,3.0,1.0, negative
29,4.0,4.0,1.0,4.0,0.0,0.0,4.0,1.0, negative
30,0.0,4.0,1.0,4.0,0.0,0.0,3.0,1.0, negative
31,4.0,4.0,0.0,3.0,0.0,0.0,4.0,1.0, negative
32,3.0,2.0,2.0,4.0,0.0,0.0,4.0,1.0, negative
33,4.0,3.0,1.0,4.0,0.0,0.0,2.0,1.0, negative
34,3.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0, negative
35,4.0,4.0,0.0,3.0,0.0,0.0,4.0,2.0, negative
36,4.0,4.0,0.0,3.0,0.0,0.0,4.0,1.0, negative
37,2.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0, negative
38,3.0,3.0,1.0,3.0,0.0,0.0,3.0,1.0, negative
39,2.0,1.0,1.0,4.0,0.0,0.0,3.0,1.0, negative
40,1.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0, negative
41,4.0,4.0,0.0,2.0,0.0,0.0,2.0,1.0, negative
42,3.0,4.0,0.0,3.0,0.0,0.0,2.0,1.0, negative
43,2.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0, negative
44,2.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0, negative
45,2.0,0.0,3.0,4.0,0.0,0.0,2.0,1.0, negative
46,0.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0, negative
47,4.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0, negative
48,2.0,1.0,4.0,4.0,0.0,0.0,4.0,1.0, negative
49,3.0,1.0,2.0,3.0,0.0,0.0,3.0,1.0, negative
50,2.0,3.0,4.0,0.0,0.0,0.0,4.0,1.0, negative
51,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0, negative
52,3.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0, negative
53,1.0,3.0,4.0,2.0,0.0,0.0,4.0,1.0, negative
54,1.0,4.0,1.0,4.0,0.0,0.0,3.0,2.0, negative
55,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0, negative
56,4.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0, negative
57,3.0,4.0,2.0,4.0,0.0,0.0,3.0,1.0, negative
58,2.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0, negative
59,3.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0, negative
60,1.0,3.0,2.0,4.0,0.0,0.0,4.0,1.0, negative
61,3.0,4.0,2.0,4.0,0.0,0.0,4.0,1.0, negative
62,3.0,3.0,2.0,4.0,0.0,0.0,3.0,1.0, negative
63,1.0,3.0,3.0,4.0,0.0,0.0,3.0,1.0, negative
64,3.0,3.0,1.0,4.0,0.0,0.0,2.0,1.0, negative
65,3.0,2.0,2.0,4.0,0.0,0.0,3.0,1.0, negative
66,2.0,3.0,1.0,4.0,0.0,0.0,1.0,1.0, negative
67,1.0,4.0,3.0,4.0,0.0,0.0,1.0,1.0, negative
68,0.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0, negative
69,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0, negative
70,4.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0, negative
71,2.0,1.0,2.0,4.0,0.0,0.0,3.0,1.0, negative
72,3.0,2.0,3.0,4.0,0.0,0.0,1.0,2.0, negative
73,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0, negative
74,2.0,3.0,2.0,4.0,0.0,0.0,2.0,1.0, negative
75,3.0,4.0,3.0,1.0,0.0,0.0,2.0,1.0, negative
76,4.0,2.0,3.0,4.0,0.0,0.0,0.0,2.0, negative
77,2.0,4.0,3.0,4.0,0.0,0.0,1.0,1.0, negative
78,2.0,3.0,3.0,4.0,0.0,0.0,3.0,1.0, negative
79,4.0,4.0,0.0,3.0,0.0,0.0,1.0,1.0, negative
80,1.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0, negative
81,4.0,4.0,2.0,4.0,0.0,0.0,4.0,1.0, negative
82,0.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0, negative
83,3.0,2.0,1.0,4.0,0.0,0.0,1.0,1.0, negative
84,2.0,2.0,1.0,4.0,0.0,0.0,3.0,1.0, negative
85,1.0,2.0,4.0,4.0,0.0,0.0,1.0,1.0, negative
86,4.0,3.0,2.0,4.0,0.0,0.0,4.0,1.0, negative
87,2.0,2.0,3.0,4.0,0.0,0.0,2.0,2.0, negative
88,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0, negative
89,1.0,4.0,2.0,4.0,0.0,0.0,0.0,2.0, negative
90,4.0,3.0,1.0,3.0,0.0,0.0,2.0,1.0, negative
91,4.0,4.0,3.0,4.0,0.0,0.0,2.0,1.0, negative
92,0.0,0.0,3.0,4.0,0.0,0.0,1.0,1.0, negative
93,3.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0, negative
94,1.0,3.0,4.0,2.0,0.0,0.0,3.0,1.0, negative
95,3.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0, negative
96,2.0,1.0,4.0,3.0,0.0,0.0,1.0,1.0, negative
