,0,1,2,3,4,5,6,7,y
0,6.0,4.0,3.0,9.0,0.0,0.0,2.0,1.0, negative
1,6.0,5.0,7.0,8.0,0.0,0.0,4.0,1.0, negative
2,5.0,4.0,9.0,8.0,0.0,0.0,2.0,1.0, negative
3,5.0,5.0,7.0,9.0,0.0,0.0,6.0,1.0, negative
4,5.0,6.0,8.0,9.0,0.0,0.0,3.0,1.0, negative
5,2.0,6.0,2.0,9.0,0.0,0.0,2.0,1.0, negative
6,3.0,6.0,2.0,9.0,0.0,0.0,0.0,1.0, negative
7,6.0,7.0,3.0,6.0,0.0,0.0,2.0,1.0, negative
8,3.0,5.0,9.0,1.0,0.0,0.0,9.0,1.0, negative
9,5.0,6.0,5.0,9.0,0.0,0.0,7.0,1.0, negative
10,3.0,2.0,7.0,9.0,0.0,0.0,2.0,1.0, negative
11,5.0,3.0,5.0,9.0,0.0,0.0,6.0,1.0, negative
12,3.0,6.0,9.0,8.0,0.0,0.0,0.0,0.0, negative
13,3.0,5.0,7.0,9.0,0.0,0.0,7.0,1.0, negative
14,7.0,6.0,2.0,6.0,0.0,0.0,3.0,1.0, negative
15,1.0,1.0,5.0,3.0,0.0,0.0,9.0,1.0, negative
16,6.0,6.0,3.0,4.0,0.0,0.0,8.0,1.0, negative
17,4.0,1.0,8.0,8.0,0.0,0.0,2.0,1.0, negative
18,1.0,5.0,8.0,3.0,0.0,0.0,6.0,1.0, negative
19,4.0,4.0,9.0,7.0,0.0,0.0,4.0,1.0, negative
20,2.0,0.0,9.0,1.0,0.0,0.0,8.0,1.0, negative
21,6.0,7.0,8.0,4.0,0.0,0.0,4.0,1.0, negative
22,6.0,3.0,9.0,1.0,0.0,0.0,3.0,1.0, negative
23,1.0,5.0,7.0,8.0,0.0,0.0,5.0,1.0, negative
24,4.0,3.0,5.0,8.0,0.0,0.0,3.0,1.0, negative
25,6.0,6.0,4.0,9.0,0.0,0.0,8.0,1.0, negative
26,6.0,3.0,8.0,0.0,0.0,0.0,4.0,1.0, negative
27,8.0,7.0,2.0,1.0,0.0,0.0,9.0,1.0, negative
28,2.0,6.0,9.0,8.0,0.0,0.0,9.0,1.0, negative
29,6.0,6.0,5.0,9.0,0.0,0.0,5.0,3.0, negative
30,3.0,2.0,7.0,8.0,0.0,0.0,8.0,1.0, negative
31,7.0,5.0,3.0,7.0,0.0,0.0,5.0,1.0, negative
32,2.0,2.0,5.0,5.0,0.0,0.0,2.0,1.0, negative
33,4.0,4.0,7.0,9.0,0.0,0.0,2.0,1.0, negative
34,3.0,4.0,7.0,5.0,0.0,0.0,8.0,2.0, negative
35,3.0,5.0,7.0,8.0,0.0,0.0,7.0,1.0, negative
36,5.0,3.0,8.0,8.0,0.0,0.0,2.0,2.0, negative
37,5.0,1.0,9.0,9.0,0.0,0.0,3.0,0.0, negative
38,6.0,5.0,7.0,8.0,0.0,0.0,8.0,2.0, negative
39,4.0,2.0,6.0,6.0,0.0,0.0,8.0,3.0, negative
40,6.0,0.0,9.0,5.0,0.0,0.0,9.0,1.0, negative
41,3.0,6.0,3.0,9.0,0.0,0.0,5.0,2.0, negative
42,6.0,6.0,4.0,8.0,0.0,0.0,7.0,2.0, negative
43,5.0,6.0,8.0,7.0,0.0,0.0,3.0,1.0, negative
44,4.0,5.0,4.0,9.0,0.0,0.0,4.0,1.0, negative
45,6.0,4.0,6.0,8.0,0.0,0.0,4.0,2.0, negative
46,3.0,4.0,7.0,9.0,0.0,0.0,5.0,1.0, negative
47,4.0,1.0,8.0,2.0,0.0,0.0,3.0,1.0, negative
48,3.0,1.0,5.0,4.0,0.0,0.0,6.0,2.0, negative
49,1.0,3.0,7.0,3.0,0.0,0.0,4.0,1.0, negative
50,3.0,6.0,4.0,5.0,0.0,0.0,4.0,2.0, negative
51,1.0,1.0,9.0,4.0,0.0,0.0,8.0,3.0, negative
52,6.0,2.0,5.0,4.0,0.0,0.0,3.0,1.0, negative
53,2.0,5.0,7.0,9.0,0.0,0.0,7.0,1.0, negative
54,0.0,5.0,6.0,2.0,0.0,0.0,6.0,1.0, negative
55,6.0,4.0,6.0,6.0,0.0,0.0,8.0,1.0, negative
56,1.0,1.0,5.0,0.0,0.0,0.0,9.0,1.0, negative
57,2.0,1.0,9.0,4.0,0.0,0.0,9.0,1.0, negative
