,0,1,2,3,4,5,6,7,y
0,9.0,9.0,4.0,1.0,0.0,0.0,7.0,1.0, negative
1,2.0,3.0,3.0,9.0,0.0,0.0,2.0,1.0, negative
2,5.0,7.0,3.0,9.0,0.0,0.0,7.0,1.0, negative
3,7.0,5.0,9.0,7.0,0.0,0.0,3.0,1.0, negative
4,9.0,9.0,8.0,5.0,0.0,0.0,3.0,1.0, negative
5,6.0,6.0,2.0,9.0,0.0,0.0,6.0,1.0, negative
6,7.0,6.0,6.0,7.0,0.0,0.0,7.0,1.0, negative
7,3.0,8.0,3.0,9.0,0.0,0.0,6.0,1.0, negative
8,3.0,0.0,5.0,9.0,0.0,0.0,8.0,1.0, negative
9,8.0,5.0,2.0,9.0,0.0,0.0,2.0,1.0, negative
10,3.0,7.0,7.0,9.0,0.0,0.0,2.0,1.0, negative
11,9.0,6.0,7.0,8.0,0.0,0.0,4.0,1.0, negative
12,5.0,7.0,6.0,9.0,0.0,0.0,5.0,2.0, negative
13,4.0,3.0,7.0,8.0,0.0,0.0,7.0,1.0, negative
14,5.0,8.0,2.0,8.0,0.0,0.0,1.0,1.0, negative
15,6.0,6.0,9.0,7.0,0.0,0.0,1.0,1.0, negative
16,9.0,9.0,1.0,8.0,0.0,0.0,4.0,1.0, negative
17,4.0,1.0,3.0,5.0,0.0,0.0,6.0,2.0, negative
18,8.0,9.0,1.0,7.0,0.0,0.0,9.0,1.0, negative
19,9.0,9.0,1.0,6.0,0.0,0.0,7.0,1.0, negative
20,3.0,3.0,4.0,9.0,0.0,0.0,3.0,1.0, negative
21,1.0,6.0,3.0,5.0,0.0,0.0,0.0,1.0, negative
22,4.0,2.0,9.0,6.0,0.0,0.0,7.0,1.0, negative
23,9.0,9.0,0.0,6.0,0.0,0.0,5.0,1.0, negative
24,7.0,6.0,7.0,8.0,0.0,0.0,6.0,1.0, negative
25,8.0,9.0,7.0,2.0,0.0,0.0,2.0,1.0, negative
26,4.0,9.0,3.0,9.0,0.0,0.0,7.0,1.0, negative
27,1.0,9.0,2.0,8.0,0.0,0.0,7.0,1.0, negative
28,6.0,6.0,5.0,9.0,0.0,0.0,9.0,2.0, negative
29,9.0,7.0,2.0,9.0,0.0,0.0,5.0,1.0, negative
30,8.0,8.0,8.0,8.0,0.0,0.0,3.0,2.0, negative
31,9.0,8.0,1.0,6.0,0.0,0.0,9.0,1.0, negative
32,4.0,2.0,1.0,7.0,0.0,0.0,2.0,3.0, negative
33,7.0,8.0,2.0,7.0,0.0,0.0,6.0,1.0, negative
34,5.0,4.0,2.0,8.0,0.0,0.0,6.0,1.0, negative
35,2.0,8.0,1.0,9.0,0.0,0.0,1.0,2.0, negative
36,6.0,9.0,1.0,7.0,0.0,0.0,5.0,1.0, negative
37,5.0,8.0,2.0,9.0,0.0,0.0,0.0,1.0, negative
38,5.0,2.0,2.0,8.0,0.0,0.0,0.0,1.0, negative
39,5.0,1.0,8.0,9.0,0.0,0.0,4.0,1.0, negative
40,7.0,3.0,2.0,9.0,0.0,0.0,4.0,1.0, negative
41,9.0,9.0,2.0,6.0,0.0,0.0,1.0,1.0, negative
42,4.0,4.0,9.0,8.0,0.0,0.0,9.0,1.0, negative
43,6.0,3.0,5.0,7.0,0.0,0.0,6.0,1.0, negative
44,4.0,7.0,9.0,1.0,0.0,0.0,9.0,1.0, negative
45,2.0,7.0,3.0,1.0,0.0,0.0,2.0,1.0, negative
46,6.0,6.0,9.0,1.0,0.0,0.0,3.0,1.0, negative
47,2.0,8.0,9.0,5.0,0.0,0.0,9.0,1.0, negative
48,3.0,9.0,2.0,9.0,0.0,0.0,6.0,4.0, negative
49,0.0,1.0,9.0,0.0,0.0,0.0,1.0,1.0, negative
50,9.0,5.0,4.0,8.0,0.0,0.0,3.0,1.0, negative
51,7.0,8.0,4.0,9.0,0.0,0.0,7.0,1.0, negative
52,4.0,3.0,6.0,9.0,0.0,0.0,1.0,1.0, negative
53,7.0,6.0,8.0,6.0,0.0,0.0,2.0,1.0, negative
54,3.0,7.0,5.0,9.0,0.0,0.0,8.0,1.0, negative
55,1.0,4.0,5.0,9.0,0.0,0.0,4.0,2.0, negative
56,6.0,9.0,4.0,9.0,0.0,0.0,8.0,2.0, negative
57,6.0,7.0,4.0,8.0,0.0,0.0,6.0,1.0, negative
58,3.0,7.0,7.0,9.0,0.0,0.0,7.0,1.0, negative
