,0,1,2,3,4,5,6,7,y
0,2.0,8.0,6.0,4.0,0.0,0.0,7.0,1.0, negative
1,8.0,7.0,6.0,1.0,0.0,0.0,7.0,1.0, negative
2,2.0,2.0,6.0,8.0,0.0,0.0,2.0,1.0, negative
3,5.0,5.0,6.0,9.0,0.0,0.0,7.0,1.0, negative
4,8.0,5.0,5.0,2.0,0.0,0.0,1.0,1.0, negative
5,8.0,8.0,8.0,3.0,0.0,0.0,3.0,1.0, negative
6,5.0,4.0,4.0,9.0,0.0,0.0,6.0,1.0, negative
7,7.0,5.0,7.0,5.0,0.0,0.0,7.0,1.0, negative
8,3.0,6.0,6.0,9.0,0.0,0.0,6.0,1.0, negative
9,2.0,0.0,7.0,8.0,0.0,0.0,8.0,1.0, negative
10,7.0,3.0,4.0,9.0,0.0,0.0,1.0,1.0, negative
11,3.0,5.0,8.0,9.0,0.0,0.0,1.0,1.0, negative
12,3.0,3.0,9.0,3.0,0.0,0.0,0.0,1.0, negative
13,4.0,1.0,8.0,8.0,0.0,0.0,0.0,2.0, negative
14,8.0,5.0,8.0,6.0,0.0,0.0,4.0,1.0, negative
15,5.0,5.0,7.0,8.0,0.0,0.0,5.0,3.0, negative
16,4.0,2.0,8.0,8.0,0.0,0.0,7.0,1.0, negative
17,5.0,6.0,5.0,7.0,0.0,0.0,1.0,1.0, negative
18,5.0,5.0,9.0,9.0,0.0,0.0,9.0,1.0, negative
19,6.0,4.0,9.0,6.0,0.0,0.0,1.0,1.0, negative
20,8.0,7.0,3.0,7.0,0.0,0.0,4.0,1.0, negative
21,3.0,0.0,5.0,3.0,0.0,0.0,6.0,3.0, negative
22,8.0,9.0,3.0,5.0,0.0,0.0,9.0,1.0, negative
23,9.0,9.0,3.0,4.0,0.0,0.0,7.0,1.0, negative
24,3.0,2.0,6.0,9.0,0.0,0.0,3.0,1.0, negative
25,7.0,8.0,8.0,7.0,0.0,0.0,1.0,1.0, negative
26,4.0,3.0,8.0,8.0,0.0,0.0,2.0,1.0, negative
27,8.0,7.0,0.0,4.0,0.0,0.0,5.0,1.0, negative
28,6.0,5.0,8.0,7.0,0.0,0.0,6.0,1.0, negative
29,7.0,7.0,8.0,2.0,0.0,0.0,2.0,1.0, negative
30,3.0,8.0,6.0,8.0,0.0,0.0,7.0,1.0, negative
31,8.0,6.0,6.0,7.0,0.0,0.0,9.0,1.0, negative
32,1.0,8.0,4.0,7.0,0.0,0.0,7.0,1.0, negative
33,8.0,9.0,0.0,5.0,0.0,0.0,9.0,1.0, negative
34,6.0,4.0,7.0,8.0,0.0,0.0,9.0,3.0, negative
35,8.0,5.0,5.0,9.0,0.0,0.0,5.0,1.0, negative
36,7.0,6.0,9.0,8.0,0.0,0.0,3.0,2.0, negative
37,8.0,7.0,1.0,5.0,0.0,0.0,9.0,3.0, negative
38,8.0,7.0,2.0,5.0,0.0,0.0,9.0,1.0, negative
39,3.0,1.0,3.0,5.0,0.0,0.0,2.0,3.0, negative
40,7.0,6.0,4.0,6.0,0.0,0.0,6.0,2.0, negative
41,4.0,2.0,5.0,7.0,0.0,0.0,6.0,1.0, negative
42,7.0,7.0,1.0,3.0,0.0,0.0,5.0,1.0, negative
43,6.0,9.0,3.0,5.0,0.0,0.0,5.0,1.0, negative
44,5.0,4.0,9.0,8.0,0.0,0.0,2.0,1.0, negative
45,4.0,6.0,4.0,9.0,0.0,0.0,0.0,1.0, negative
46,5.0,1.0,4.0,8.0,0.0,0.0,0.0,1.0, negative
47,5.0,1.0,8.0,9.0,0.0,0.0,4.0,1.0, negative
48,1.0,6.0,4.0,8.0,0.0,0.0,0.0,1.0, negative
49,8.0,8.0,5.0,5.0,0.0,0.0,1.0,1.0, negative
50,6.0,2.0,7.0,5.0,0.0,0.0,6.0,1.0, negative
51,3.0,5.0,9.0,1.0,0.0,0.0,9.0,1.0, negative
52,1.0,5.0,6.0,0.0,0.0,0.0,1.0,1.0, negative
53,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0, negative
54,4.0,8.0,8.0,9.0,0.0,0.0,7.0,4.0, negative
55,8.0,3.0,6.0,7.0,0.0,0.0,3.0,1.0, negative
56,7.0,6.0,6.0,9.0,0.0,0.0,7.0,1.0, negative
57,4.0,2.0,7.0,9.0,0.0,0.0,1.0,1.0, negative
58,3.0,5.0,7.0,9.0,0.0,0.0,8.0,1.0, negative
59,6.0,5.0,6.0,7.0,0.0,0.0,6.0,1.0, negative
60,5.0,4.0,6.0,8.0,0.0,0.0,5.0,1.0, negative
61,6.0,3.0,6.0,7.0,0.0,0.0,6.0,2.0, negative
62,5.0,5.0,5.0,7.0,0.0,0.0,3.0,1.0, negative
63,3.0,6.0,7.0,9.0,0.0,0.0,1.0,2.0, negative
64,8.0,4.0,7.0,4.0,0.0,0.0,5.0,1.0, negative
65,4.0,7.0,9.0,7.0,0.0,0.0,0.0,0.0, negative
66,7.0,6.0,5.0,0.0,0.0,0.0,6.0,1.0, negative
67,3.0,1.0,6.0,7.0,0.0,0.0,7.0,1.0, negative
68,6.0,4.0,8.0,8.0,0.0,0.0,1.0,2.0, negative
69,6.0,3.0,8.0,9.0,0.0,0.0,3.0,4.0, negative
70,0.0,2.0,8.0,2.0,0.0,0.0,0.0,1.0, negative
71,6.0,7.0,8.0,2.0,0.0,0.0,4.0,1.0, negative
72,5.0,7.0,8.0,9.0,0.0,0.0,3.0,1.0, negative
73,2.0,1.0,7.0,2.0,0.0,0.0,9.0,1.0, negative
74,9.0,8.0,7.0,7.0,0.0,0.0,9.0,2.0, negative
75,7.0,3.0,6.0,7.0,0.0,0.0,9.0,1.0, negative
76,0.0,3.0,8.0,4.0,0.0,0.0,3.0,1.0, negative
77,6.0,3.0,5.0,7.0,0.0,0.0,3.0,3.0, negative
78,4.0,3.0,5.0,9.0,0.0,0.0,6.0,1.0, negative
79,3.0,3.0,9.0,9.0,0.0,0.0,2.0,1.0, negative
80,5.0,3.0,9.0,7.0,0.0,0.0,3.0,4.0, negative
81,4.0,3.0,8.0,8.0,0.0,0.0,5.0,4.0, negative
82,7.0,6.0,5.0,3.0,0.0,0.0,9.0,1.0, negative
83,3.0,9.0,5.0,9.0,0.0,0.0,8.0,4.0, negative
84,8.0,4.0,8.0,3.0,0.0,0.0,0.0,3.0, negative
85,1.0,8.0,6.0,9.0,0.0,0.0,0.0,4.0, negative
86,7.0,6.0,4.0,4.0,0.0,0.0,5.0,1.0, negative
87,7.0,7.0,8.0,6.0,0.0,0.0,4.0,1.0, negative
88,0.0,1.0,7.0,8.0,0.0,0.0,2.0,1.0, negative
89,5.0,1.0,8.0,6.0,0.0,0.0,1.0,1.0, negative
90,2.0,5.0,9.0,2.0,0.0,0.0,6.0,1.0, negative
91,7.0,1.0,9.0,5.0,0.0,0.0,2.0,0.0, negative
92,6.0,3.0,9.0,5.0,0.0,0.0,4.0,1.0, negative
93,2.0,5.0,7.0,9.0,0.0,0.0,1.0,1.0, negative
94,5.0,2.0,9.0,6.0,0.0,0.0,3.0,1.0, negative
95,7.0,4.0,9.0,6.0,0.0,0.0,6.0,1.0, negative
96,3.0,0.0,9.0,0.0,0.0,0.0,8.0,1.0, negative
97,7.0,6.0,9.0,8.0,0.0,0.0,1.0,3.0, negative
98,2.0,4.0,7.0,7.0,0.0,0.0,0.0,4.0, negative
99,3.0,1.0,9.0,6.0,0.0,0.0,9.0,0.0, negative
100,2.0,2.0,9.0,6.0,0.0,0.0,2.0,2.0, negative
101,7.0,7.0,8.0,4.0,0.0,0.0,0.0,0.0, negative
102,8.0,7.0,8.0,3.0,0.0,0.0,4.0,1.0, negative
103,6.0,3.0,9.0,8.0,0.0,0.0,1.0,3.0, negative
104,7.0,2.0,9.0,1.0,0.0,0.0,3.0,1.0, negative
105,6.0,4.0,9.0,6.0,0.0,0.0,4.0,1.0, negative
106,6.0,3.0,9.0,5.0,0.0,0.0,1.0,3.0, negative
107,8.0,2.0,7.0,6.0,0.0,0.0,5.0,1.0, negative
108,6.0,6.0,5.0,9.0,0.0,0.0,8.0,4.0, negative
109,6.0,7.0,6.0,0.0,0.0,0.0,3.0,1.0, negative
110,1.0,9.0,6.0,1.0,0.0,0.0,5.0,1.0, negative
111,5.0,5.0,7.0,7.0,0.0,0.0,7.0,4.0, negative
112,2.0,0.0,6.0,5.0,0.0,0.0,4.0,1.0, negative
113,4.0,2.0,5.0,8.0,0.0,0.0,2.0,1.0, negative
114,5.0,3.0,7.0,7.0,0.0,0.0,3.0,1.0, negative
115,8.0,6.0,6.0,4.0,0.0,0.0,9.0,1.0, negative
116,7.0,6.0,8.0,9.0,0.0,0.0,8.0,1.0, negative
117,8.0,6.0,5.0,8.0,0.0,0.0,8.0,1.0, negative
118,8.0,3.0,8.0,0.0,0.0,0.0,4.0,1.0, negative
119,6.0,5.0,8.0,6.0,0.0,0.0,2.0,1.0, negative
120,2.0,3.0,9.0,9.0,0.0,0.0,4.0,1.0, negative
121,2.0,5.0,7.0,6.0,0.0,0.0,5.0,1.0, negative
122,3.0,2.0,8.0,0.0,0.0,0.0,9.0,1.0, negative
123,5.0,2.0,8.0,7.0,0.0,0.0,7.0,1.0, negative
124,6.0,7.0,7.0,8.0,0.0,0.0,8.0,3.0, negative
125,9.0,8.0,3.0,1.0,0.0,0.0,9.0,1.0, negative
126,6.0,7.0,1.0,1.0,0.0,0.0,9.0,1.0, negative
127,2.0,3.0,9.0,3.0,0.0,0.0,6.0,1.0, negative
128,7.0,5.0,8.0,8.0,0.0,0.0,6.0,3.0, negative
129,3.0,6.0,9.0,7.0,0.0,0.0,9.0,1.0, negative
130,5.0,0.0,6.0,8.0,0.0,0.0,2.0,4.0, negative
131,9.0,6.0,4.0,6.0,0.0,0.0,0.0,3.0, negative
132,6.0,8.0,7.0,6.0,0.0,0.0,0.0,1.0, negative
133,4.0,2.0,9.0,6.0,0.0,0.0,9.0,3.0, negative
134,0.0,0.0,9.0,2.0,0.0,0.0,8.0,3.0, negative
135,7.0,2.0,9.0,3.0,0.0,0.0,3.0,1.0, negative
136,4.0,4.0,6.0,6.0,0.0,0.0,5.0,1.0, negative
137,7.0,6.0,5.0,9.0,0.0,0.0,0.0,3.0, negative
138,5.0,6.0,9.0,4.0,0.0,0.0,5.0,1.0, negative
139,7.0,7.0,7.0,9.0,0.0,0.0,5.0,4.0, negative
140,4.0,5.0,7.0,9.0,0.0,0.0,6.0,4.0, negative
141,5.0,2.0,3.0,9.0,0.0,0.0,3.0,1.0, negative
