,0,1,2,3,4,5,6,7,y
0,5.0,6.0,5.0,1.0,0.0,0.0,6.0,2.0, negative
1,5.0,6.0,7.0,2.0,0.0,0.0,5.0,2.0, negative
2,3.0,5.0,6.0,7.0,0.0,0.0,5.0,3.0, negative
3,2.0,4.0,5.0,8.0,0.0,0.0,5.0,2.0, negative
4,1.0,5.0,5.0,2.0,0.0,0.0,0.0,2.0, negative
5,5.0,6.0,1.0,3.0,0.0,0.0,5.0,2.0, negative
6,4.0,6.0,6.0,1.0,0.0,0.0,5.0,2.0, negative
7,5.0,5.0,4.0,7.0,0.0,0.0,5.0,2.0, negative
8,2.0,5.0,3.0,8.0,0.0,0.0,4.0,3.0, negative
9,3.0,5.0,7.0,6.0,0.0,0.0,5.0,2.0, negative
10,3.0,3.0,4.0,6.0,0.0,0.0,3.0,2.0, negative
11,6.0,4.0,5.0,5.0,0.0,0.0,5.0,2.0, negative
12,2.0,5.0,6.0,9.0,0.0,0.0,4.0,2.0, negative
13,3.0,6.0,8.0,5.0,0.0,0.0,2.0,0.0, negative
14,4.0,4.0,6.0,7.0,0.0,0.0,5.0,6.0, negative
15,6.0,4.0,6.0,8.0,0.0,0.0,4.0,4.0, negative
16,7.0,6.0,6.0,5.0,0.0,0.0,7.0,3.0, negative
17,4.0,4.0,4.0,5.0,0.0,0.0,5.0,3.0, negative
18,3.0,4.0,4.0,8.0,0.0,0.0,6.0,2.0, negative
19,2.0,4.0,8.0,9.0,0.0,0.0,5.0,2.0, negative
20,3.0,4.0,7.0,6.0,0.0,0.0,5.0,5.0, negative
21,2.0,7.0,5.0,8.0,0.0,0.0,6.0,6.0, negative
22,4.0,5.0,4.0,3.0,0.0,0.0,5.0,2.0, negative
23,3.0,3.0,6.0,4.0,0.0,0.0,4.0,2.0, negative
24,2.0,3.0,8.0,1.0,0.0,0.0,6.0,2.0, negative
25,2.0,5.0,6.0,5.0,0.0,0.0,3.0,4.0, negative
26,2.0,3.0,9.0,4.0,0.0,0.0,5.0,3.0, negative
27,4.0,4.0,7.0,6.0,0.0,0.0,4.0,3.0, negative
