,0,1,2,3,4,5,6,7,y
0,5.0,5.0,5.0,0.0,0.0,0.0,5.0,1.0, negative
1,3.0,6.0,5.0,2.0,0.0,0.0,6.0,1.0, negative
2,6.0,5.0,5.0,0.0,0.0,0.0,6.0,1.0, negative
3,3.0,3.0,5.0,5.0,0.0,0.0,5.0,1.0, negative
4,4.0,4.0,5.0,7.0,0.0,0.0,6.0,1.0, negative
5,5.0,4.0,8.0,3.0,0.0,0.0,5.0,1.0, negative
6,4.0,4.0,6.0,5.0,0.0,0.0,6.0,1.0, negative
7,6.0,6.0,7.0,2.0,0.0,0.0,5.0,1.0, negative
8,4.0,4.0,4.0,9.0,0.0,0.0,6.0,1.0, negative
9,5.0,4.0,4.0,4.0,0.0,0.0,5.0,1.0, negative
10,5.0,4.0,6.0,3.0,0.0,0.0,6.0,1.0, negative
11,3.0,5.0,5.0,7.0,0.0,0.0,6.0,1.0, negative
12,3.0,2.0,6.0,5.0,0.0,0.0,6.0,1.0, negative
13,5.0,4.0,4.0,6.0,0.0,0.0,4.0,1.0, negative
14,3.0,4.0,6.0,7.0,0.0,0.0,4.0,1.0, negative
15,3.0,4.0,7.0,1.0,0.0,0.0,4.0,1.0, negative
16,4.0,3.0,6.0,5.0,0.0,0.0,3.0,1.0, negative
17,6.0,4.0,6.0,4.0,0.0,0.0,5.0,1.0, negative
18,4.0,4.0,6.0,5.0,0.0,0.0,5.0,2.0, negative
19,4.0,3.0,6.0,5.0,0.0,0.0,6.0,1.0, negative
20,4.0,5.0,4.0,4.0,0.0,0.0,4.0,1.0, negative
21,4.0,4.0,8.0,3.0,0.0,0.0,4.0,1.0, negative
22,3.0,2.0,5.0,1.0,0.0,0.0,6.0,2.0, negative
23,5.0,6.0,3.0,3.0,0.0,0.0,7.0,1.0, negative
24,8.0,7.0,3.0,2.0,0.0,0.0,6.0,1.0, negative
25,3.0,3.0,5.0,6.0,0.0,0.0,5.0,1.0, negative
26,5.0,6.0,6.0,4.0,0.0,0.0,4.0,1.0, negative
27,3.0,3.0,7.0,5.0,0.0,0.0,5.0,1.0, negative
28,2.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0, negative
29,3.0,3.0,8.0,2.0,0.0,0.0,6.0,1.0, negative
30,6.0,5.0,1.0,2.0,0.0,0.0,5.0,1.0, negative
31,5.0,4.0,6.0,4.0,0.0,0.0,6.0,1.0, negative
32,5.0,5.0,6.0,1.0,0.0,0.0,5.0,1.0, negative
33,3.0,6.0,5.0,5.0,0.0,0.0,6.0,1.0, negative
34,7.0,5.0,5.0,4.0,0.0,0.0,7.0,1.0, negative
35,5.0,6.0,1.0,3.0,0.0,0.0,6.0,1.0, negative
36,4.0,4.0,5.0,5.0,0.0,0.0,6.0,2.0, negative
37,6.0,4.0,4.0,6.0,0.0,0.0,5.0,1.0, negative
38,5.0,5.0,7.0,5.0,0.0,0.0,5.0,2.0, negative
39,7.0,5.0,2.0,2.0,0.0,0.0,6.0,2.0, negative
40,7.0,5.0,3.0,2.0,0.0,0.0,7.0,1.0, negative
41,3.0,3.0,3.0,3.0,0.0,0.0,5.0,2.0, negative
42,3.0,5.0,3.0,7.0,0.0,0.0,4.0,2.0, negative
43,5.0,5.0,2.0,1.0,0.0,0.0,5.0,1.0, negative
44,4.0,4.0,7.0,5.0,0.0,0.0,5.0,1.0, negative
45,4.0,5.0,4.0,6.0,0.0,0.0,2.0,1.0, negative
46,4.0,3.0,4.0,5.0,0.0,0.0,3.0,1.0, negative
47,2.0,5.0,4.0,5.0,0.0,0.0,4.0,1.0, negative
48,5.0,3.0,4.0,5.0,0.0,0.0,5.0,1.0, negative
49,3.0,5.0,9.0,1.0,0.0,0.0,7.0,1.0, negative
50,3.0,6.0,4.0,5.0,0.0,0.0,6.0,4.0, negative
51,3.0,5.0,6.0,6.0,0.0,0.0,6.0,3.0, negative
52,7.0,4.0,5.0,4.0,0.0,0.0,5.0,1.0, negative
53,5.0,5.0,5.0,6.0,0.0,0.0,6.0,1.0, negative
54,3.0,3.0,6.0,6.0,0.0,0.0,4.0,1.0, negative
55,3.0,4.0,5.0,7.0,0.0,0.0,6.0,1.0, negative
56,2.0,3.0,6.0,8.0,0.0,0.0,5.0,2.0, negative
57,4.0,6.0,5.0,6.0,0.0,0.0,6.0,2.0, negative
58,4.0,4.0,5.0,4.0,0.0,0.0,6.0,1.0, negative
59,3.0,4.0,6.0,6.0,0.0,0.0,6.0,1.0, negative
60,4.0,4.0,5.0,5.0,0.0,0.0,5.0,1.0, negative
61,5.0,4.0,5.0,4.0,0.0,0.0,6.0,1.0, negative
62,4.0,4.0,4.0,4.0,0.0,0.0,5.0,1.0, negative
63,3.0,5.0,6.0,8.0,0.0,0.0,4.0,1.0, negative
64,6.0,4.0,6.0,2.0,0.0,0.0,5.0,1.0, negative
65,2.0,4.0,5.0,1.0,0.0,0.0,5.0,2.0, negative
66,3.0,5.0,8.0,4.0,0.0,0.0,2.0,0.0, negative
67,5.0,4.0,6.0,1.0,0.0,0.0,4.0,1.0, negative
68,5.0,5.0,4.0,0.0,0.0,0.0,6.0,1.0, negative
69,4.0,4.0,6.0,6.0,0.0,0.0,5.0,4.0, negative
70,2.0,3.0,7.0,1.0,0.0,0.0,3.0,1.0, negative
71,4.0,5.0,6.0,1.0,0.0,0.0,5.0,1.0, negative
72,6.0,4.0,6.0,7.0,0.0,0.0,4.0,2.0, negative
73,4.0,5.0,6.0,7.0,0.0,0.0,5.0,1.0, negative
74,3.0,4.0,6.0,5.0,0.0,0.0,6.0,2.0, negative
75,7.0,5.0,4.0,2.0,0.0,0.0,5.0,1.0, negative
76,3.0,3.0,5.0,1.0,0.0,0.0,7.0,1.0, negative
77,8.0,5.0,6.0,4.0,0.0,0.0,7.0,2.0, negative
78,5.0,4.0,5.0,4.0,0.0,0.0,7.0,1.0, negative
79,1.0,3.0,6.0,2.0,0.0,0.0,5.0,1.0, negative
80,4.0,3.0,4.0,4.0,0.0,0.0,5.0,2.0, negative
81,4.0,3.0,4.0,6.0,0.0,0.0,6.0,1.0, negative
82,3.0,3.0,8.0,7.0,0.0,0.0,5.0,1.0, negative
83,6.0,4.0,6.0,4.0,0.0,0.0,6.0,2.0, negative
84,4.0,4.0,7.0,4.0,0.0,0.0,5.0,3.0, negative
85,3.0,6.0,5.0,7.0,0.0,0.0,6.0,4.0, negative
86,6.0,4.0,6.0,1.0,0.0,0.0,3.0,2.0, negative
87,2.0,6.0,5.0,9.0,0.0,0.0,4.0,3.0, negative
88,5.0,5.0,4.0,2.0,0.0,0.0,5.0,1.0, negative
89,5.0,5.0,6.0,4.0,0.0,0.0,5.0,1.0, negative
90,2.0,3.0,6.0,5.0,0.0,0.0,5.0,1.0, negative
91,4.0,3.0,6.0,3.0,0.0,0.0,4.0,1.0, negative
