,0,1,2,3,4,5,6,7,y
0,2.0,2.0,4.0,1.0,0.0,0.0,4.0,1.0, negative
1,1.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
2,1.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0, negative
3,2.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
4,2.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
5,2.0,3.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
6,2.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0, negative
7,1.0,2.0,3.0,2.0,0.0,0.0,3.0,0.0, negative
8,2.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0, negative
9,1.0,2.0,3.0,2.0,0.0,0.0,4.0,1.0, negative
10,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
11,2.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
12,1.0,2.0,4.0,1.0,0.0,0.0,4.0,0.0, negative
13,2.0,2.0,4.0,1.0,0.0,0.0,3.0,1.0, negative
14,1.0,1.0,4.0,0.0,0.0,0.0,3.0,2.0, negative
15,1.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
16,1.0,1.0,3.0,1.0,0.0,0.0,3.0,2.0, negative
17,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
18,2.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
19,1.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
20,2.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
21,2.0,2.0,3.0,2.0,0.0,0.0,4.0,0.0, negative
22,3.0,3.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
23,1.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0, negative
24,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
25,3.0,3.0,3.0,3.0,0.0,0.0,3.0,1.0, negative
26,2.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
27,1.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0, negative
28,2.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0, negative
29,1.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
30,2.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0, negative
31,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0, negative
32,1.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
33,1.0,2.0,3.0,3.0,0.0,0.0,3.0,1.0, negative
34,2.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
35,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0, negative
36,0.0,1.0,4.0,1.0,0.0,0.0,2.0,1.0, negative
37,1.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
38,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
39,2.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
40,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0, negative
41,2.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
42,1.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
43,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
44,2.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
45,2.0,3.0,3.0,1.0,0.0,0.0,4.0,1.0, negative
46,2.0,1.0,2.0,4.0,0.0,0.0,3.0,3.0, negative
47,2.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0, negative
48,1.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
49,2.0,2.0,2.0,1.0,0.0,0.0,4.0,2.0, negative
50,1.0,3.0,2.0,0.0,0.0,0.0,3.0,1.0, negative
51,1.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0, negative
52,2.0,2.0,3.0,1.0,0.0,0.0,4.0,3.0, negative
53,1.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0, negative
54,2.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0, negative
55,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0, negative
56,2.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
57,0.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
58,2.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0, negative
59,1.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
60,0.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0, negative
61,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
62,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0, negative
63,1.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
64,1.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0, negative
65,2.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
66,1.0,3.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
67,2.0,2.0,2.0,3.0,0.0,0.0,3.0,3.0, negative
68,2.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0, negative
69,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
70,2.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
71,1.0,1.0,4.0,0.0,0.0,0.0,4.0,1.0, negative
72,1.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
73,1.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0, negative
74,1.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0, negative
75,2.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
76,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
77,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
78,2.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0, negative
79,1.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
80,2.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0, negative
81,1.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0, negative
82,1.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0, negative
83,1.0,2.0,3.0,2.0,0.0,0.0,3.0,0.0, negative
84,2.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0, negative
85,2.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
86,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
87,2.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
88,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0, negative
89,1.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
90,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
91,1.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
92,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0, negative
93,2.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
94,1.0,2.0,2.0,0.0,0.0,0.0,3.0,4.0, negative
95,2.0,2.0,3.0,3.0,0.0,0.0,3.0,0.0, negative
96,2.0,3.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
97,2.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0, negative
98,2.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0, negative
99,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0, negative
100,0.0,1.0,3.0,2.0,0.0,0.0,3.0,2.0, negative
101,2.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0, negative
102,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
103,3.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
104,2.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
105,1.0,2.0,4.0,1.0,0.0,0.0,3.0,1.0, negative
106,1.0,4.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
107,2.0,3.0,3.0,1.0,0.0,0.0,4.0,0.0, negative
108,1.0,1.0,4.0,0.0,0.0,0.0,3.0,1.0, negative
109,3.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0, negative
110,1.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0, negative
111,2.0,3.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
112,2.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0, negative
113,2.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0, negative
114,2.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0, negative
115,2.0,2.0,4.0,1.0,0.0,0.0,3.0,2.0, negative
116,2.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0, negative
117,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0, negative
118,2.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0, negative
119,2.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0, negative
120,1.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
121,1.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
122,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0, negative
123,2.0,3.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
124,1.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0, negative
125,1.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0, negative
126,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0, negative
127,1.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0, negative
128,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
129,1.0,0.0,3.0,1.0,0.0,0.0,4.0,2.0, negative
130,1.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
131,1.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0, negative
132,1.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0, negative
133,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0, negative
134,3.0,4.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
135,1.0,1.0,3.0,2.0,0.0,0.0,3.0,3.0, negative
136,4.0,2.0,4.0,1.0,0.0,0.0,3.0,0.0, negative
137,3.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
138,0.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0, negative
139,3.0,3.0,2.0,0.0,4.0,0.0,3.0,0.0, negative
140,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0, negative
141,1.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0, negative
142,3.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
143,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
144,2.0,2.0,2.0,2.0,0.0,0.0,3.0,1.0, negative
145,3.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0, negative
146,1.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0, negative
147,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
148,1.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
149,2.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
150,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
151,1.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0, negative
152,2.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0, negative
153,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
154,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0, negative
155,0.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
156,2.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0, negative
157,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
158,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0, negative
159,2.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0, negative
160,1.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
161,2.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0, negative
162,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
163,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
164,1.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0, negative
165,3.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0, negative
166,2.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
167,2.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0, negative
168,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0, negative
169,1.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
170,1.0,0.0,3.0,0.0,4.0,0.0,3.0,2.0, negative
171,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0, negative
172,2.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
173,1.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0, negative
174,2.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
175,1.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0, negative
176,1.0,0.0,3.0,2.0,0.0,0.0,3.0,3.0, negative
177,2.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
178,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
179,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0, negative
180,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
181,1.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0, negative
182,1.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
183,2.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
184,1.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
185,3.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
186,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
187,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0, negative
188,1.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0, negative
189,2.0,3.0,3.0,1.0,0.0,0.0,3.0,3.0, negative
190,2.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0, negative
191,2.0,1.0,4.0,0.0,0.0,0.0,3.0,1.0, negative
192,2.0,3.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
193,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
194,2.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0, negative
195,1.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0, negative
196,2.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
197,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
198,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
199,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
200,1.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0, negative
201,1.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0, negative
202,1.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0, negative
203,2.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0, negative
204,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
205,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
206,2.0,1.0,4.0,2.0,0.0,0.0,2.0,1.0, negative
207,3.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
208,1.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
209,2.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0, negative
210,2.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
211,2.0,2.0,4.0,1.0,0.0,0.0,3.0,0.0, negative
212,2.0,2.0,4.0,1.0,0.0,0.0,4.0,0.0, negative
213,1.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
214,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
215,1.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0, negative
216,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
217,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
218,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
219,2.0,2.0,4.0,1.0,0.0,0.0,3.0,0.0, negative
220,2.0,1.0,4.0,1.0,0.0,0.0,4.0,1.0, negative
221,1.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0, negative
222,1.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0, negative
223,1.0,3.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
224,2.0,3.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
225,2.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0, negative
226,1.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
227,1.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
228,2.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0, negative
229,2.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
230,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
231,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
232,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
233,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
234,1.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
235,1.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0, negative
236,1.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0, negative
237,2.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0, negative
238,1.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0, negative
239,1.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0, negative
240,0.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0, negative
241,2.0,2.0,3.0,1.0,0.0,0.0,3.0,3.0, negative
242,1.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0, negative
243,2.0,2.0,3.0,1.0,0.0,0.0,2.0,3.0, negative
244,1.0,2.0,3.0,1.0,0.0,0.0,3.0,3.0, negative
245,3.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0, negative
246,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0, negative
247,1.0,2.0,4.0,1.0,0.0,0.0,3.0,0.0, negative
248,2.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0, negative
249,2.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
250,1.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
251,2.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
252,1.0,1.0,4.0,1.0,0.0,0.0,3.0,1.0, negative
253,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
254,2.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
255,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0, negative
256,1.0,2.0,4.0,2.0,0.0,0.0,4.0,3.0, negative
257,2.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
258,3.0,2.0,4.0,1.0,0.0,0.0,3.0,0.0, negative
259,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0, negative
260,2.0,3.0,3.0,2.0,0.0,0.0,3.0,2.0, negative
261,2.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0, negative
262,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
263,2.0,3.0,2.0,1.0,0.0,0.0,4.0,0.0, negative
264,2.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
265,2.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0, negative
266,2.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0, negative
267,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
268,0.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
269,1.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0, negative
270,1.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0, negative
271,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
272,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
273,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0, negative
274,2.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
275,2.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
276,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
277,1.0,1.0,4.0,0.0,0.0,0.0,3.0,3.0, negative
278,1.0,3.0,2.0,0.0,0.0,0.0,3.0,1.0, negative
279,2.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0, negative
280,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
281,2.0,4.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
282,2.0,2.0,4.0,1.0,0.0,0.0,3.0,1.0, negative
283,3.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0, negative
284,2.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0, negative
285,1.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0, negative
286,2.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
287,2.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0, negative
288,2.0,2.0,4.0,1.0,0.0,0.0,3.0,0.0, negative
289,1.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0, negative
290,2.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
291,1.0,2.0,4.0,1.0,0.0,0.0,3.0,1.0, negative
292,2.0,1.0,2.0,1.0,0.0,0.0,4.0,2.0, negative
293,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
294,2.0,2.0,4.0,1.0,0.0,0.0,3.0,2.0, negative
295,2.0,2.0,4.0,1.0,0.0,0.0,3.0,0.0, negative
296,1.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0, negative
297,1.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0, negative
298,2.0,2.0,4.0,1.0,0.0,0.0,3.0,2.0, negative
299,1.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0, negative
300,0.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
301,0.0,1.0,2.0,0.0,0.0,0.0,4.0,3.0, negative
302,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
303,2.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
304,1.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0, negative
305,2.0,1.0,4.0,1.0,0.0,0.0,3.0,1.0, negative
306,1.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0, negative
307,1.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0, negative
308,1.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0, negative
309,1.0,2.0,4.0,1.0,0.0,0.0,3.0,0.0, negative
310,2.0,2.0,2.0,4.0,0.0,0.0,3.0,0.0, negative
311,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0, negative
312,0.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0, negative
313,2.0,2.0,1.0,2.0,0.0,0.0,3.0,2.0, negative
314,2.0,1.0,4.0,2.0,0.0,0.0,3.0,2.0, negative
315,2.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0, negative
316,1.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0, negative
317,1.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
318,2.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
319,1.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
320,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0, negative
