,0,1,2,3,4,5,6,7,y
0,5.0,4.0,9.0,5.0,0.0,0.0,8.0,4.0, negative
1,8.0,4.0,7.0,0.0,0.0,0.0,5.0,2.0, negative
2,6.0,1.0,7.0,5.0,0.0,0.0,3.0,1.0, negative
3,8.0,8.0,7.0,5.0,0.0,0.0,4.0,1.0, negative
4,1.0,7.0,5.0,9.0,0.0,0.0,5.0,1.0, negative
5,7.0,0.0,8.0,9.0,0.0,0.0,2.0,4.0, negative
6,2.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0, negative
7,5.0,3.0,5.0,8.0,0.0,0.0,6.0,5.0, negative
8,3.0,4.0,9.0,4.0,0.0,0.0,8.0,2.0, negative
9,6.0,6.0,9.0,8.0,0.0,0.0,5.0,4.0, negative
10,1.0,3.0,9.0,2.0,0.0,0.0,6.0,6.0, negative
11,4.0,6.0,2.0,6.0,0.0,0.0,5.0,1.0, negative
12,0.0,0.0,8.0,4.0,0.0,0.0,2.0,6.0, negative
13,4.0,6.0,5.0,2.0,0.0,0.0,6.0,6.0, negative
14,3.0,2.0,6.0,2.0,0.0,0.0,6.0,2.0, negative
15,8.0,6.0,6.0,9.0,0.0,0.0,7.0,2.0, negative
16,1.0,8.0,7.0,2.0,0.0,0.0,5.0,1.0, negative
17,5.0,7.0,5.0,3.0,0.0,0.0,7.0,1.0, negative
18,5.0,0.0,9.0,8.0,0.0,0.0,8.0,1.0, negative
19,8.0,5.0,5.0,9.0,0.0,0.0,8.0,1.0, negative
20,9.0,8.0,8.0,4.0,0.0,0.0,0.0,1.0, negative
21,0.0,1.0,9.0,0.0,0.0,0.0,6.0,6.0, negative
22,0.0,1.0,4.0,8.0,0.0,0.0,7.0,6.0, negative
23,2.0,9.0,3.0,2.0,0.0,0.0,7.0,2.0, negative
24,3.0,0.0,5.0,2.0,0.0,0.0,7.0,1.0, negative
25,9.0,9.0,6.0,9.0,0.0,0.0,7.0,4.0, negative
26,3.0,6.0,5.0,0.0,0.0,0.0,6.0,5.0, negative
27,8.0,6.0,6.0,4.0,0.0,0.0,8.0,1.0, negative
28,0.0,3.0,6.0,6.0,0.0,0.0,5.0,4.0, negative
29,0.0,0.0,8.0,8.0,0.0,0.0,6.0,4.0, negative
30,6.0,0.0,4.0,8.0,0.0,0.0,5.0,3.0, negative
31,8.0,7.0,3.0,0.0,0.0,0.0,5.0,1.0, negative
32,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0, negative
33,3.0,4.0,6.0,3.0,0.0,0.0,5.0,1.0, negative
34,0.0,4.0,7.0,9.0,0.0,0.0,4.0,4.0, negative
35,0.0,1.0,9.0,8.0,0.0,0.0,0.0,3.0, negative
36,1.0,2.0,9.0,6.0,0.0,0.0,2.0,4.0, negative
37,0.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0, negative
38,7.0,7.0,8.0,6.0,0.0,0.0,4.0,4.0, negative
39,2.0,0.0,4.0,2.0,0.0,0.0,5.0,1.0, negative
40,8.0,7.0,4.0,5.0,0.0,0.0,4.0,5.0, negative
41,3.0,0.0,7.0,7.0,0.0,0.0,0.0,1.0, negative
42,4.0,2.0,7.0,1.0,0.0,0.0,2.0,1.0, negative
43,6.0,6.0,6.0,0.0,0.0,0.0,2.0,1.0, negative
44,7.0,8.0,6.0,5.0,0.0,0.0,8.0,3.0, negative
45,5.0,3.0,4.0,9.0,0.0,0.0,3.0,6.0, negative
46,2.0,7.0,3.0,6.0,0.0,0.0,2.0,1.0, negative
47,7.0,4.0,3.0,8.0,0.0,0.0,8.0,6.0, negative
48,1.0,3.0,4.0,0.0,0.0,0.0,2.0,6.0, negative
49,7.0,8.0,6.0,4.0,0.0,0.0,8.0,6.0, negative
50,2.0,3.0,9.0,7.0,0.0,0.0,2.0,1.0, negative
51,8.0,8.0,6.0,2.0,0.0,0.0,0.0,5.0, negative
52,4.0,3.0,4.0,2.0,0.0,0.0,1.0,2.0, negative
53,1.0,9.0,8.0,9.0,0.0,0.0,7.0,4.0, negative
54,0.0,0.0,8.0,6.0,0.0,0.0,2.0,2.0, negative
55,8.0,7.0,9.0,1.0,0.0,0.0,6.0,2.0, negative
56,0.0,0.0,7.0,4.0,0.0,0.0,6.0,3.0, negative
57,0.0,6.0,4.0,8.0,0.0,0.0,3.0,2.0, negative
58,7.0,7.0,8.0,4.0,0.0,0.0,1.0,1.0, negative
59,0.0,2.0,3.0,0.0,0.0,0.0,7.0,2.0, negative
60,4.0,6.0,7.0,2.0,0.0,0.0,1.0,2.0, negative
61,8.0,5.0,8.0,0.0,0.0,0.0,1.0,1.0, negative
62,8.0,5.0,8.0,0.0,0.0,0.0,1.0,1.0, negative
63,8.0,5.0,3.0,9.0,0.0,0.0,7.0,6.0, negative
64,5.0,5.0,9.0,3.0,0.0,0.0,0.0,2.0, negative
65,0.0,6.0,7.0,0.0,0.0,0.0,1.0,1.0, negative
66,8.0,8.0,9.0,9.0,0.0,0.0,8.0,5.0, negative
67,5.0,8.0,8.0,2.0,0.0,0.0,6.0,2.0, negative
68,2.0,1.0,8.0,6.0,0.0,0.0,0.0,0.0, negative
69,5.0,8.0,5.0,0.0,0.0,0.0,6.0,5.0, negative
70,8.0,8.0,3.0,5.0,0.0,0.0,4.0,5.0, negative
71,6.0,5.0,8.0,6.0,0.0,0.0,4.0,2.0, negative
72,6.0,5.0,8.0,6.0,0.0,0.0,4.0,2.0, negative
