,0,1,2,3,4,5,6,y
0,5.0,2.0,7.0,1.0,0.0,7.0,0.0, negative
1,2.0,5.0,6.0,4.0,0.0,8.0,0.0, negative
2,3.0,4.0,8.0,1.0,0.0,9.0,1.0, negative
3,4.0,5.0,5.0,1.0,0.0,8.0,0.0, negative
4,6.0,6.0,7.0,1.0,0.0,6.0,0.0, negative
5,2.0,2.0,8.0,0.0,0.0,8.0,6.0, negative
6,3.0,2.0,4.0,3.0,0.0,7.0,3.0, negative
7,3.0,3.0,6.0,1.0,0.0,8.0,0.0, negative
8,6.0,6.0,7.0,1.0,0.0,8.0,2.0, negative
9,4.0,3.0,5.0,9.0,0.0,7.0,8.0, negative
10,3.0,2.0,7.0,0.0,0.0,7.0,0.0, negative
11,3.0,3.0,8.0,2.0,0.0,7.0,0.0, negative
12,2.0,1.0,6.0,1.0,0.0,8.0,1.0, negative
13,4.0,4.0,6.0,0.0,0.0,7.0,0.0, negative
14,2.0,7.0,6.0,1.0,0.0,7.0,2.0, negative
15,6.0,4.0,7.0,0.0,0.0,7.0,0.0, negative
16,3.0,6.0,6.0,2.0,0.0,7.0,4.0, negative
17,6.0,4.0,4.0,6.0,0.0,8.0,8.0, negative
18,2.0,4.0,7.0,0.0,0.0,7.0,0.0, negative
19,4.0,3.0,8.0,0.0,0.0,8.0,3.0, negative
20,3.0,0.0,9.0,3.0,0.0,7.0,0.0, negative
21,5.0,5.0,6.0,1.0,0.0,7.0,3.0, negative
22,2.0,2.0,8.0,1.0,0.0,8.0,0.0, negative
23,2.0,2.0,8.0,1.0,0.0,8.0,2.0, negative
24,2.0,1.0,8.0,4.0,0.0,8.0,1.0, negative
25,4.0,1.0,7.0,2.0,0.0,7.0,1.0, negative
26,4.0,3.0,4.0,0.0,0.0,7.0,4.0, negative
27,5.0,3.0,5.0,1.0,0.0,8.0,0.0, negative
28,2.0,2.0,6.0,2.0,0.0,8.0,1.0, negative
29,0.0,4.0,4.0,0.0,0.0,0.0,0.0, negative
30,5.0,4.0,6.0,0.0,0.0,7.0,3.0, negative
31,4.0,5.0,6.0,2.0,0.0,8.0,0.0, negative
32,7.0,5.0,5.0,1.0,0.0,8.0,2.0, negative
33,2.0,3.0,4.0,1.0,0.0,8.0,2.0, negative
