,0,1,2,3,4,5,6,y
0,3.0,2.0,4.0,2.0,0.0,4.0,3.0, negative
1,2.0,1.0,3.0,2.0,0.0,4.0,2.0, negative
2,2.0,0.0,4.0,2.0,0.0,3.0,2.0, negative
3,4.0,2.0,3.0,0.0,0.0,3.0,1.0, negative
4,3.0,0.0,3.0,2.0,0.0,2.0,1.0, negative
5,4.0,4.0,3.0,2.0,0.0,2.0,1.0, negative
6,3.0,3.0,0.0,0.0,0.0,4.0,2.0, negative
7,0.0,4.0,2.0,4.0,0.0,3.0,1.0, negative
8,3.0,0.0,4.0,4.0,0.0,1.0,3.0, negative
9,3.0,2.0,2.0,4.0,0.0,3.0,4.0, negative
10,1.0,2.0,4.0,2.0,0.0,4.0,2.0, negative
11,3.0,3.0,4.0,4.0,0.0,3.0,3.0, negative
12,3.0,0.0,3.0,3.0,0.0,1.0,4.0, negative
13,0.0,0.0,3.0,2.0,0.0,1.0,4.0, negative
14,1.0,2.0,1.0,4.0,0.0,2.0,2.0, negative
15,2.0,3.0,1.0,1.0,0.0,3.0,4.0, negative
16,1.0,1.0,2.0,1.0,0.0,3.0,2.0, negative
17,3.0,3.0,3.0,0.0,0.0,0.0,1.0, negative
18,4.0,3.0,2.0,4.0,0.0,4.0,2.0, negative
19,0.0,4.0,3.0,1.0,0.0,3.0,1.0, negative
20,3.0,3.0,1.0,1.0,0.0,4.0,1.0, negative
21,2.0,0.0,4.0,4.0,0.0,4.0,1.0, negative
22,4.0,3.0,2.0,4.0,0.0,4.0,1.0, negative
23,4.0,4.0,3.0,2.0,0.0,0.0,1.0, negative
24,0.0,0.0,4.0,0.0,0.0,3.0,4.0, negative
25,0.0,0.0,0.0,4.0,0.0,4.0,4.0, negative
26,3.0,0.0,1.0,2.0,0.0,2.0,1.0, negative
27,4.0,3.0,1.0,0.0,0.0,1.0,1.0, negative
28,1.0,1.0,0.0,4.0,0.0,1.0,3.0, negative
29,1.0,4.0,0.0,1.0,0.0,4.0,2.0, negative
30,2.0,0.0,1.0,1.0,0.0,4.0,1.0, negative
31,4.0,4.0,2.0,4.0,0.0,4.0,3.0, negative
32,3.0,2.0,2.0,1.0,0.0,1.0,2.0, negative
33,0.0,2.0,2.0,3.0,0.0,3.0,2.0, negative
34,0.0,0.0,3.0,4.0,0.0,3.0,3.0, negative
35,3.0,0.0,1.0,4.0,0.0,3.0,2.0, negative
36,4.0,3.0,1.0,1.0,0.0,0.0,1.0, negative
37,4.0,4.0,0.0,0.0,0.0,3.0,1.0, negative
38,3.0,1.0,4.0,3.0,0.0,0.0,1.0, negative
39,0.0,0.0,3.0,0.0,0.0,0.0,0.0, negative
40,1.0,2.0,2.0,1.0,0.0,3.0,1.0, negative
41,0.0,2.0,3.0,4.0,0.0,2.0,3.0, negative
42,4.0,4.0,3.0,2.0,0.0,4.0,3.0, negative
43,1.0,0.0,0.0,0.0,0.0,0.0,1.0, negative
44,4.0,2.0,3.0,1.0,0.0,2.0,1.0, negative
45,0.0,1.0,4.0,3.0,0.0,1.0,3.0, negative
46,2.0,0.0,1.0,2.0,0.0,3.0,1.0, negative
47,0.0,0.0,2.0,2.0,0.0,0.0,1.0, negative
48,2.0,1.0,3.0,0.0,0.0,1.0,1.0, negative
49,3.0,3.0,2.0,0.0,0.0,1.0,1.0, negative
50,3.0,4.0,2.0,2.0,0.0,4.0,2.0, negative
51,2.0,2.0,1.0,4.0,0.0,2.0,4.0, negative
52,1.0,3.0,0.0,3.0,0.0,1.0,1.0, negative
53,0.0,1.0,3.0,0.0,0.0,1.0,1.0, negative
54,4.0,2.0,0.0,4.0,0.0,4.0,4.0, negative
55,0.0,4.0,0.0,0.0,0.0,3.0,4.0, negative
56,0.0,2.0,1.0,0.0,0.0,1.0,4.0, negative
57,3.0,4.0,2.0,2.0,0.0,4.0,4.0, negative
58,1.0,2.0,4.0,3.0,0.0,1.0,1.0, negative
59,4.0,4.0,2.0,1.0,0.0,0.0,3.0, negative
60,2.0,2.0,1.0,1.0,0.0,0.0,2.0, negative
61,4.0,4.0,1.0,4.0,0.0,4.0,1.0, negative
62,0.0,0.0,4.0,3.0,0.0,1.0,2.0, negative
63,0.0,0.0,3.0,2.0,0.0,3.0,2.0, negative
64,0.0,3.0,0.0,4.0,0.0,2.0,2.0, negative
65,0.0,1.0,0.0,0.0,0.0,4.0,2.0, negative
66,2.0,3.0,3.0,1.0,0.0,0.0,1.0, negative
67,2.0,3.0,4.0,1.0,0.0,2.0,3.0, negative
68,0.0,4.0,2.0,1.0,0.0,1.0,3.0, negative
69,4.0,3.0,3.0,0.0,0.0,0.0,1.0, negative
70,1.0,4.0,2.0,4.0,0.0,1.0,4.0, negative
71,4.0,3.0,0.0,4.0,0.0,4.0,4.0, negative
72,2.0,3.0,4.0,1.0,0.0,0.0,1.0, negative
73,0.0,3.0,3.0,0.0,0.0,0.0,1.0, negative
74,4.0,4.0,4.0,4.0,0.0,4.0,3.0, negative
75,2.0,1.0,3.0,3.0,0.0,4.0,3.0, negative
76,2.0,1.0,4.0,0.0,0.0,4.0,3.0, negative
77,1.0,0.0,4.0,3.0,0.0,0.0,0.0, negative
78,3.0,4.0,1.0,0.0,0.0,3.0,3.0, negative
79,4.0,4.0,0.0,2.0,0.0,2.0,3.0, negative
80,1.0,0.0,4.0,4.0,0.0,1.0,1.0, negative
81,3.0,0.0,4.0,1.0,0.0,3.0,1.0, negative
82,3.0,3.0,4.0,3.0,0.0,2.0,2.0, negative
83,3.0,3.0,2.0,1.0,0.0,2.0,3.0, negative
84,0.0,4.0,0.0,3.0,0.0,1.0,3.0, negative
85,3.0,2.0,1.0,1.0,0.0,4.0,4.0, negative
86,0.0,0.0,4.0,2.0,0.0,3.0,1.0, negative
87,2.0,3.0,2.0,4.0,0.0,2.0,1.0, negative
88,0.0,0.0,4.0,1.0,0.0,3.0,2.0, negative
89,3.0,2.0,4.0,0.0,0.0,3.0,1.0, negative
90,4.0,2.0,4.0,0.0,0.0,3.0,1.0, negative
91,2.0,1.0,4.0,2.0,0.0,0.0,4.0, negative
92,3.0,2.0,1.0,4.0,0.0,1.0,3.0, negative
93,0.0,0.0,0.0,3.0,0.0,2.0,2.0, negative
94,0.0,0.0,4.0,4.0,0.0,2.0,2.0, negative
95,4.0,3.0,0.0,3.0,0.0,4.0,2.0, negative
96,4.0,3.0,1.0,1.0,0.0,3.0,1.0, negative
97,2.0,0.0,3.0,3.0,0.0,1.0,2.0, negative
98,3.0,3.0,3.0,3.0,0.0,4.0,1.0, negative
99,2.0,1.0,2.0,3.0,0.0,0.0,3.0, negative
100,2.0,1.0,0.0,0.0,0.0,2.0,3.0, negative
101,3.0,2.0,0.0,3.0,0.0,4.0,1.0, negative
102,2.0,3.0,0.0,1.0,0.0,4.0,4.0, negative
103,3.0,3.0,3.0,4.0,0.0,3.0,1.0, negative
104,4.0,4.0,3.0,2.0,0.0,1.0,3.0, negative
105,3.0,4.0,4.0,2.0,0.0,0.0,4.0, negative
106,0.0,0.0,3.0,3.0,0.0,4.0,2.0, negative
107,0.0,1.0,2.0,3.0,0.0,3.0,2.0, negative
108,3.0,3.0,2.0,2.0,0.0,0.0,4.0, negative
109,0.0,3.0,0.0,0.0,0.0,0.0,1.0, negative
110,0.0,1.0,2.0,4.0,0.0,1.0,4.0, negative
111,3.0,3.0,2.0,0.0,0.0,2.0,3.0, negative
112,2.0,4.0,2.0,3.0,0.0,3.0,1.0, negative
113,4.0,3.0,0.0,3.0,0.0,3.0,2.0, negative
114,4.0,3.0,0.0,2.0,0.0,2.0,1.0, negative
115,1.0,3.0,4.0,2.0,0.0,1.0,3.0, negative
116,2.0,4.0,3.0,2.0,0.0,1.0,3.0, negative
117,4.0,4.0,1.0,3.0,0.0,4.0,1.0, negative
118,3.0,3.0,3.0,2.0,0.0,4.0,1.0, negative
119,1.0,0.0,2.0,1.0,0.0,4.0,4.0, negative
120,2.0,1.0,4.0,0.0,0.0,0.0,4.0, negative
121,4.0,3.0,1.0,1.0,0.0,4.0,3.0, negative
122,4.0,2.0,0.0,4.0,0.0,2.0,4.0, negative
123,1.0,0.0,3.0,0.0,0.0,4.0,3.0, negative
124,0.0,2.0,0.0,2.0,0.0,4.0,3.0, negative
125,3.0,4.0,2.0,3.0,0.0,4.0,1.0, negative
126,3.0,2.0,0.0,4.0,0.0,4.0,1.0, negative
