,0,1,2,3,4,5,6,y
0,6.0,0.0,8.0,9.0,0.0,1.0,4.0, negative
1,5.0,3.0,5.0,8.0,0.0,6.0,5.0, negative
2,6.0,6.0,9.0,8.0,0.0,5.0,4.0, negative
3,3.0,2.0,6.0,3.0,0.0,6.0,3.0, negative
4,4.0,0.0,9.0,8.0,0.0,9.0,1.0, negative
5,8.0,6.0,4.0,0.0,0.0,2.0,1.0, negative
6,1.0,9.0,2.0,3.0,0.0,7.0,3.0, negative
7,3.0,0.0,4.0,2.0,0.0,7.0,1.0, negative
8,6.0,2.0,9.0,6.0,0.0,0.0,1.0, negative
9,0.0,4.0,6.0,9.0,0.0,4.0,3.0, negative
10,7.0,3.0,6.0,3.0,0.0,4.0,1.0, negative
11,3.0,0.0,4.0,5.0,0.0,5.0,1.0, negative
12,7.0,4.0,2.0,8.0,0.0,9.0,5.0, negative
13,1.0,8.0,2.0,1.0,0.0,6.0,5.0, negative
14,0.0,2.0,1.0,0.0,0.0,8.0,3.0, negative
15,5.0,8.0,4.0,0.0,0.0,6.0,5.0, negative
16,6.0,4.0,3.0,2.0,0.0,8.0,5.0, negative
17,4.0,7.0,5.0,9.0,0.0,4.0,1.0, negative
18,6.0,4.0,9.0,1.0,0.0,6.0,2.0, negative
19,0.0,1.0,0.0,7.0,0.0,4.0,3.0, negative
20,8.0,7.0,2.0,7.0,0.0,7.0,3.0, negative
21,4.0,7.0,1.0,4.0,0.0,8.0,6.0, negative
22,6.0,6.0,8.0,9.0,0.0,5.0,1.0, negative
23,8.0,9.0,7.0,5.0,0.0,2.0,3.0, negative
24,1.0,1.0,6.0,7.0,0.0,7.0,3.0, negative
25,6.0,6.0,5.0,5.0,0.0,0.0,6.0, negative
26,3.0,7.0,9.0,5.0,0.0,2.0,3.0, negative
27,2.0,0.0,6.0,3.0,0.0,7.0,5.0, negative
28,6.0,8.0,5.0,7.0,0.0,8.0,1.0, negative
29,6.0,7.0,9.0,6.0,0.0,6.0,6.0, negative
30,2.0,1.0,3.0,4.0,0.0,3.0,1.0, negative
31,1.0,4.0,5.0,4.0,0.0,9.0,0.0, negative
32,2.0,1.0,9.0,8.0,0.0,4.0,3.0, negative
33,1.0,5.0,7.0,3.0,0.0,7.0,6.0, negative
34,4.0,5.0,4.0,2.0,0.0,4.0,5.0, negative
35,4.0,3.0,8.0,9.0,0.0,7.0,6.0, negative
36,9.0,7.0,9.0,5.0,0.0,2.0,1.0, negative
37,9.0,6.0,2.0,6.0,0.0,7.0,1.0, negative
38,9.0,9.0,3.0,0.0,0.0,1.0,1.0, negative
39,2.0,3.0,3.0,0.0,0.0,3.0,6.0, negative
40,1.0,2.0,1.0,4.0,0.0,8.0,4.0, negative
41,2.0,3.0,9.0,1.0,0.0,5.0,1.0, negative
42,8.0,4.0,8.0,8.0,0.0,9.0,3.0, negative
43,3.0,5.0,6.0,6.0,0.0,0.0,6.0, negative
44,4.0,3.0,8.0,5.0,0.0,4.0,1.0, negative
45,3.0,7.0,0.0,2.0,0.0,8.0,1.0, negative
46,1.0,1.0,7.0,4.0,0.0,4.0,1.0, negative
47,0.0,0.0,2.0,8.0,0.0,1.0,1.0, negative
48,2.0,0.0,9.0,0.0,0.0,2.0,5.0, negative
49,9.0,2.0,4.0,2.0,0.0,2.0,4.0, negative
50,1.0,0.0,4.0,9.0,0.0,1.0,6.0, negative
51,6.0,6.0,5.0,5.0,0.0,5.0,1.0, negative
52,5.0,5.0,9.0,9.0,0.0,9.0,3.0, negative
53,6.0,7.0,6.0,4.0,0.0,5.0,4.0, negative
54,5.0,9.0,4.0,7.0,0.0,0.0,1.0, negative
55,7.0,7.0,5.0,3.0,0.0,3.0,4.0, negative
56,7.0,6.0,8.0,5.0,0.0,5.0,1.0, negative
57,3.0,9.0,0.0,5.0,0.0,6.0,2.0, negative
58,1.0,2.0,1.0,6.0,0.0,7.0,6.0, negative
59,7.0,6.0,9.0,7.0,0.0,6.0,1.0, negative
60,6.0,8.0,7.0,4.0,0.0,4.0,1.0, negative
61,4.0,6.0,7.0,6.0,0.0,2.0,1.0, negative
62,0.0,2.0,4.0,3.0,0.0,5.0,3.0, negative
63,2.0,0.0,5.0,2.0,0.0,9.0,2.0, negative
64,4.0,9.0,6.0,7.0,0.0,3.0,1.0, negative
65,3.0,2.0,5.0,7.0,0.0,0.0,1.0, negative
66,3.0,3.0,7.0,8.0,0.0,0.0,1.0, negative
67,1.0,5.0,7.0,6.0,0.0,1.0,6.0, negative
68,8.0,3.0,8.0,9.0,0.0,0.0,3.0, negative
69,4.0,3.0,1.0,6.0,0.0,2.0,1.0, negative
70,4.0,8.0,6.0,4.0,0.0,3.0,1.0, negative
71,8.0,6.0,1.0,5.0,0.0,1.0,3.0, negative
72,5.0,8.0,6.0,9.0,0.0,7.0,5.0, negative
73,5.0,8.0,1.0,4.0,0.0,9.0,3.0, negative
74,8.0,1.0,8.0,3.0,0.0,5.0,1.0, negative
75,5.0,0.0,0.0,8.0,0.0,0.0,4.0, negative
76,7.0,2.0,5.0,3.0,0.0,3.0,6.0, negative
77,6.0,6.0,6.0,5.0,0.0,1.0,1.0, negative
78,6.0,3.0,7.0,4.0,0.0,0.0,1.0, negative
79,3.0,4.0,1.0,2.0,0.0,7.0,5.0, negative
80,0.0,0.0,8.0,9.0,0.0,4.0,1.0, negative
81,0.0,3.0,2.0,4.0,0.0,1.0,4.0, negative
82,3.0,4.0,2.0,6.0,0.0,8.0,6.0, negative
83,8.0,4.0,1.0,8.0,0.0,6.0,4.0, negative
84,2.0,1.0,7.0,4.0,0.0,2.0,2.0, positive
85,3.0,0.0,2.0,3.0,0.0,8.0,1.0, positive
86,9.0,9.0,4.0,8.0,0.0,8.0,1.0, positive
87,8.0,7.0,6.0,9.0,0.0,8.0,1.0, positive
88,8.0,3.0,0.0,0.0,0.0,3.0,1.0, positive
89,8.0,1.0,5.0,2.0,0.0,8.0,2.0, positive
90,9.0,8.0,5.0,7.0,0.0,9.0,1.0, positive
91,9.0,9.0,6.0,7.0,0.0,9.0,5.0, positive
92,1.0,9.0,0.0,0.0,0.0,7.0,1.0, positive
93,0.0,4.0,0.0,4.0,0.0,0.0,1.0, positive
94,6.0,4.0,3.0,5.0,0.0,8.0,1.0, positive
95,9.0,9.0,8.0,7.0,0.0,9.0,3.0, positive
96,4.0,6.0,1.0,7.0,0.0,8.0,1.0, positive
97,3.0,1.0,7.0,2.0,0.0,7.0,1.0, positive
98,3.0,2.0,0.0,4.0,0.0,5.0,3.0, positive
99,9.0,9.0,2.0,1.0,0.0,9.0,5.0, positive
100,9.0,9.0,6.0,6.0,0.0,2.0,1.0, positive
101,5.0,6.0,1.0,9.0,0.0,4.0,4.0, positive
102,7.0,4.0,4.0,0.0,0.0,8.0,1.0, positive
103,1.0,6.0,5.0,4.0,0.0,6.0,1.0, positive
104,9.0,9.0,0.0,3.0,0.0,9.0,1.0, positive
105,4.0,1.0,7.0,1.0,0.0,6.0,1.0, positive
106,9.0,8.0,0.0,2.0,0.0,8.0,1.0, positive
107,8.0,8.0,7.0,2.0,0.0,8.0,1.0, positive
108,5.0,8.0,8.0,0.0,0.0,3.0,1.0, positive
109,8.0,8.0,6.0,5.0,0.0,5.0,1.0, positive
110,5.0,6.0,3.0,7.0,0.0,0.0,3.0, positive
111,7.0,7.0,0.0,2.0,0.0,6.0,1.0, positive
112,3.0,1.0,0.0,3.0,0.0,5.0,3.0, positive
113,7.0,5.0,2.0,4.0,0.0,6.0,2.0, positive
