,0,1,2,3,4,5,6,7,y
0,3.0,2.0,7.0,2.0,0.0,9.0,6.0,1.0, negative
1,2.0,1.0,8.0,2.0,0.0,0.0,9.0,2.0, negative
2,3.0,2.0,6.0,1.0,0.0,0.0,6.0,1.0, negative
3,2.0,4.0,6.0,1.0,0.0,0.0,8.0,1.0, negative
4,2.0,2.0,8.0,2.0,0.0,0.0,8.0,2.0, negative
5,5.0,4.0,7.0,3.0,0.0,0.0,4.0,1.0, negative
6,2.0,3.0,6.0,6.0,0.0,0.0,7.0,3.0, negative
7,1.0,4.0,7.0,2.0,0.0,0.0,6.0,1.0, negative
8,5.0,3.0,8.0,3.0,0.0,0.0,3.0,2.0, negative
9,1.0,4.0,6.0,3.0,0.0,0.0,7.0,2.0, negative
10,0.0,2.0,7.0,1.0,0.0,0.0,6.0,2.0, negative
11,1.0,4.0,6.0,2.0,0.0,0.0,7.0,1.0, negative
12,4.0,2.0,8.0,1.0,0.0,0.0,8.0,1.0, negative
13,4.0,2.0,8.0,3.0,0.0,0.0,3.0,1.0, negative
14,2.0,3.0,8.0,3.0,0.0,0.0,5.0,1.0, negative
15,4.0,3.0,7.0,2.0,0.0,0.0,7.0,1.0, negative
16,4.0,3.0,7.0,1.0,0.0,0.0,7.0,5.0, negative
17,4.0,4.0,4.0,1.0,0.0,0.0,7.0,1.0, negative
18,4.0,5.0,4.0,4.0,0.0,0.0,6.0,1.0, negative
19,4.0,5.0,6.0,3.0,0.0,0.0,7.0,1.0, negative
20,1.0,1.0,8.0,2.0,0.0,0.0,7.0,1.0, negative
21,3.0,3.0,8.0,2.0,0.0,0.0,6.0,2.0, negative
22,4.0,6.0,8.0,5.0,0.0,0.0,8.0,3.0, negative
23,5.0,4.0,6.0,2.0,0.0,0.0,7.0,2.0, negative
24,5.0,4.0,4.0,1.0,0.0,0.0,7.0,1.0, negative
25,2.0,3.0,6.0,2.0,0.0,0.0,7.0,5.0, negative
26,1.0,2.0,7.0,2.0,0.0,0.0,3.0,3.0, negative
27,5.0,4.0,5.0,2.0,0.0,0.0,7.0,5.0, negative
28,3.0,2.0,9.0,2.0,0.0,0.0,7.0,1.0, negative
29,3.0,1.0,4.0,2.0,0.0,0.0,5.0,2.0, negative
30,2.0,3.0,8.0,3.0,0.0,0.0,8.0,1.0, negative
31,4.0,4.0,5.0,1.0,0.0,0.0,8.0,1.0, negative
32,5.0,5.0,5.0,2.0,0.0,0.0,7.0,1.0, negative
33,4.0,2.0,5.0,3.0,0.0,0.0,8.0,1.0, negative
34,4.0,1.0,3.0,3.0,0.0,0.0,6.0,1.0, negative
35,4.0,2.0,6.0,3.0,9.0,0.0,5.0,1.0, negative
36,3.0,5.0,7.0,2.0,0.0,0.0,4.0,1.0, negative
37,3.0,2.0,6.0,2.0,0.0,0.0,7.0,2.0, negative
38,0.0,3.0,7.0,2.0,0.0,0.0,5.0,2.0, negative
39,3.0,2.0,7.0,2.0,0.0,0.0,6.0,2.0, negative
40,3.0,3.0,8.0,3.0,0.0,0.0,7.0,1.0, negative
41,4.0,3.0,6.0,2.0,0.0,0.0,6.0,1.0, negative
42,2.0,4.0,8.0,2.0,0.0,0.0,6.0,1.0, negative
43,0.0,3.0,7.0,2.0,0.0,0.0,8.0,1.0, negative
44,5.0,4.0,6.0,4.0,0.0,0.0,7.0,1.0, negative
45,2.0,5.0,6.0,2.0,0.0,0.0,6.0,1.0, negative
46,2.0,0.0,7.0,6.0,0.0,0.0,2.0,0.0, negative
47,5.0,3.0,7.0,2.0,0.0,0.0,7.0,2.0, negative
48,5.0,5.0,4.0,4.0,0.0,0.0,4.0,1.0, negative
49,2.0,2.0,7.0,3.0,0.0,0.0,5.0,0.0, negative
50,4.0,2.0,7.0,8.0,0.0,0.0,5.0,1.0, negative
51,3.0,3.0,8.0,2.0,0.0,0.0,4.0,1.0, negative
52,3.0,0.0,4.0,3.0,0.0,0.0,3.0,3.0, negative
53,1.0,2.0,7.0,3.0,0.0,0.0,3.0,1.0, negative
54,3.0,2.0,6.0,5.0,0.0,0.0,6.0,2.0, negative
55,2.0,3.0,9.0,1.0,0.0,0.0,6.0,1.0, negative
56,3.0,2.0,6.0,4.0,0.0,0.0,5.0,2.0, negative
57,3.0,2.0,6.0,2.0,0.0,0.0,8.0,1.0, negative
58,4.0,3.0,5.0,3.0,0.0,0.0,7.0,1.0, negative
59,4.0,4.0,8.0,2.0,0.0,0.0,7.0,2.0, negative
60,2.0,4.0,6.0,1.0,0.0,0.0,3.0,9.0, negative
61,3.0,3.0,6.0,3.0,0.0,0.0,5.0,3.0, negative
62,3.0,3.0,6.0,4.0,0.0,0.0,6.0,2.0, negative
63,4.0,3.0,6.0,2.0,0.0,0.0,6.0,2.0, negative
64,1.0,1.0,9.0,3.0,0.0,0.0,0.0,1.0, negative
65,1.0,2.0,7.0,2.0,0.0,0.0,7.0,4.0, negative
66,5.0,3.0,5.0,7.0,0.0,0.0,7.0,1.0, negative
67,5.0,3.0,6.0,7.0,0.0,0.0,7.0,1.0, negative
68,2.0,3.0,8.0,2.0,0.0,0.0,6.0,1.0, negative
69,0.0,0.0,6.0,1.0,0.0,0.0,6.0,2.0, negative
70,2.0,3.0,8.0,3.0,0.0,0.0,8.0,3.0, negative
71,4.0,4.0,6.0,1.0,0.0,0.0,7.0,1.0, negative
72,3.0,3.0,5.0,4.0,0.0,0.0,7.0,1.0, negative
73,5.0,4.0,7.0,4.0,0.0,0.0,6.0,1.0, negative
74,4.0,2.0,7.0,2.0,0.0,0.0,5.0,1.0, negative
75,5.0,3.0,7.0,2.0,0.0,0.0,7.0,2.0, negative
76,3.0,3.0,5.0,4.0,0.0,0.0,9.0,1.0, negative
77,2.0,3.0,4.0,2.0,0.0,0.0,6.0,4.0, negative
78,5.0,3.0,5.0,8.0,0.0,0.0,1.0,3.0, negative
79,2.0,1.0,7.0,2.0,0.0,0.0,8.0,1.0, negative
80,0.0,5.0,5.0,3.0,0.0,0.0,8.0,1.0, negative
81,3.0,5.0,4.0,3.0,0.0,0.0,5.0,1.0, negative
82,2.0,2.0,7.0,2.0,0.0,0.0,7.0,1.0, negative
83,2.0,3.0,9.0,1.0,0.0,0.0,7.0,1.0, negative
84,3.0,1.0,9.0,2.0,0.0,0.0,8.0,1.0, negative
85,4.0,3.0,7.0,3.0,0.0,0.0,8.0,1.0, negative
86,3.0,3.0,5.0,4.0,0.0,0.0,7.0,1.0, negative
87,3.0,3.0,7.0,2.0,0.0,0.0,9.0,1.0, negative
88,5.0,3.0,5.0,5.0,0.0,0.0,3.0,3.0, negative
89,3.0,3.0,8.0,4.0,0.0,0.0,4.0,0.0, negative
90,4.0,3.0,7.0,3.0,0.0,0.0,6.0,0.0, negative
91,1.0,0.0,7.0,1.0,0.0,0.0,7.0,3.0, negative
92,6.0,7.0,8.0,8.0,0.0,0.0,3.0,3.0, positive
93,6.0,5.0,2.0,4.0,0.0,0.0,7.0,1.0, positive
94,6.0,4.0,3.0,2.0,0.0,0.0,5.0,1.0, positive
95,9.0,6.0,8.0,7.0,0.0,0.0,8.0,1.0, positive
96,6.0,3.0,2.0,2.0,0.0,0.0,8.0,1.0, positive
97,6.0,3.0,4.0,4.0,0.0,0.0,9.0,1.0, positive
98,3.0,3.0,4.0,2.0,9.0,0.0,5.0,1.0, positive
99,7.0,6.0,7.0,5.0,0.0,0.0,6.0,1.0, positive
100,6.0,4.0,3.0,2.0,0.0,0.0,5.0,4.0, positive
101,8.0,8.0,1.0,2.0,0.0,0.0,7.0,1.0, positive
102,6.0,4.0,2.0,2.0,0.0,0.0,8.0,1.0, positive
103,8.0,6.0,3.0,3.0,0.0,0.0,7.0,1.0, positive
104,7.0,4.0,3.0,4.0,0.0,0.0,9.0,1.0, positive
105,4.0,2.0,3.0,2.0,0.0,0.0,7.0,1.0, positive
106,8.0,4.0,1.0,0.0,0.0,0.0,7.0,1.0, positive
107,6.0,4.0,3.0,4.0,0.0,0.0,7.0,1.0, positive
108,4.0,5.0,4.0,2.0,0.0,0.0,7.0,1.0, positive
109,9.0,5.0,3.0,3.0,0.0,0.0,7.0,1.0, positive
110,1.0,1.0,4.0,2.0,0.0,0.0,6.0,1.0, positive
111,7.0,7.0,1.0,6.0,0.0,0.0,6.0,1.0, positive
112,8.0,8.0,8.0,8.0,0.0,0.0,8.0,1.0, positive
113,7.0,5.0,4.0,5.0,0.0,0.0,8.0,1.0, positive
114,7.0,7.0,7.0,5.0,0.0,0.0,6.0,2.0, positive
