,0,1,2,3,4,5,6,7,y
0,3.0,1.0,5.0,0.0,0.0,0.0,2.0,4.0, negative
1,2.0,2.0,4.0,5.0,0.0,0.0,4.0,1.0, negative
2,3.0,5.0,6.0,1.0,0.0,0.0,8.0,1.0, negative
3,6.0,3.0,2.0,5.0,0.0,0.0,4.0,2.0, negative
4,0.0,3.0,8.0,0.0,0.0,0.0,7.0,1.0, negative
5,3.0,1.0,7.0,6.0,0.0,0.0,1.0,1.0, negative
6,6.0,8.0,6.0,2.0,0.0,0.0,8.0,1.0, negative
7,2.0,7.0,7.0,2.0,0.0,0.0,7.0,1.0, negative
8,2.0,2.0,5.0,6.0,0.0,0.0,7.0,3.0, negative
9,5.0,5.0,3.0,7.0,0.0,0.0,2.0,1.0, negative
10,0.0,8.0,4.0,5.0,0.0,0.0,7.0,1.0, negative
11,4.0,6.0,5.0,5.0,0.0,0.0,2.0,2.0, negative
12,2.0,5.0,4.0,1.0,0.0,0.0,3.0,1.0, negative
13,0.0,1.0,5.0,3.0,0.0,0.0,3.0,2.0, negative
14,5.0,8.0,7.0,6.0,0.0,0.0,8.0,1.0, negative
15,7.0,7.0,5.0,7.0,0.0,0.0,7.0,1.0, negative
16,2.0,2.0,6.0,4.0,0.0,0.0,3.0,1.0, negative
17,1.0,0.0,5.0,0.0,0.0,0.0,4.0,4.0, negative
18,4.0,5.0,5.0,0.0,0.0,0.0,4.0,4.0, negative
19,4.0,3.0,6.0,2.0,0.0,0.0,6.0,2.0, negative
20,3.0,1.0,4.0,3.0,0.0,0.0,4.0,1.0, negative
21,8.0,5.0,5.0,0.0,0.0,0.0,7.0,3.0, negative
22,0.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0, negative
23,2.0,5.0,4.0,8.0,0.0,0.0,5.0,1.0, negative
24,5.0,1.0,8.0,5.0,0.0,0.0,5.0,1.0, negative
25,6.0,3.0,4.0,6.0,0.0,0.0,5.0,4.0, negative
26,0.0,1.0,4.0,2.0,0.0,0.0,4.0,4.0, negative
27,0.0,6.0,8.0,3.0,0.0,0.0,5.0,1.0, negative
28,4.0,2.0,3.0,4.0,0.0,0.0,5.0,4.0, negative
29,4.0,3.0,4.0,2.0,0.0,0.0,3.0,2.0, negative
30,3.0,3.0,3.0,2.0,0.0,0.0,4.0,1.0, negative
31,1.0,0.0,8.0,1.0,0.0,0.0,3.0,2.0, negative
32,1.0,3.0,4.0,3.0,0.0,0.0,1.0,1.0, negative
33,0.0,6.0,7.0,1.0,0.0,0.0,5.0,1.0, negative
34,4.0,0.0,7.0,8.0,0.0,0.0,7.0,3.0, negative
35,6.0,7.0,1.0,9.0,0.0,0.0,3.0,3.0, negative
36,0.0,4.0,2.0,6.0,0.0,0.0,4.0,1.0, negative
37,2.0,3.0,9.0,4.0,0.0,0.0,8.0,1.0, negative
38,4.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0, negative
39,2.0,3.0,7.0,4.0,0.0,0.0,8.0,1.0, negative
40,4.0,3.0,8.0,4.0,0.0,0.0,3.0,1.0, negative
41,8.0,7.0,2.0,2.0,0.0,0.0,6.0,1.0, negative
42,5.0,3.0,7.0,3.0,0.0,0.0,0.0,1.0, negative
43,3.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0, negative
44,6.0,2.0,5.0,7.0,0.0,0.0,6.0,1.0, negative
45,4.0,1.0,9.0,4.0,0.0,0.0,1.0,1.0, negative
46,6.0,5.0,4.0,0.0,0.0,0.0,7.0,3.0, negative
47,6.0,5.0,4.0,0.0,0.0,0.0,7.0,3.0, negative
48,7.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0, negative
49,2.0,0.0,9.0,9.0,0.0,0.0,6.0,0.0, negative
50,2.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0, negative
51,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0, negative
52,5.0,0.0,3.0,7.0,0.0,0.0,5.0,1.0, negative
53,4.0,2.0,9.0,5.0,0.0,0.0,1.0,1.0, negative
54,3.0,6.0,9.0,8.0,0.0,0.0,6.0,0.0, negative
55,3.0,6.0,9.0,8.0,0.0,0.0,6.0,0.0, negative
56,1.0,4.0,6.0,9.0,0.0,0.0,7.0,0.0, negative
57,1.0,4.0,6.0,9.0,0.0,0.0,7.0,0.0, negative
58,4.0,4.0,9.0,5.0,0.0,0.0,0.0,0.0, negative
59,4.0,1.0,9.0,5.0,0.0,0.0,1.0,2.0, negative
60,6.0,5.0,4.0,3.0,0.0,0.0,6.0,4.0, negative
61,5.0,6.0,6.0,1.0,0.0,0.0,6.0,1.0, negative
62,6.0,6.0,3.0,1.0,0.0,0.0,4.0,1.0, negative
63,2.0,9.0,5.0,5.0,0.0,0.0,7.0,2.0, negative
64,5.0,5.0,8.0,1.0,0.0,0.0,7.0,3.0, negative
65,6.0,4.0,9.0,5.0,0.0,0.0,7.0,4.0, negative
66,4.0,6.0,7.0,2.0,0.0,0.0,6.0,4.0, negative
67,1.0,4.0,7.0,1.0,0.0,0.0,7.0,1.0, negative
68,3.0,2.0,3.0,8.0,0.0,0.0,1.0,3.0, negative
69,4.0,3.0,6.0,3.0,0.0,0.0,5.0,1.0, negative
70,5.0,4.0,7.0,7.0,0.0,0.0,7.0,4.0, negative
71,1.0,2.0,5.0,4.0,0.0,0.0,0.0,1.0, negative
