,0,1,2,3,4,5,6,7,y
0,5.0,3.0,2.0,1.0,0.0,9.0,6.0,2.0, negative
1,3.0,2.0,3.0,1.0,0.0,0.0,7.0,3.0, negative
2,3.0,3.0,2.0,3.0,0.0,0.0,6.0,3.0, negative
3,4.0,3.0,2.0,1.0,0.0,0.0,6.0,2.0, negative
4,4.0,2.0,1.0,1.0,0.0,0.0,6.0,5.0, negative
5,8.0,6.0,0.0,3.0,0.0,0.0,6.0,2.0, negative
6,3.0,5.0,2.0,1.0,0.0,0.0,7.0,2.0, negative
7,4.0,5.0,2.0,1.0,0.0,0.0,7.0,2.0, negative
8,6.0,3.0,2.0,1.0,0.0,0.0,7.0,3.0, negative
9,3.0,6.0,3.0,1.0,0.0,0.0,6.0,5.0, negative
10,4.0,2.0,1.0,2.0,0.0,0.0,6.0,3.0, negative
11,5.0,3.0,1.0,3.0,0.0,0.0,7.0,2.0, negative
12,3.0,4.0,2.0,1.0,0.0,0.0,6.0,2.0, negative
13,6.0,4.0,0.0,2.0,0.0,0.0,6.0,3.0, negative
14,2.0,4.0,2.0,0.0,0.0,0.0,7.0,2.0, negative
15,4.0,5.0,2.0,1.0,0.0,0.0,6.0,2.0, negative
16,4.0,2.0,3.0,1.0,0.0,0.0,7.0,2.0, negative
17,6.0,4.0,1.0,2.0,0.0,0.0,7.0,3.0, negative
18,2.0,4.0,3.0,4.0,0.0,0.0,6.0,4.0, negative
19,7.0,5.0,2.0,2.0,0.0,0.0,4.0,2.0, negative
20,4.0,5.0,1.0,4.0,0.0,0.0,4.0,2.0, negative
21,4.0,2.0,2.0,2.0,0.0,0.0,5.0,2.0, negative
22,1.0,5.0,2.0,1.0,0.0,0.0,6.0,2.0, negative
23,7.0,7.0,2.0,1.0,0.0,0.0,7.0,2.0, negative
24,1.0,6.0,1.0,2.0,0.0,0.0,7.0,2.0, negative
25,3.0,3.0,3.0,4.0,0.0,0.0,5.0,5.0, negative
26,5.0,7.0,2.0,1.0,0.0,0.0,5.0,2.0, negative
27,3.0,6.0,2.0,3.0,0.0,0.0,6.0,3.0, negative
28,2.0,5.0,1.0,2.0,0.0,0.0,6.0,3.0, negative
29,1.0,1.0,3.0,1.0,0.0,0.0,6.0,3.0, negative
30,3.0,4.0,2.0,1.0,0.0,0.0,5.0,2.0, negative
31,3.0,5.0,2.0,1.0,0.0,0.0,6.0,2.0, negative
32,6.0,4.0,1.0,1.0,0.0,0.0,5.0,3.0, negative
33,3.0,5.0,1.0,3.0,0.0,0.0,6.0,3.0, negative
34,4.0,3.0,1.0,2.0,0.0,0.0,6.0,4.0, negative
35,3.0,3.0,2.0,1.0,0.0,0.0,6.0,2.0, negative
36,3.0,3.0,5.0,2.0,0.0,0.0,6.0,4.0, negative
37,3.0,3.0,5.0,2.0,0.0,0.0,6.0,4.0, negative
38,5.0,4.0,1.0,2.0,0.0,0.0,6.0,2.0, negative
