,0,1,2,3,4,5,6,7,y
0,5.0,5.0,3.0,1.0,0.0,0.0,5.0,2.0, negative
1,5.0,5.0,3.0,1.0,0.0,0.0,6.0,2.0, negative
2,2.0,3.0,3.0,5.0,0.0,0.0,5.0,2.0, negative
3,2.0,2.0,4.0,1.0,0.0,0.0,7.0,3.0, negative
4,2.0,3.0,4.0,3.0,0.0,0.0,6.0,3.0, negative
5,5.0,3.0,3.0,4.0,0.0,0.0,6.0,2.0, negative
6,6.0,4.0,3.0,1.0,0.0,0.0,5.0,2.0, negative
7,3.0,2.0,3.0,1.0,0.0,0.0,6.0,4.0, negative
8,3.0,3.0,3.0,1.0,0.0,0.0,6.0,2.0, negative
9,3.0,3.0,3.0,2.0,0.0,0.0,6.0,2.0, negative
10,6.0,5.0,2.0,3.0,0.0,0.0,6.0,2.0, negative
11,3.0,4.0,3.0,1.0,0.0,0.0,7.0,2.0, negative
12,3.0,4.0,3.0,1.0,0.0,0.0,7.0,2.0, negative
13,4.0,4.0,3.0,5.0,0.0,0.0,6.0,2.0, negative
14,5.0,3.0,4.0,1.0,0.0,0.0,7.0,3.0, negative
15,4.0,3.0,4.0,1.0,0.0,0.0,6.0,2.0, negative
16,5.0,6.0,4.0,2.0,0.0,0.0,6.0,2.0, negative
17,7.0,8.0,1.0,3.0,0.0,0.0,7.0,3.0, negative
18,4.0,4.0,2.0,8.0,0.0,0.0,6.0,2.0, negative
19,2.0,5.0,5.0,1.0,0.0,0.0,6.0,5.0, negative
20,7.0,6.0,3.0,3.0,0.0,0.0,4.0,2.0, negative
21,6.0,5.0,3.0,3.0,0.0,0.0,6.0,3.0, negative
22,2.0,3.0,4.0,1.0,0.0,0.0,7.0,3.0, negative
23,5.0,4.0,2.0,4.0,0.0,0.0,6.0,2.0, negative
24,4.0,4.0,4.0,3.0,0.0,0.0,6.0,2.0, negative
25,8.0,6.0,2.0,2.0,0.0,0.0,6.0,2.0, negative
26,8.0,6.0,3.0,4.0,0.0,0.0,7.0,2.0, negative
27,7.0,5.0,2.0,2.0,0.0,0.0,7.0,2.0, negative
28,2.0,2.0,4.0,1.0,0.0,0.0,5.0,3.0, negative
29,3.0,2.0,3.0,2.0,0.0,0.0,5.0,2.0, negative
30,2.0,1.0,1.0,1.0,0.0,0.0,6.0,2.0, negative
31,3.0,2.0,3.0,2.0,0.0,0.0,6.0,3.0, negative
32,2.0,4.0,3.0,1.0,0.0,0.0,6.0,7.0, negative
33,4.0,3.0,4.0,2.0,0.0,0.0,6.0,2.0, negative
34,5.0,4.0,4.0,2.0,0.0,0.0,5.0,2.0, negative
35,6.0,5.0,3.0,1.0,0.0,0.0,6.0,2.0, negative
36,4.0,3.0,3.0,3.0,0.0,0.0,7.0,2.0, negative
37,2.0,4.0,4.0,1.0,0.0,0.0,6.0,2.0, negative
38,3.0,5.0,3.0,6.0,0.0,0.0,6.0,2.0, negative
39,5.0,3.0,3.0,2.0,0.0,0.0,6.0,3.0, negative
40,1.0,3.0,4.0,0.0,0.0,0.0,7.0,2.0, negative
41,7.0,8.0,3.0,3.0,0.0,0.0,7.0,2.0, negative
42,3.0,3.0,3.0,2.0,0.0,0.0,7.0,2.0, negative
43,5.0,4.0,3.0,2.0,0.0,0.0,7.0,3.0, negative
44,5.0,4.0,2.0,6.0,0.0,0.0,5.0,2.0, negative
45,3.0,4.0,4.0,6.0,0.0,0.0,5.0,2.0, negative
46,3.0,4.0,4.0,2.0,0.0,0.0,5.0,2.0, negative
47,3.0,3.0,4.0,5.0,0.0,0.0,4.0,3.0, negative
48,5.0,4.0,4.0,4.0,0.0,0.0,6.0,2.0, negative
49,3.0,4.0,4.0,5.0,0.0,0.0,6.0,3.0, negative
50,5.0,5.0,4.0,4.0,0.0,0.0,4.0,2.0, negative
51,3.0,5.0,3.0,4.0,0.0,0.0,5.0,2.0, negative
52,3.0,3.0,4.0,5.0,0.0,0.0,6.0,2.0, negative
53,3.0,5.0,3.0,4.0,0.0,0.0,5.0,2.0, negative
54,4.0,4.0,4.0,5.0,0.0,0.0,7.0,2.0, negative
55,4.0,4.0,5.0,3.0,0.0,0.0,5.0,2.0, negative
56,6.0,5.0,2.0,4.0,0.0,9.0,6.0,2.0, negative
57,1.0,5.0,0.0,1.0,0.0,0.0,6.0,2.0, negative
58,2.0,3.0,1.0,1.0,0.0,0.0,7.0,2.0, negative
59,7.0,5.0,3.0,2.0,0.0,0.0,6.0,2.0, negative
