,0,1,2,3,4,5,6,7,y
0,5.0,5.0,4.0,1.0,0.0,0.0,6.0,2.0, negative
1,3.0,3.0,4.0,6.0,0.0,0.0,6.0,2.0, negative
2,4.0,4.0,4.0,7.0,0.0,0.0,7.0,2.0, negative
3,3.0,2.0,5.0,2.0,0.0,0.0,7.0,2.0, negative
4,3.0,3.0,6.0,4.0,0.0,0.0,7.0,2.0, negative
5,5.0,5.0,5.0,2.0,0.0,0.0,6.0,2.0, negative
6,7.0,8.0,2.0,4.0,0.0,0.0,7.0,3.0, positive
7,2.0,4.0,5.0,5.0,0.0,0.0,7.0,2.0, negative
8,5.0,4.0,3.0,5.0,0.0,0.0,6.0,2.0, negative
9,8.0,6.0,5.0,4.0,0.0,0.0,7.0,2.0, negative
10,7.0,4.0,5.0,3.0,0.0,0.0,8.0,2.0, negative
11,3.0,0.0,2.0,1.0,0.0,0.0,6.0,2.0, negative
12,4.0,2.0,5.0,2.0,0.0,0.0,7.0,2.0, negative
13,3.0,3.0,5.0,5.0,0.0,0.0,7.0,3.0, negative
14,2.0,1.0,4.0,2.0,0.0,0.0,6.0,2.0, negative
15,4.0,3.0,3.0,0.0,0.0,0.0,7.0,2.0, negative
16,4.0,2.0,6.0,1.0,0.0,0.0,7.0,2.0, negative
17,5.0,4.0,3.0,7.0,0.0,0.0,6.0,2.0, negative
18,5.0,4.0,5.0,4.0,0.0,0.0,6.0,2.0, negative
19,1.0,5.0,0.0,1.0,0.0,0.0,7.0,2.0, negative
20,6.0,6.0,5.0,4.0,0.0,0.0,6.0,2.0, negative
21,2.0,5.0,2.0,2.0,0.0,0.0,6.0,2.0, negative
22,2.0,4.0,5.0,2.0,0.0,0.0,6.0,2.0, negative
23,5.0,6.0,6.0,4.0,0.0,0.0,6.0,2.0, negative
24,4.0,3.0,6.0,5.0,0.0,0.0,6.0,2.0, negative
25,4.0,4.0,5.0,5.0,0.0,0.0,7.0,2.0, negative
26,6.0,5.0,5.0,5.0,0.0,0.0,7.0,2.0, negative
27,3.0,5.0,5.0,3.0,0.0,0.0,6.0,3.0, negative
28,2.0,5.0,5.0,1.0,0.0,0.0,7.0,2.0, negative
29,1.0,2.0,4.0,3.0,0.0,0.0,7.0,7.0, negative
30,4.0,2.0,5.0,2.0,0.0,0.0,6.0,2.0, negative
31,5.0,4.0,5.0,1.0,0.0,0.0,6.0,2.0, negative
32,3.0,3.0,6.0,1.0,0.0,0.0,6.0,2.0, negative
33,4.0,3.0,5.0,1.0,0.0,0.0,6.0,2.0, negative
34,4.0,3.0,4.0,2.0,0.0,0.0,7.0,2.0, negative
35,3.0,4.0,5.0,1.0,0.0,0.0,7.0,4.0, negative
36,5.0,4.0,5.0,2.0,0.0,0.0,7.0,2.0, negative
37,4.0,1.0,4.0,4.0,0.0,0.0,7.0,2.0, negative
38,4.0,3.0,5.0,1.0,0.0,0.0,6.0,2.0, negative
39,4.0,2.0,5.0,2.0,0.0,0.0,6.0,2.0, negative
40,2.0,3.0,5.0,2.0,0.0,0.0,8.0,2.0, negative
41,7.0,6.0,2.0,3.0,0.0,0.0,6.0,2.0, positive
42,5.0,4.0,4.0,6.0,0.0,0.0,7.0,2.0, negative
43,4.0,4.0,5.0,6.0,0.0,0.0,6.0,2.0, negative
44,5.0,4.0,3.0,4.0,0.0,0.0,7.0,2.0, negative
45,3.0,5.0,3.0,7.0,0.0,0.0,6.0,2.0, negative
46,4.0,4.0,6.0,5.0,0.0,0.0,6.0,2.0, negative
47,2.0,5.0,3.0,5.0,0.0,0.0,6.0,2.0, negative
48,4.0,4.0,4.0,3.0,0.0,0.0,6.0,2.0, negative
49,3.0,4.0,9.0,1.0,0.0,0.0,7.0,2.0, negative
50,1.0,2.0,7.0,1.0,0.0,0.0,6.0,2.0, negative
51,2.0,3.0,1.0,2.0,0.0,0.0,7.0,2.0, negative
52,3.0,0.0,5.0,3.0,0.0,0.0,5.0,2.0, negative
53,4.0,5.0,5.0,2.0,0.0,0.0,7.0,3.0, negative
54,3.0,2.0,5.0,1.0,0.0,0.0,7.0,2.0, negative
55,3.0,3.0,4.0,9.0,0.0,0.0,6.0,6.0, negative
56,2.0,4.0,4.0,2.0,0.0,0.0,6.0,2.0, negative
57,9.0,5.0,3.0,2.0,0.0,0.0,7.0,2.0, negative
58,2.0,3.0,3.0,2.0,0.0,0.0,6.0,2.0, negative
59,5.0,5.0,4.0,1.0,0.0,0.0,7.0,2.0, negative
60,2.0,5.0,4.0,1.0,0.0,0.0,7.0,4.0, negative
